scenario,model,removed_top_n_hot_side_effects,fold_mean,fold_std,MAP_mean,MAP_std,auc_all_mean,auc_all_std,nDCG_mean,nDCG_std,P1_mean,P1_std,P5_mean,P5_std,P10_mean,P10_std,P15_mean,P15_std,R1_mean,R1_std,R5_mean,R5_std,R10_mean,R10_std,R15_mean,R15_std,auc_rank_mean,auc_rank_std
cold,A3Net,20,4.5,3.0276503540974917,0.19116105698772992,0.021047923079590598,,,0.47881578648036854,0.04567850539224799,0.27004442798963346,0.06470394210256006,0.24799679131185975,0.04093192390187628,0.24120098728865852,0.038528441252048316,0.23597660125879294,0.03186595825041968,0.0126000310710972,0.005636386993561733,0.05271710071124983,0.009183929766341695,0.09827762514665692,0.012237418299221349,0.14010087100760402,0.013746588180425756,0.7947817315176252,0.016962917482773333
cold,A3Net,50,4.5,3.0276503540974917,0.14296275129010516,0.0213292607857022,,,0.39295568085794097,0.04247268038803668,0.21819498951005803,0.05638068979387246,0.18022786622238673,0.03742023108879105,0.17664822905096872,0.027581939351851294,0.16843700686988355,0.02521590729581396,0.01167085674524171,0.005008958306280622,0.049781883562618715,0.014043337035726916,0.10088949839753603,0.02047100527449316,0.1371814633037113,0.02023004378670718,0.7548799151631546,0.018392085504369275
cold,CAFNet,20,4.5,3.0276503540974917,0.2005305682425496,0.018857075867561125,,,0.5025842977698461,0.034135915883804095,0.3064793286437122,0.05192303830484006,0.270687054177465,0.03263568403348325,0.2620814019498951,0.02649600835669843,0.24837028261137842,0.0305614826937327,0.015854195381360656,0.0048663700992525255,0.05872677713903769,0.010297915014948934,0.10857723431675673,0.01614408539101276,0.1524571118746215,0.024856711776190504,0.794280671626,0.01305443287987559
cold,CAFNet,50,4.5,3.0276503540974917,0.1518988887366967,0.016554217836441946,,,0.41263428713857386,0.04502894458406065,0.2182890287547822,0.05655585536954089,0.20652770578797974,0.030854448589743524,0.18859108971985677,0.0265484804566598,0.17603361717882265,0.024152537059292996,0.015267025974183118,0.00814509315360397,0.06232613691413634,0.014291807745344423,0.10994025554792519,0.01966323859746974,0.14713046860475273,0.018564951132816733,0.7547433104805207,0.016187844331230446
cold,Global popularity,20,4.5,3.0276503540974917,0.21412615260762607,0.02491568690144543,,,0.5467295868583278,0.033635058760861924,0.3506765395532519,0.052103436620459756,0.30255653461680854,0.039070800883090354,0.29196544489695175,0.03872973725817538,0.2780491669751942,0.03748298308696056,0.014446121657908493,0.0038992721273940654,0.06222043839806355,0.008375303392404889,0.10902150045338135,0.013397065137305783,0.15325629161840296,0.01255728672991129,0.8325183289169982,0.01105108062012151
cold,Global popularity,50,4.5,3.0276503540974917,0.15133158123600418,0.018351215812181302,,,0.41851348995667437,0.042876300259665066,0.24527656423546834,0.06555267196537753,0.18621083549302725,0.030181917164389623,0.1961518203134641,0.03364949577118475,0.18968701304043764,0.032612298382763645,0.01394831284557159,0.010725772825386701,0.04323474371731756,0.012840191796704349,0.09132872869702587,0.015557015136742293,0.12881945665095434,0.0169821973829503,0.8011050923030213,0.01353788823454896
cold,HSTrans,20,4.5,3.0276503540974917,0.20217246529205374,0.01646033428097661,,,0.5029320612140749,0.0363652265582519,0.2661910403554239,0.04518102134512672,0.2679516228557323,0.025749662003962507,0.2561126496359373,0.02967833395606843,0.2472244847587312,0.02982401966461326,0.012705586118196877,0.005878261381003341,0.05630392390972949,0.012260211684603905,0.10380426314155575,0.014372182424339174,0.14763216599266837,0.017479525962112046,0.8399777955975253,0.010964661258081864
cold,HSTrans,50,4.5,3.0276503540974917,0.150602897989936,0.014994692110561852,,,0.40155032791960277,0.04213042012078386,0.1871664815500432,0.042915743250308794,0.19201273602369487,0.03639385219149824,0.182067752684191,0.03209398182507578,0.17394925336295194,0.027572483139401062,0.010397135527618229,0.006826795227756418,0.05454880982068172,0.014347839047787175,0.10175075427340101,0.016181499622737287,0.13799760506086772,0.018690316084569333,0.8136045710423234,0.012694647214896515
cold,RF,20,4.5,3.0276503540974917,0.10782821939874151,0.016164605317247272,,,0.3126225688443377,0.046938034755149946,0.022774774774774777,0.016718545990914418,0.13132237442922373,0.031080412956458213,0.12842001727755148,0.028014163114494738,0.12183454687564274,0.026467169064917737,0.0006428032138300385,0.0005549301342520781,0.025303752382532796,0.007452730702422734,0.0486321070390335,0.009578901331984777,0.06615033855731718,0.009936665129898856,0.7580324697212283,0.012996327191554068
cold,RF,50,4.5,3.0276503540974917,0.07164510907081814,0.013330945024371526,,,0.1490205234694479,0.0330431069234071,0.010757744045415279,0.008466101409724003,0.0530265827471307,0.02069373776511272,0.05620604714303344,0.01822952427704695,0.05769426961207784,0.017469134517024407,0.00036602960069596235,0.0004275055563475979,0.009252827494136797,0.0026306568808066783,0.024357774445629546,0.007084411282189376,0.03786956600382006,0.0106371716926819,0.7215195167724568,0.01589482319376119
