Model,n,path,MAP,auc_all,aupr_all,drugAUC,drugAUPR,nDCG,P1,P15,R1,R15,spearman,rMSE,MAE
CAFNet-original-3fold,3,D:\CAFNet-master-master\result_WS\lr0.0004-2\10WS_CAFNet_knn=10_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal\CAFNet_result.csv,0.2135 +/- 0.0084,0.9098 +/- 0.0048,0.0847 +/- 0.0100,0.9002 +/- 0.0023,0.2135 +/- 0.0084,0.4321 +/- 0.0120,0.2222 +/- 0.0171,0.1148 +/- 0.0022,0.0674 +/- 0.0087,0.4034 +/- 0.0017,0.5091 +/- 0.0294,1.2635 +/- 0.0566,0.9208 +/- 0.0527
WarmPlus-rank_pop-3fold,3,D:\CAFNet-master-master\result_WS\10warmplus_rank_pop_f3_CAFNet_knn=10_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_cal=rank_pop\CAFNet_result.csv,0.2297 +/- 0.0029,0.8945 +/- 0.0040,0.0673 +/- 0.0016,0.8980 +/- 0.0023,0.1891 +/- 0.0194,0.4766 +/- 0.0151,0.3202 +/- 0.0164,0.1183 +/- 0.0012,0.0842 +/- 0.0047,0.3713 +/- 0.0082,0.5020 +/- 0.0088,1.2959 +/- 0.0525,0.9509 +/- 0.0507
ordinal_aux_ow0.1_fw0.2_omix0.0_f3,3,D:\CAFNet-master-master\result_WS\10ordinal_aux_ow0.1_fw0.2_omix0.0_f3_CAFNetOrdinal_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=0.2_rw=0.05_ow=0.1_omix=0.0\CAFNetOrdinal_result.csv,0.2049 +/- 0.0054,0.8377 +/- 0.0102,0.0564 +/- 0.0021,0.8725 +/- 0.0051,0.2049 +/- 0.0054,0.4540 +/- 0.0131,0.2830 +/- 0.0195,0.1103 +/- 0.0003,0.0717 +/- 0.0079,0.3487 +/- 0.0058,0.4439 +/- 0.0158,1.1433 +/- 0.0841,0.9132 +/- 0.0812
ordinal_aux_ow0.3_fw0.2_omix0.0_f3,3,D:\CAFNet-master-master\result_WS\10ordinal_aux_ow0.3_fw0.2_omix0.0_f3_CAFNetOrdinal_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=0.2_rw=0.05_ow=0.3_omix=0.0\CAFNetOrdinal_result.csv,0.1888 +/- 0.0158,0.8337 +/- 0.0101,0.0564 +/- 0.0035,0.8708 +/- 0.0069,0.1888 +/- 0.0158,0.4271 +/- 0.0298,0.2464 +/- 0.0427,0.1066 +/- 0.0047,0.0595 +/- 0.0093,0.3401 +/- 0.0197,0.4417 +/- 0.0165,1.1462 +/- 0.0968,0.9173 +/- 0.0998
ordinal_ow0.5_fw0.1_f3,3,D:\CAFNet-master-master\result_WS\10ordinal_ow0.5_fw0.1_f3_CAFNetOrdinal_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=0.1_rw=0.05_ow=0.5_omix=0.2\CAFNetOrdinal_result.csv,0.2030 +/- 0.0051,0.8444 +/- 0.0064,0.0611 +/- 0.0006,0.8747 +/- 0.0057,0.2030 +/- 0.0051,0.4527 +/- 0.0121,0.2860 +/- 0.0062,0.1128 +/- 0.0007,0.0699 +/- 0.0050,0.3555 +/- 0.0111,0.4069 +/- 0.0099,1.4289 +/- 0.0470,1.2059 +/- 0.0445
ordinal_ow0.5_fw0.2_f3,3,D:\CAFNet-master-master\result_WS\10ordinal_ow0.5_fw0.2_f3_CAFNetOrdinal_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=0.2_rw=0.05_ow=0.5_omix=0.2\CAFNetOrdinal_result.csv,0.2031 +/- 0.0067,0.8362 +/- 0.0148,0.0586 +/- 0.0038,0.8724 +/- 0.0037,0.2031 +/- 0.0067,0.4539 +/- 0.0189,0.2872 +/- 0.0248,0.1098 +/- 0.0009,0.0703 +/- 0.0091,0.3475 +/- 0.0067,0.4245 +/- 0.0164,1.4077 +/- 0.0355,1.1844 +/- 0.0264
ordinal_ow0.7_fw0.1_f3,3,D:\CAFNet-master-master\result_WS\10ordinal_ow0.7_fw0.1_f3_CAFNetOrdinal_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=0.1_rw=0.05_ow=0.7_omix=0.2\CAFNetOrdinal_result.csv,0.2012 +/- 0.0050,0.8337 +/- 0.0121,0.0553 +/- 0.0014,0.8733 +/- 0.0025,0.2012 +/- 0.0050,0.4494 +/- 0.0172,0.2762 +/- 0.0166,0.1121 +/- 0.0015,0.0667 +/- 0.0053,0.3509 +/- 0.0066,0.4123 +/- 0.0096,1.4497 +/- 0.0198,1.2303 +/- 0.0136
ordinal_ow0.7_fw0.2_f3,3,D:\CAFNet-master-master\result_WS\10ordinal_ow0.7_fw0.2_f3_CAFNetOrdinal_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=0.2_rw=0.05_ow=0.7_omix=0.2\CAFNetOrdinal_result.csv,0.1926 +/- 0.0075,0.8345 +/- 0.0189,0.0556 +/- 0.0047,0.8724 +/- 0.0049,0.1926 +/- 0.0075,0.4335 +/- 0.0194,0.2559 +/- 0.0191,0.1093 +/- 0.0031,0.0615 +/- 0.0033,0.3463 +/- 0.0156,0.4198 +/- 0.0470,1.4499 +/- 0.0846,1.2293 +/- 0.0854
