scenario,fold,mode,AUROC,AUPR,candidate_pairs,positive_pairs,evaluable_drugs,mAP,nDCG@10,P@1,P@15,R@15
cold,0,raw,0.8171199162991124,0.26847274485351325,74550,2889,75,0.38798760760825696,0.5670846011517168,0.5866666666666667,0.4782222222222222,0.2846557299212299
cold,0,row_zscore,0.8342909134562253,0.2732417791415365,74550,2889,75,0.3793270507726496,0.5561037599293691,0.56,0.4746666666666667,0.2829383211088016
cold,0,row_percentile,0.8354865717629807,0.2781825389272851,74550,2889,75,0.38284737636865673,0.5644384757276096,0.6,0.4782222222222222,0.285166712841522
cold,1,raw,0.848361515619937,0.3203900055601664,74550,3457,75,0.42192737222352616,0.6563849992224501,0.8,0.5431111111111111,0.2661649509090483
cold,1,row_zscore,0.8367549794348952,0.2896670356010471,74550,3457,75,0.41372445334454555,0.6530724531974197,0.7733333333333333,0.5333333333333334,0.2632198907264104
cold,1,row_percentile,0.8352251515746519,0.3172628001595644,74550,3457,75,0.41720606251768433,0.6457993225313362,0.7466666666666667,0.5475555555555556,0.26994421243501754
cold,2,raw,0.8427531033210517,0.3821435841897467,74550,4941,75,0.44909176308769666,0.6856261023137348,0.7066666666666667,0.6088888888888889,0.24055889793264684
cold,2,row_zscore,0.8121217136914263,0.30403198512515867,74550,4941,75,0.4377963467703869,0.6682186216206664,0.7066666666666667,0.5902222222222222,0.22974654227891994
cold,2,row_percentile,0.8101636024478581,0.3332962834848263,74550,4941,75,0.44498635083641036,0.6766821520298373,0.7466666666666667,0.6000000000000001,0.23618051479859048
cold,3,raw,0.8299963467373277,0.27187484556473784,74550,3098,75,0.38722007146440074,0.5833857567117843,0.68,0.4666666666666667,0.2775110599118208
cold,3,row_zscore,0.8165540766540776,0.2401334905661769,74550,3098,75,0.37132649375984483,0.555725137999017,0.6266666666666667,0.4595555555555555,0.27342849164671584
