variant,fold,pearson,rMSE,spearman,MAE,auc_all,aupr_all,drugAUC,drugAUPR,MAP,nDCG,P1,P5,P10,P15,R1,R5,R10,R15
Full CAFNet,0,0.5173017155666499,1.2138307033466504,0.531165078460546,0.8760374,0.909107962046224,0.0743866744167965,0.9002985675173252,0.2074618907062513,0.2074618907062513,0.4324261200738605,0.2173228346456693,0.1675590551181109,0.1366929133858266,0.1172703412073495,0.0639076336908326,0.2111027789267636,0.3191580827508893,0.4014217662086655
Full CAFNet,1,0.46804208585748996,1.2514505076694231,0.4757393576685318,0.90755314,0.9148894075578444,0.0942794613341351,0.9025075369515028,0.2099327488961902,0.2098876212445852,0.4199936825903448,0.2080745341614907,0.1667701863354045,0.1321428571428571,0.113250517598344,0.0609351943727811,0.22307989113573,0.3306625465579566,0.4044677141477766
Full CAFNet,2,0.5114928383722909,1.3251927487510895,0.5202590447116795,0.97889644,0.9054437025107638,0.0853930564684437,0.8979032791795044,0.2231278675433205,0.2231278675433205,0.4438913041594138,0.2412213740458015,0.1725190839694664,0.1363358778625951,0.1138931297709928,0.0772652093473054,0.2288430950208691,0.3310709298089248,0.4041926944282775
Full CAFNet,3,0.48788919643497886,1.187657546584831,0.5013293493597232,0.8589398,0.9134884791185324,0.0883814385861117,0.9010681626567862,0.2092481998388319,0.2092481998388319,0.4166351522670294,0.2024539877300613,0.1592024539877308,0.125920245398773,0.1108384458077713,0.0657757569456326,0.2115418159435245,0.311946959272398,0.39251878764351
Full CAFNet,4,0.48991347897718673,1.2315655860581507,0.5122266196251457,0.9000621,0.9085523431982458,0.0786262316288588,0.89620072196286,0.1826408751412711,0.1819614722971308,0.3959125490214615,0.1756548536209553,0.1491525423728821,0.1258859784283512,0.1083718541345665,0.0498661451712699,0.1879650095454326,0.301815602607741,0.3762293095860666
Full CAFNet,5,0.48549990324631037,1.2480147332244913,0.5041964224975537,0.9072928,0.9109697216404732,0.0870943739466862,0.9028733057273638,0.2145241306549648,0.2145241306549648,0.4383062401787289,0.1984615384615384,0.1695384615384624,0.1370769230769227,0.1183589743589747,0.0607118495160107,0.2287482841196761,0.3325977653698896,0.4057271286266734
Full CAFNet,6,0.5301413533548013,1.208711362219243,0.5459883570989407,0.8954525,0.9097911945364476,0.0834147251920436,0.8999134562041663,0.2010380006581959,0.2010380006581959,0.4146576279400856,0.2031007751937984,0.1562790697674425,0.1300775193798448,0.1133850129198971,0.0592182784423715,0.2099258730105981,0.3261731419536477,0.3995584849628892
Full CAFNet,7,0.5162800338209623,1.26936170179425,0.5347085213849687,0.92834395,0.9073017637657474,0.088843266666249,0.9019434551586408,0.2341995692562575,0.2341995692562575,0.4695788617734263,0.28328173374613,0.1938080495356046,0.1456656346749223,0.1219814241486072,0.0824735309752678,0.243158373315122,0.3440175155205373,0.4198845982541588
Full CAFNet,8,0.4456626629577095,1.2192260594914572,0.4637069284700072,0.89310414,0.915021040074781,0.0864281422606084,0.902476430600276,0.1787437763274064,0.1783485859234572,0.3972739638992124,0.1919504643962848,0.1501547987616106,0.1236842105263158,0.1078431372549024,0.0468993923322266,0.1897685702590744,0.2985777610115402,0.3774212543804636
Full CAFNet,9,0.5173697959706854,1.107199079650568,0.5293266477263681,0.80319434,0.9114072593489726,0.0778183535370772,0.9083626344396012,0.2013094266211469,0.2011465255562725,0.4212074524113606,0.2242990654205607,0.1498442367601252,0.122429906542056,0.1069574247144346,0.0730746729042997,0.203216338809905,0.3077529583623832,0.3851160383418548
