variant,n_folds,MAP_mean,MAP_std,auc_all_mean,auc_all_std,nDCG_mean,nDCG_std,P1_mean,P1_std,P15_mean,P15_std,R1_mean,R1_std,R15_mean,R15_std,spearman_mean,spearman_std,rMSE_mean,rMSE_std,MAE_mean,MAE_std
Full CAFNet,10,0.20609438636792676,0.01692986171810621,0.9105972873798033,0.003190528000343014,0.42498829543149236,0.022129801570292686,0.21458211614222905,0.03007375364863532,0.11321502619158404,0.004914431268648402,0.0640127663697998,0.011244818518492614,0.39665377765803356,0.013777304408350111,0.5118646327003464,0.02630650911333603,1.2262210028790155,0.056724460909679385,0.894887661,0.04543202618577155
w/o Cross-Attention,10,0.19662949253474857,0.020566595285289528,0.9104057509730987,0.0038210440196195902,0.41205685351731447,0.03214996224002992,0.20227274165184092,0.03171670315587654,0.11008945594452761,0.004790958120900367,0.05920845370171697,0.013685570096167794,0.38643455048709274,0.021890287467448304,0.5169479747148491,0.0302319224091865,1.208187987302286,0.04479257674606431,0.882165857,0.03815692531111288
w/o Gated Fusion,10,0.20158088419764128,0.022743184717031174,0.9065941868634004,0.005542564972098575,0.4151166968634679,0.03713153304409405,0.20985393649328504,0.029842802178739785,0.10865863288566455,0.009577902926274121,0.06352232140445781,0.011820154719015779,0.3815988502089397,0.036961857799203184,0.5194638680694712,0.018086513686862923,1.2106512154004674,0.04844688435204612,0.883484144,0.04366505688409623
