model,prevalence_bin,n_pairs,mean_rank,median_rank,hit15,hit50,hit100,mean_train_count
A3Net,common,27012,159.8237820228047,72.0,0.1717755071819932,0.40929957056123206,0.5895898119354361,166.74485413890122
A3Net,middle,8303,510.31000843068773,488.0,0.00156569914488739,0.007105865349873539,0.02914609177405757,19.80994821148982
A3Net,rare,1756,615.4601366742597,624.0,0.0,0.0011389521640091116,0.006264236902050114,4.470387243735763
CAFNet,common,27012,170.6964682363394,74.0,0.16722197541833259,0.4037464830445728,0.579187027987561,166.74485413890122
CAFNet,middle,8303,511.16174876550645,487.0,0.00156569914488739,0.007708057328676382,0.03408406600024088,19.80994821148982
CAFNet,rare,1756,621.6810933940775,639.5,0.0,0.0,0.0056947608200455585,4.470387243735763
