model,drug_row,pos_hit_rate,neg_hit_rate,hit_enrichment,mean_pos_score,mean_neg_score
CAFNet,0,0.3181818181818182,0.13636363636363635,2.3333333333333335,2.1400459815155375,1.2965684556825594
CAFNet,1,0.20754716981132076,0.11320754716981132,1.8333333333333335,2.491564747297539,2.1243682827589647
CAFNet,2,0.28,0.272,1.0294117647058825,2.9504906344413757,2.783171922683716
CAFNet,3,0.17333333333333334,0.056,3.0952380952380953,1.2292866146564483,1.0332773979902268
CAFNet,4,0.3,0.06,5.0,2.3438500821590424,1.7067270078261694
CAFNet,5,0.18181818181818182,0.15454545454545454,1.1764705882352942,1.7369696403091603,1.5580745817585424
CAFNet,6,0.3076923076923077,0.15384615384615385,2.0,2.332187437094175,2.2101174845145297
CAFNet,7,0.2,0.16666666666666666,1.2000000000000002,1.7208893169959387,1.6267972165097793
CAFNet,8,0.20408163265306123,0.09387755102040816,2.1739130434782608,2.073096134528822,1.9351372210346922
CAFNet,9,0.22641509433962265,0.06037735849056604,3.75,2.7514803971884385,2.5702235610979907
CAFNet,10,0.2608695652173913,0.2782608695652174,0.9375,2.094960888442786,2.2083730633492054
CAFNet,11,0.16216216216216217,0.1891891891891892,0.8571428571428571,1.860596748622688,1.9345380422231313
CAFNet,12,0.3225806451612903,0.10967741935483871,2.941176470588235,2.876188105152499,2.213195525830792
CAFNet,13,0.17073170731707318,0.14634146341463414,1.1666666666666667,1.206725687878888,1.2671940525675691
CAFNet,14,0.25,0.18,1.3888888888888888,1.9679254457354545,1.7490770187973976
CAFNet,15,0.5384615384615384,0.16923076923076924,3.1818181818181817,3.384372170154865,2.568311690367185
CAFNet,16,0.2916666666666667,0.11666666666666667,2.5,1.6981824912751715,1.3436087439147135
CAFNet,17,0.17647058823529413,0.054901960784313725,3.2142857142857144,3.304903960695454,2.6949806886560776
CAFNet,18,0.1935483870967742,0.13548387096774195,1.4285714285714284,2.2105666108189093,2.092601785256017
CAFNet,19,0.4090909090909091,0.2,2.0454545454545454,3.3051801066506994,2.456736695360054
CAFNet,20,0.22,0.1,2.1999999999999997,1.469088230729103,1.0832098828852177
CAFNet,21,0.3793103448275862,0.07586206896551724,5.0,2.3313743143246093,1.562266624384913
CAFNet,22,0.21739130434782608,0.11304347826086956,1.9230769230769231,2.9624302775963494,2.6953732534595156
CAFNet,23,0.2,0.18285714285714286,1.09375,1.6753855620111737,1.0817908143145698
CAFNet,24,0.36363636363636365,0.16363636363636364,2.2222222222222223,3.0734995061700996,2.52652393525297
CAFNet,25,0.2413793103448276,0.11724137931034483,2.058823529411765,2.3173589367291023,1.7326085465735404
CAFNet,26,0.26,0.028,9.285714285714286,3.1232053431868554,2.2244022032022475
CAFNet,27,0.30434782608695654,0.05217391304347826,5.833333333333334,3.2271168439284614,1.6600036203861237
CAFNet,28,0.4,0.2,2.0,1.9112808761000633,1.4692228127121925
CAFNet,29,0.22857142857142856,0.12,1.9047619047619049,1.323160669207573,0.9223793840834072
CAFNet,30,0.17567567567567569,0.005405405405405406,32.5,3.23978535871248,2.8168313120668
CAFNet,31,0.27586206896551724,0.10344827586206896,2.6666666666666665,2.746025185132849,2.2128294231562777
A3Net,0,0.36363636363636365,0.1,3.6363636363636362,1.3946998728947206,0.8886142026971687
A3Net,1,0.18867924528301888,0.07547169811320754,2.5000000000000004,1.807787725245053,1.2860646150022184
A3Net,2,0.36,0.168,2.142857142857143,2.8016738653182984,2.0750938897132873
A3Net,3,0.18666666666666668,0.032,5.833333333333333,1.013879988392194,0.7609847083290417
A3Net,4,0.1,0.13333333333333333,0.75,1.995350859562556,1.6589133355021477
A3Net,5,0.18181818181818182,0.11818181818181818,1.5384615384615385,1.0216355134140362,0.874986014955423
A3Net,6,0.2692307692307692,0.2230769230769231,1.206896551724138,2.215963746492679,2.015575911563176
A3Net,7,0.26666666666666666,0.14666666666666667,1.8181818181818181,1.5248448953032494,1.3539325389266015
A3Net,8,0.24489795918367346,0.0163265306122449,14.999999999999998,2.1510508918032354,1.6591135117472435
A3Net,9,0.24528301886792453,0.026415094339622643,9.285714285714285,2.1508503140143627,1.5961804536153685
A3Net,10,0.2608695652173913,0.2,1.3043478260869563,1.7782517256944075,1.5484786396441252
A3Net,11,0.1891891891891892,0.15135135135135136,1.25,2.0710040733620927,1.8256329581544206
A3Net,12,0.3548387096774194,0.09032258064516129,3.928571428571429,1.853791657955416,1.2451183462335218
A3Net,13,0.21951219512195122,0.1073170731707317,2.0454545454545454,1.2212002397310444,1.019476363008342
A3Net,14,0.25,0.17,1.4705882352941175,1.9993977651000023,1.7742825475335122
A3Net,15,0.15384615384615385,0.16923076923076924,0.9090909090909091,2.701542469171377,2.283241660778339
A3Net,16,0.20833333333333334,0.125,1.6666666666666667,1.2651437940075994,1.0828865383130808
A3Net,17,0.27450980392156865,0.00392156862745098,70.0,2.7230051241669,2.2183856157695545
A3Net,18,0.3225806451612903,0.08387096774193549,3.846153846153846,1.950361541682674,1.4494039892188963
A3Net,19,0.13636363636363635,0.00909090909090909,15.0,2.1999603428623895,1.6840702799233522
