model,n_pairs,n_positive_pairs,n_control_pairs,auroc,aupr,mannwhitney_u,mannwhitney_p_greater,top15_pos_hit_rate,top15_control_hit_rate,top15_enrichment,top15_or,top15_or_ci_low,top15_or_ci_high,top15_fisher_p_greater
CAFNet,6612,1102,5510,0.5839666206633048,0.2491637549762915,3545857.0,6.047372049258835e-19,0.2422867513611615,0.1117967332123412,2.167207792207792,2.5418656019895716,2.163505531010263,2.9863943706031404,1.4360304188909188e-27
A3Net,6612,1102,5510,0.5858132878350203,0.2326432267080995,3557070.0,1.052442272581019e-19,0.2422867513611615,0.09909255898366606,2.445054945054945,2.908457224391331,2.469537090444251,3.4253882878885586,2.420296485546501e-34
SIDER-popularity,6612,1102,5510,0.5571383164087076,0.2927538783431644,3382955.0,9.968594797609468e-10,0.28039927404718695,0.13611615245009073,2.0600000000000005,2.4740905768764954,2.1246888339869145,2.880950887807399,2.562511448356603e-29
