epoch,train_loss,auc_all,aupr_all,drugAUC,drugAUPR
10,1278.4673883774701,0.8219359193070829,0.24683759894963608,0.8598574343373897,0.34244350235365917
20,1103.5123093548943,0.8023525625530757,0.2390464118480218,0.8732704362764768,0.3598539177070778
30,912.1564079733456,0.8106712936789047,0.2218971349796113,0.8734331814973315,0.3587539726178185
40,806.8801969640396,0.8121386945957122,0.21349763624652535,0.8760695452132453,0.34492328687513324
50,665.905133640065,0.8030590662898125,0.19155595288026286,0.8677949351043799,0.32783044533900835
60,632.3942538990694,0.7758518847168717,0.22883250319899895,0.8597628075377057,0.3506582093234538
70,543.5504877427045,0.7750689471068275,0.20178203348871612,0.8541062852797906,0.3404648980149803
80,476.7627909043256,0.7845845223657448,0.19939843777164373,0.8506022459566058,0.32897752022028837
90,452.72976886524873,0.7943422573696317,0.21658857935157763,0.8482327935097583,0.33717397541338445
100,406.70597749597886,0.7888836813965473,0.22309087984731873,0.8500620790441592,0.3286117643442676
10,1290.5117097742418,0.8216458137570689,0.2700794876986151,0.8725727536032186,0.37765358325979154
20,1124.5456165986902,0.8322135003785535,0.24803746155167816,0.8838852550453907,0.3922979478169033
30,1020.0396163042853,0.8446707904199652,0.2702306824135941,0.884119293883279,0.3891111577397828
40,846.8073479147519,0.8364645862408544,0.25558966485372797,0.8870827490054762,0.3828485760347005
50,755.1097537769991,0.8376770605766115,0.28729616252938805,0.8775552158945813,0.37849448664019664
60,655.8279517678653,0.8213254696133742,0.25717803381096993,0.8723051277105702,0.35020162335901356
70,610.168581345502,0.8120961115354648,0.2444879568376281,0.8581900198857089,0.3344317081722093
80,586.1382109698127,0.7838009944976635,0.21955227126756446,0.8465390300955314,0.3286944963145258
90,458.0758258595186,0.8081305626712514,0.2630419902322434,0.8537956843142861,0.34348281240981626
100,455.1476860046387,0.8077800966853763,0.25607495413012366,0.8519240727027388,0.3462048634369502
10,1226.6010176714728,0.8198695736702527,0.3116434164412222,0.8719178771277475,0.4126474928478278
20,1105.900427425609,0.8303209029181357,0.31957399337734366,0.8708833169561441,0.42075010498525683
30,928.6729485006894,0.8212626078911899,0.2920206819940478,0.8736032218637646,0.41497317414401114
40,820.3427992428051,0.8334148945285845,0.31348275874742465,0.8665348854724133,0.3998925076083347
50,704.0554477467257,0.8104810113357936,0.28468774925440565,0.8558925464813791,0.38590766728839154
60,636.1245036405676,0.8096952724939559,0.3184431660810886,0.8533249947348674,0.3944353320725012
70,554.70843371223,0.8151248968022786,0.31050347690082425,0.8508484359230694,0.3961207909397302
80,472.498878030216,0.8257391274706494,0.3424295732640025,0.8503037812992729,0.3938563074600576
90,473.9750711777631,0.8209627719343857,0.33676365827247023,0.8464235131097659,0.3775907587245308
100,432.16354112064136,0.8029734068199355,0.3200242586274458,0.8330993460621808,0.36920682651527964
10,1262.1385614731732,0.8197073671004407,0.23493778992459013,0.8689078641842337,0.36329664397148376
20,1102.128755457261,0.812390182566277,0.24908978458171438,0.8746108025043886,0.3842611376266759
30,980.9838912066291,0.8337407015456969,0.2345003777618648,0.8761914700265944,0.37783340929936277
40,800.7254005880917,0.8180335603956764,0.23725525852683824,0.8692050421337167,0.37492797388994065
