pearson,rMSE,spearman,MAE,auc_all,aupr_all,drugAUC,drugAUPR,MAP,nDCG,P1,P5,P10,P15,R1,R5,R10,R15
0.4266965373094298,1.8315206438380462,0.45002501657376043,1.4860753,0.7888837103780463,0.22309085985207416,0.8500618482997778,0.3286112237553586,0.32860143333014147,0.665803806598788,0.38666666666666666,0.4773333333333334,0.4533333333333333,0.4319999999999999,0.015058941341939218,0.09301981882913685,0.17803574706226294,0.25311656439691443
0.38156802812947715,1.657872466963149,0.3971411700282979,1.2864254,0.8077800743065932,0.25608353826305486,0.8519208288016604,0.3465326929323619,0.3438882536742385,0.7556715166353787,0.6266666666666667,0.5253333333333333,0.4986666666666665,0.48533333333333334,0.02231039478403435,0.08519152209758876,0.1605397442090341,0.2323553096392471
0.3086586722307937,1.8771647354861618,0.30619840842948365,1.4940735,0.8029734111811856,0.32001865521386047,0.8330984496199283,0.3675779463908606,0.36621293944307104,0.7432354718061681,0.52,0.528,0.5213333333333332,0.5217777777777777,0.013725923876220377,0.07316692918720533,0.13794024240944786,0.19974051819762265
0.3166711019041585,1.820650257651715,0.3446371892427908,1.4290237,0.7905036141044381,0.20811557928990654,0.8429849920896749,0.29278074060836823,0.29276903515074876,0.6659089740891214,0.48,0.4159999999999999,0.40666666666666673,0.39644444444444427,0.018760647984122317,0.07726495350432602,0.15748086862616514,0.2272430998285092
0.30162189491691654,1.7595275650141653,0.30605301961309045,1.3816102,0.8232088461073562,0.25902324142231753,0.8625614165885683,0.33660920062087996,0.33660320885189127,0.6916236500260016,0.37333333333333335,0.46133333333333343,0.4373333333333333,0.43288888888888866,0.017228736342750708,0.10431275058578884,0.17184981395280743,0.249411021159808
0.37736921284942887,1.7729786686827007,0.4027895907969263,1.4166906,0.7810573619775113,0.26369789556810447,0.8205336418122026,0.3477378355869681,0.34773344496799186,0.7489803733525577,0.5466666666666666,0.538666666666667,0.5160000000000001,0.48,0.018588187026755885,0.08270717299855786,0.15888260350595018,0.21395922300661938
0.41640307396154064,1.736780577540201,0.4306034129901854,1.395664,0.7743930809786921,0.24427299477713102,0.8323537926064308,0.35277093629764084,0.352613037486965,0.7686612760856404,0.6,0.5333333333333334,0.48400000000000004,0.4524444444444443,0.025419818335525705,0.09806807113709047,0.17085517321835006,0.22123186596237626
0.4483910518154008,1.6366373192097652,0.45460510095953965,1.3248613,0.7902826996644463,0.23838288113190426,0.8414264153144344,0.3348840408998282,0.334827855063457,0.7233547660565683,0.5466666666666666,0.5253333333333333,0.47066666666666684,0.4293333333333332,0.024022341625280035,0.10734679633526795,0.17134481051046802,0.21892023091017576
0.35534841437734704,1.7235999604031056,0.3623204254249531,1.3443967,0.8083063376339873,0.23690874322519306,0.8462676732023908,0.31634778750499687,0.3163439056369321,0.6967819436814092,0.4533333333333333,0.45866666666666656,0.4439999999999999,0.4257777777777778,0.019841230807688674,0.08931897092576746,0.15978564069820367,0.22888362805004916
0.3934897305199038,1.7249983524922783,0.40354367300194743,1.3804005,0.7921664346162505,0.2681982988320652,0.8593115266019703,0.37154841540666916,0.37113808142339344,0.7463906099342726,0.5333333333333333,0.5573333333333333,0.5173333333333334,0.4764444444444447,0.02340934387795563,0.11787644688599111,0.20417120884552123,0.26021511904627753
avg
0.3726217718014396,1.7541730547281287,0.3857917007060975,1.3939221199999998,0.7959555570948507,0.2517792687575611,0.8440520584937039,0.3395400820003932,0.339073119502883,0.7206412388265906,0.5066666666666666,0.5021333333333333,0.47493333333333326,0.4532444444444444,0.019836556600227248,0.09282734324867202,0.16708858530382104,0.2305076580197599
