scenario,model,fold,hot_top_n,topk,mean_topk_hot_fraction
cold,RF,6,50,15,0.5448888888888889
cold,XGBoost,6,50,15,0.43288888888888893
cold,Global popularity,6,50,15,1.0
cold,HSTrans,6,50,15,0.9928888888888889
cold,CAFNet,7,20,15,0.6862222222222223
cold,A3Net,7,20,15,0.6897777777777779
cold,RF,7,20,15,0.33333333333333326
cold,XGBoost,7,20,15,0.3644444444444444
cold,Global popularity,7,20,15,1.0
cold,HSTrans,7,20,15,0.879111111111111
cold,CAFNet,7,50,15,0.8391111111111111
cold,A3Net,7,50,15,0.8524444444444443
cold,RF,7,50,15,0.5262222222222223
cold,XGBoost,7,50,15,0.42577777777777776
cold,Global popularity,7,50,15,1.0
cold,HSTrans,7,50,15,0.9688888888888889
cold,CAFNet,8,20,15,0.6186666666666667
cold,A3Net,8,20,15,0.6311111111111113
cold,RF,8,20,15,0.3102222222222222
cold,XGBoost,8,20,15,0.35466666666666663
cold,Global popularity,8,20,15,1.0
cold,HSTrans,8,20,15,0.7964444444444444
cold,CAFNet,8,50,15,0.7519999999999999
cold,A3Net,8,50,15,0.7884444444444444
cold,RF,8,50,15,0.5439999999999999
cold,XGBoost,8,50,15,0.4168888888888888
cold,Global popularity,8,50,15,1.0
cold,HSTrans,8,50,15,0.8915555555555554
cold,CAFNet,9,20,15,0.6462222222222223
cold,A3Net,9,20,15,0.7146666666666666
cold,RF,9,20,15,0.30311111111111105
cold,XGBoost,9,20,15,0.3688888888888888
cold,Global popularity,9,20,15,1.0
cold,HSTrans,9,20,15,0.9279999999999999
cold,CAFNet,9,50,15,0.8151111111111111
cold,A3Net,9,50,15,0.856888888888889
cold,RF,9,50,15,0.5688888888888889
cold,XGBoost,9,50,15,0.4275555555555555
cold,Global popularity,9,50,15,1.0
cold,HSTrans,9,50,15,0.9928888888888889
