pearson,rMSE,spearman,MAE,auc_all,aupr_all,drugAUC,drugAUPR,MAP,auc_rank,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,model,fold,seconds
0.36675792023769416,2.005863661840237,0.3837838927885022,1.5898467270162906,0.7951407894412515,0.18135496418088617,0.8520343307423375,0.30525560187421397,0.30525560187421397,0.8520343307423376,0.7162266436739054,0.5066666666666667,0.4506666666666667,0.42399999999999993,0.39555555555555527,0.026589690557223235,0.09443166250792759,0.17335011145473486,0.23772082081612037,HSTrans,0,6210.63
0.32605036855804326,1.9444262336026,0.358681876132595,1.5297670515869992,0.7981807155995145,0.21623943721179587,0.858901835077282,0.3053780124151736,0.30537801241517354,0.8589005517462925,0.6898809954605882,0.4,0.46933333333333366,0.4453333333333334,0.41688888888888886,0.012653460002976243,0.07743431577084316,0.1403844963334277,0.19262966587070895,HSTrans,1,6135.4
0.3055653595713158,2.1793835545334845,0.30778097272827676,1.7829180138464207,0.768536154687779,0.234626887133975,0.8412397116382241,0.32728641736472064,0.3272864173647206,0.8412397116382241,0.6659136161149838,0.36,0.44266666666666654,0.4799999999999999,0.45955555555555566,0.007706556499214525,0.05431759311549393,0.12050157657207862,0.16739425704296748,HSTrans,2,5894.61
0.3585854607854409,2.220541711280575,0.3915834758651789,1.8217903761249672,0.7643304409968895,0.17163664053051494,0.8449236493085966,0.2769172922764467,0.2769172922764467,0.8449236493085966,0.6807904901486528,0.4266666666666667,0.39199999999999996,0.3866666666666668,0.3760000000000001,0.021858542553337107,0.0871072534798906,0.1614472716190139,0.22566390214218232,HSTrans,3,6617.72
0.23843553045346924,2.009249394731991,0.23562023014299488,1.5444347424613316,0.8169008989999486,0.2207124907605742,0.8560273834768611,0.30010839684519863,0.30010839684519863,0.8560273834768611,0.7075576255516206,0.4666666666666667,0.4720000000000002,0.4253333333333333,0.39555555555555527,0.0208173018528593,0.09490370995669878,0.16356617673500143,0.2172978721618926,HSTrans,4,6607.6
0.3363408993628654,2.132125150944391,0.37012482590979656,1.7058470273353183,0.744352294522318,0.19227024143074364,0.8209959337921923,0.3065667793972922,0.3065667793972922,0.8209959337921923,0.6916203139023211,0.44,0.4853333333333335,0.4493333333333336,0.4204444444444444,0.01530505573828909,0.07744322081623088,0.13264163368927331,0.17917677182752073,HSTrans,5,5756.78
0.41783972557361443,2.060518014694846,0.43201005069059933,1.6982339875274886,0.760997486691434,0.20616753814863806,0.8473633598591311,0.31638143776848193,0.316381437768482,0.8473629470267775,0.7324418551124188,0.5466666666666666,0.5093333333333334,0.4520000000000002,0.4213333333333331,0.018844028650598203,0.08656769064691805,0.14963647321949006,0.1996914908204179,HSTrans,6,5820.59
0.4603115064535306,1.9306698041200356,0.45768539358621135,1.5774265496407964,0.7865966105868611,0.21525125553402807,0.8498524611701628,0.315476498235469,0.315476498235469,0.8498524611701628,0.7118676241942128,0.48,0.509333333333333,0.46399999999999997,0.44,0.01972850724523211,0.10166637497663038,0.163450719551211,0.22059389011054956,HSTrans,7,5829.64
0.31036642652144514,1.9176409550399545,0.331790192990727,1.4927274094197243,0.7812894472122799,0.18993699243431544,0.8431603313879082,0.2814311986110974,0.2814311986110973,0.8431603313879082,0.6910542394261083,0.38666666666666666,0.4346666666666665,0.42533333333333334,0.38488888888888884,0.014802219457134967,0.08808779580388365,0.16259335503130398,0.21144730556335298,HSTrans,8,5995.61
0.3538026249053811,2.0441522114510695,0.3699330459384225,1.643303796851017,0.7811657039746153,0.22615797468797988,0.8534556301370602,0.3045047324475775,0.3045047324475775,0.8534556301370602,0.6940563680339659,0.41333333333333333,0.4239999999999998,0.41733333333333333,0.3955555555555554,0.018305830780613284,0.0884922348527876,0.16039538685877208,0.21457164378115218,HSTrans,9,5848.22
0.34740558224227996,2.0444570692239186,0.36389939567733043,1.6386295681810357,0.779749054271289,0.20543544220534513,0.8467954626589755,0.3039306367235671,0.3039306367235671,0.8467952930426413,0.6981409771618778,0.44266666666666665,0.4589333333333333,0.43693333333333345,0.4105777777777777,0.017661119333747807,0.08504518519273047,0.1527967201064307,0.2066187620136865,HSTrans,avg,6071.68
