model,metric,metric_label,mean,std,mean_std,n
DSGAT,rMSE,RMSE,1.405063763095782,0.09571200702647316,1.4051 +/- 0.0957,10
DSGAT,MAE,MAE,1.14332551,0.11140582600469182,1.1433 +/- 0.1114,10
CAFNetV2_balanced,MAP,MAP,0.39165509742291116,0.027056194125202965,0.3917 +/- 0.0271,10
CAFNetV2_balanced,auc_all,AUROC,0.8144352848028404,0.025296674609872307,0.8144 +/- 0.0253,10
CAFNetV2_balanced,aupr_all,AUPR,0.28302918710225883,0.035737164952414316,0.2830 +/- 0.0357,10
CAFNetV2_balanced,drugAUC,drug-AUROC,0.874471633276191,0.009179138226589438,0.8745 +/- 0.0092,10
CAFNetV2_balanced,drugAUPR,drug-AUPR,0.3917782876247732,0.027072329645143018,0.3918 +/- 0.0271,10
CAFNetV2_balanced,nDCG,nDCG,0.8049615919825911,0.03818812421412907,0.8050 +/- 0.0382,10
CAFNetV2_balanced,P1,P1,0.68,0.060939152003564825,0.6800 +/- 0.0609,10
CAFNetV2_balanced,P5,P5,0.6056000000000001,0.06460760953538326,0.6056 +/- 0.0646,10
CAFNetV2_balanced,P10,P10,0.5359999999999999,0.05572418851078209,0.5360 +/- 0.0557,10
CAFNetV2_balanced,P15,P15,0.5044444444444445,0.046625496242537,0.5044 +/- 0.0466,10
CAFNetV2_balanced,R1,R1,0.029555108849861882,0.005566990675180793,0.0296 +/- 0.0056,10
CAFNetV2_balanced,R5,R5,0.11851734610961975,0.02567385021039111,0.1185 +/- 0.0257,10
CAFNetV2_balanced,R10,R10,0.1930097915753019,0.03187306383610154,0.1930 +/- 0.0319,10
CAFNetV2_balanced,R15,R15,0.26178164738752907,0.027591705867629313,0.2618 +/- 0.0276,10
CAFNetV2_balanced,spearman,spearman,0.43048616911661614,0.070525126445109,0.4305 +/- 0.0705,10
CAFNetV2_balanced,rMSE,RMSE,1.5216182218504637,0.15471755509948268,1.5216 +/- 0.1547,10
CAFNetV2_balanced,MAE,MAE,1.27344099,0.16206873461947796,1.2734 +/- 0.1621,10
CAFNetV2_ranking,MAP,MAP,0.39881908632465046,0.025889196503995435,0.3988 +/- 0.0259,10
CAFNetV2_ranking,auc_all,AUROC,0.8261004394127177,0.02488625234097998,0.8261 +/- 0.0249,10
CAFNetV2_ranking,aupr_all,AUPR,0.2968195308818393,0.032123886095022806,0.2968 +/- 0.0321,10
CAFNetV2_ranking,drugAUC,drug-AUROC,0.8771097949352891,0.010137633736077371,0.8771 +/- 0.0101,10
CAFNetV2_ranking,drugAUPR,drug-AUPR,0.3989369887474493,0.02594210060959609,0.3989 +/- 0.0259,10
CAFNetV2_ranking,nDCG,nDCG,0.8110230787646365,0.0389847346325948,0.8110 +/- 0.0390,10
CAFNetV2_ranking,P1,P1,0.6813333333333333,0.060760611022699994,0.6813 +/- 0.0608,10
CAFNetV2_ranking,P5,P5,0.6301333333333334,0.051017111629455714,0.6301 +/- 0.0510,10
CAFNetV2_ranking,P10,P10,0.5614666666666667,0.04957279221906979,0.5615 +/- 0.0496,10
CAFNetV2_ranking,P15,P15,0.5128000000000001,0.041941261427750336,0.5128 +/- 0.0419,10
CAFNetV2_ranking,R1,R1,0.02970325699801003,0.005582876647286419,0.0297 +/- 0.0056,10
CAFNetV2_ranking,R5,R5,0.1227922115121816,0.020460779617929456,0.1228 +/- 0.0205,10
CAFNetV2_ranking,R10,R10,0.20420181787652708,0.027684165068165657,0.2042 +/- 0.0277,10
CAFNetV2_ranking,R15,R15,0.26646714185433396,0.024227126252116284,0.2665 +/- 0.0242,10
CAFNetV2_ranking,spearman,spearman,0.3951805262264051,0.07137446217264225,0.3952 +/- 0.0714,10
CAFNetV2_ranking,rMSE,RMSE,1.7833443743237853,0.14480612823307284,1.7833 +/- 0.1448,10
CAFNetV2_ranking,MAE,MAE,1.50072936,0.15795485321804384,1.5007 +/- 0.1580,10
