drug_local_idx,model,matched_AUROC,matched_AUPR,pos_gt_ctrl_rate,pos_minus_ctrl_score
0,CAFNet,0.67066,0.7028433872952682,0.774,0.6860419025793671
0,CAFNet-D full,0.66186,0.7238673985573965,0.818,0.8232726372741163
0,CAFNet-D + ATC,0.59308,0.6784548518382016,0.688,0.4146689663864672
0,CAFNet-D + ATC+target,0.6017,0.6672678244437429,0.69,0.5201768997311592
0,Global popularity,0.584,0.6819787834741089,0.612,0.07402074074074073
1,CAFNet,0.45537190082644624,0.5210122436333308,0.45454545454545453,-0.1910905144431375
1,CAFNet-D full,0.3,0.40850345253799214,0.20909090909090908,-1.1880054346370426
1,CAFNet-D + ATC,0.43719008264462805,0.5166766374689773,0.37272727272727274,-0.2706297211518342
1,CAFNet-D + ATC+target,0.45454545454545453,0.5189016259010102,0.41818181818181815,-0.23390691530975433
1,Global popularity,0.5206611570247934,0.535095771842774,0.5363636363636364,0.0011717171717171699
2,CAFNet,0.680612244897959,0.7374973015242275,0.7714285714285715,0.7219670282942908
2,CAFNet-D full,0.6948979591836735,0.7597208485798996,0.8,1.126382827758789
2,CAFNet-D + ATC,0.6673469387755102,0.7548352811091584,0.7857142857142857,0.7723931090107986
2,CAFNet-D + ATC+target,0.7326530612244898,0.791923478700254,0.8857142857142857,1.0499722293445042
2,Global popularity,0.613265306122449,0.728467410083426,0.6571428571428571,0.16812698412698412
3,CAFNet,0.7006944444444444,0.726047808640815,0.7666666666666667,0.8472287990152836
3,CAFNet-D full,0.7152777777777778,0.7577504194258876,0.85,0.9900066311781605
3,CAFNet-D + ATC,0.6340277777777777,0.7299441852110743,0.7083333333333334,0.4182617528674503
3,CAFNet-D + ATC+target,0.6451388888888889,0.736992346294311,0.6916666666666667,0.4983214743435383
3,Global popularity,0.6211805555555555,0.7238770951783119,0.675,0.128358024691358
4,CAFNet,0.5833333333333334,0.565402339595888,0.6666666666666666,0.3319284071524938
4,CAFNet-D full,0.6611111111111111,0.7231049928563154,0.6666666666666666,0.34525759344299634
4,CAFNet-D + ATC,0.6555555555555554,0.7488355092824295,0.6333333333333333,-0.15196327591935793
4,CAFNet-D + ATC+target,0.6888888888888888,0.7715674369005598,0.6666666666666666,0.37158640772104273
4,Global popularity,0.6888888888888889,0.7755230880230879,0.6333333333333333,0.15511111111111114
5,CAFNet,0.6373333333333332,0.6087680090216613,0.6266666666666667,0.5942284227410952
5,CAFNet-D full,0.6115555555555555,0.581444218761815,0.6933333333333334,0.33869800170262654
5,CAFNet-D + ATC,0.6124444444444446,0.5740917350703152,0.6666666666666666,0.5376456570873658
5,CAFNet-D + ATC+target,0.6355555555555555,0.601222094330689,0.7866666666666666,0.6394433600952228
5,Global popularity,0.512888888888889,0.5303360972382967,0.49333333333333335,-0.012029629629629633
6,CAFNet,0.8675736961451247,0.861282631562744,0.9174603174603174,1.4710771011099928
6,CAFNet-D full,0.6426303854875284,0.6864372728778113,0.7968253968253968,0.47707168174286685
6,CAFNet-D + ATC,0.6904509952129,0.7248915807141167,0.8857142857142857,0.6018984118439553
6,CAFNet-D + ATC+target,0.6769967246157722,0.708865641345339,0.8634920634920635,0.5875876561280281
6,Global popularity,0.5876039304610734,0.6634168779989362,0.6952380952380952,0.07523574368018812
7,CAFNet,0.5277777777777778,0.5846917254046474,0.4777777777777778,0.09954196314016986
7,CAFNet-D full,0.5092592592592593,0.6199788812345925,0.5,0.09163962606754567
7,CAFNet-D + ATC,0.5833333333333334,0.6755278512412799,0.6666666666666666,0.48084832529226923
7,CAFNet-D + ATC+target,0.5604938271604938,0.6669587877771573,0.6222222222222222,0.37415707040992047
7,Global popularity,0.5787037037037037,0.6583373435879516,0.5666666666666667,0.08475720164609053
8,CAFNet,0.561267006802721,0.5705610338358018,0.5785714285714286,0.1766955164571603
8,CAFNet-D full,0.6098639455782313,0.6841236689734485,0.6023809523809524,0.1679386653338692
8,CAFNet-D + ATC,0.7143424036281179,0.7660354240764607,0.8214285714285714,0.9028796784114093
