group,model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n
frequent,CAFNet,0.422552850436554,0.20987221873620238,749,0.5098076342607918,0.28879628257481127,749,0.4630173564753004,0.27087538463321464,749,0.28973625302935735,0.17748615878516258,749
frequent,CAFNet-D + ATC kNN k=10 beta=0.05,0.4848962956653678,0.21267657799852904,749,0.6246657688879911,0.28840259887989966,749,0.5204272363150868,0.2821162834357348,749,0.33057498122028617,0.18653877527117252,749
frequent,CAFNet-D + ATC kNN k=10 beta=0.1,0.4763790722070112,0.21169352026692523,749,0.6143043580883812,0.2870061770131743,749,0.5123275478415665,0.2804126438977903,749,0.3251585966284498,0.18644149241841254,749
frequent,CAFNet-D + ATC kNN k=10 beta=0.2,0.46163153656496664,0.21064593324858588,749,0.5974797110506257,0.28890044906131646,749,0.49728526924788613,0.27796912256527395,749,0.3129424293383841,0.1802796922919532,749
frequent,CAFNet-D + ATC kNN k=10 beta=0.3,0.44975746305540903,0.2091757806249315,749,0.5845953778394547,0.28844368264535625,749,0.484913217623498,0.2724080231023879,749,0.3053514906012514,0.17930066484744742,749
frequent,CAFNet-D + ATC kNN k=10 beta=0.5,0.4346270379120749,0.20824643453005376,749,0.5659531530481942,0.2876695040862621,749,0.4720071206052514,0.26763631187393744,749,0.296773893206518,0.17654665042206122,749
frequent,CAFNet-D + ATC kNN k=10 beta=0.8,0.42226380140154623,0.2069201380695105,749,0.5491680303878327,0.2853516967956838,749,0.46150422785936807,0.26473799734546744,749,0.2888619741268739,0.17342195068481547,749
frequent,CAFNet-D + ATC kNN k=10 beta=1.0,0.4174207548031132,0.20646622194387618,749,0.543024145842623,0.28539802666354985,749,0.45660881174899864,0.26406880681951717,749,0.28542286687398677,0.1733264535370849,749
frequent,CAFNet-D + ATC kNN k=20 beta=0.05,0.4868956271222712,0.21327232300571547,749,0.6275656560897882,0.2882036389857367,749,0.5220293724966623,0.2824797455088312,749,0.3317583220429042,0.18804621803625476,749
frequent,CAFNet-D + ATC kNN k=20 beta=0.1,0.4802043277195664,0.21253908644267855,749,0.6194766707037005,0.28759265703078973,749,0.5151757899421451,0.28173174175987037,749,0.3266998744983741,0.186960424746808,749
