drug_idx,fold,group,model,AP,nDCG@10,P@15,R@15
6,0,mid,CAFNet-D,0.01972868098729632,0.0,0.0,0.0
6,0,mid,CAFNet,0.025333205040322607,0.0,0.0,0.0
6,0,mid,A3Net,0.02637387722962228,0.0,0.0,0.0
6,0,mid,CAFNet-D w/o association residual,0.03982797022838265,0.0,0.0,0.0
6,0,mid,CAFNet-D w/o bias/popularity prior,0.02518098328255213,0.0,0.0,0.0
6,0,mid,Global popularity,0.1392210532312942,0.2537894739149921,0.2,0.375
6,0,mid,HSTrans100,0.0652544073968165,0.09785159463516042,0.06666666666666667,0.125
6,0,frequent,CAFNet-D,0.05332300550887563,0.09785159463516042,0.06666666666666667,0.125
6,0,frequent,CAFNet,0.11650500271033962,0.09785159463516042,0.13333333333333333,0.25
6,0,frequent,A3Net,0.052238732349569786,0.0,0.0,0.0
6,0,frequent,CAFNet-D w/o association residual,0.06078808990855364,0.0901000086523677,0.06666666666666667,0.125
6,0,frequent,CAFNet-D w/o bias/popularity prior,0.13805601961851963,0.1089364926177559,0.13333333333333333,0.25
6,0,frequent,Global popularity,0.10571813424248913,0.1089364926177559,0.06666666666666667,0.125
6,0,frequent,HSTrans100,0.11968748653904535,0.15958907712489637,0.06666666666666667,0.125
7,6,rare,CAFNet-D,0.08685636645056394,0.06362078819895173,0.06666666666666667,0.058823529411764705
7,6,rare,CAFNet,0.10599777935307765,0.09478836436955079,0.06666666666666667,0.058823529411764705
7,6,rare,A3Net,0.04694524171644886,0.06625422345438904,0.13333333333333333,0.11764705882352941
7,6,rare,CAFNet-D w/o association residual,0.1669231661289927,0.06362078819895173,0.13333333333333333,0.11764705882352941
7,6,rare,CAFNet-D w/o bias/popularity prior,0.031392099898549256,0.0,0.0,0.0
7,6,rare,Global popularity,0.039245033686712255,0.0,0.0,0.0
7,6,rare,HSTrans100,0.12088633473353763,0.13886244387355456,0.13333333333333333,0.11764705882352941
7,6,mid,CAFNet-D,0.03770053968858888,0.0,0.0,0.0
7,6,mid,CAFNet,0.07052782928670905,0.13032376591037065,0.06666666666666667,0.16666666666666666
7,6,mid,A3Net,0.028542248153713375,0.0,0.0,0.0
7,6,mid,CAFNet-D w/o association residual,0.2079952454952455,0.2086566256907821,0.2,0.5
7,6,mid,CAFNet-D w/o bias/popularity prior,0.01699580628489917,0.0,0.0,0.0
7,6,mid,Global popularity,0.023576561438916496,0.0,0.0,0.0
7,6,mid,HSTrans100,0.05556270043453849,0.09546043308946735,0.06666666666666667,0.16666666666666666
