model,matched_AUROC_mean,matched_AUROC_std,matched_AUROC_n,matched_AUPR_mean,matched_AUPR_std,matched_AUPR_n,pos_minus_ctrl_score_mean,pos_minus_ctrl_score_std,pos_minus_ctrl_score_n,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,pos_gt_ctrl_rate_n
A3Net,0.649978536581425,0.11494340807085836,750,0.6751094104400308,0.10479403694441082,750,0.5438853663883072,0.42836734061174786,750,0.6822566482514046,0.13104538992921705,750
CAFNet,0.6563128639672791,0.11748175524758052,750,0.6826448193345639,0.10655663341027355,750,0.6001524713564047,0.46506435863349915,750,0.6875135030209597,0.1323427012119996,750
CAFNet-D,0.6623702439298614,0.11587129639606268,750,0.7029081568699973,0.10516707623242233,750,0.6775245620363075,0.5176896212011337,750,0.7116060069498574,0.1352958458550666,750
CAFNet-D w/o association residual,0.6625885011140253,0.11391626214373061,750,0.7036160243817117,0.10485165049954745,750,0.6488223020548534,0.45877786595109327,750,0.713112039035621,0.12979726266420225,750
CAFNet-D w/o bias/popularity prior,0.6626170520147034,0.11986275469662626,750,0.6975679358470321,0.10873793605349925,750,0.5871936030334979,0.5051022175745812,750,0.7039569107759754,0.1371766813126266,750
Global popularity,0.6228647702654595,0.09750170703651936,750,0.6842225473439009,0.09778938936838151,750,0.0973420351269136,0.0694229102110313,750,0.657667137930503,0.12036018807664085,750
HSTrans100,0.6064505668462263,0.10165989373827236,750,0.6390932405194176,0.09709814362219665,750,0.4176636588681392,0.41661510876984315,750,0.6310906364669702,0.11793962282183122,750
