pearson,rMSE,spearman,MAE,auc_all,aupr_all,drugAUC,drugAUPR,MAP,auc_rank,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,model,fold,seconds
0.32874924393783184,1.996289856429118,0.33727462090709204,1.7314238577988288,0.7593217433710582,0.13820102297222536,0.8030366782085394,0.18512503344368153,0.18104079200126416,0.7998070716180375,0.6538877423536081,0.56,0.34133333333333327,0.2693333333333334,0.22844444444444428,0.025897948858906436,0.06884521282968249,0.1074603729901065,0.13192949085996608,rf,0,7.3
0.3554572440387362,1.7901495902342743,0.36316172916059936,1.529834514921857,0.7718421979552212,0.14954851778846412,0.812905261294261,0.1933663708474205,0.18923553853207184,0.8095750351832824,0.6946713102690997,0.44,0.38666666666666677,0.3026666666666669,0.2719999999999999,0.014412430790874746,0.06583030083798733,0.10231014077729503,0.13206483907940525,rf,1,7.14
0.2983479004126272,1.8829705555530623,0.2857810263901655,1.6028866844243836,0.7672392555067814,0.21411272985534519,0.8010293502190293,0.22161099917513002,0.2177525052006554,0.7977709794271873,0.6996466506700895,0.48,0.456,0.36266666666666664,0.32977777777777767,0.013448170652009714,0.056973395620779806,0.0837362250289863,0.11275684532996112,rf,2,6.93
0.3514224050583549,1.934888402856072,0.35876557077149973,1.6661940849812436,0.7554990959091951,0.13655842313811936,0.806380060412255,0.19078066472883407,0.18702776306354965,0.8032406824260502,0.6531930143505131,0.4266666666666667,0.38666666666666655,0.2786666666666667,0.2586666666666666,0.02068518321603434,0.08373440839149973,0.11659236094003739,0.15322140657888952,rf,3,7.12
0.28231795087750117,1.9708490877213674,0.2779046349586748,1.6839961132123358,0.7833101116375187,0.162322976593708,0.8197070191266567,0.19122274486684507,0.1872821029794138,0.8164342359999138,0.6796917785333105,0.44,0.4106666666666665,0.3106666666666665,0.2613333333333332,0.017056761524165708,0.08292564865089881,0.11496805248175572,0.13740192348596644,rf,4,7.22
0.39443171043050496,1.9604463422571894,0.4242385073904084,1.7106473278400671,0.6984842690524564,0.1453509057727444,0.7829232988087512,0.1966111379334598,0.19324104843213472,0.7797034845275252,0.6402094592694672,0.41333333333333333,0.4026666666666667,0.2933333333333332,0.27022222222222214,0.01371828451211472,0.0629630093890499,0.0837146479085462,0.11128133239123611,rf,5,6.8
0.392527623831392,1.802463498269558,0.40058852051323207,1.5420511398918813,0.7553246941355635,0.1680807077908132,0.8105736150082423,0.20613118366024252,0.2027519143538532,0.807323502931843,0.7055666564941274,0.5066666666666667,0.39733333333333326,0.2973333333333334,0.2639999999999999,0.022747917679272613,0.06837771317686481,0.09417214380451182,0.11870788706357854,rf,6,7.04
0.4301294412535023,1.758515030703602,0.43679009993661566,1.5168053815282534,0.7354602016329455,0.1504135970009477,0.806394515185457,0.1973939650882758,0.19429308094344455,0.803128919073914,0.6635699134611625,0.5066666666666667,0.36533333333333323,0.27866666666666656,0.2568888888888887,0.02393354740377696,0.07309512766902723,0.09687256797388273,0.13364470670185427,rf,7,7.18
0.3582717607262008,1.8920986331805494,0.3480350485090279,1.6129521455162161,0.7544851661624432,0.13180208065225357,0.8005330762897912,0.166629699902993,0.16335633529423624,0.7972528893021071,0.6069172528945993,0.38666666666666666,0.33333333333333315,0.26533333333333337,0.2355555555555555,0.011968897245561124,0.060111662669096524,0.09513650325727302,0.12446762168153837,rf,8,6.98
0.36823677903419894,1.7537494884088838,0.3695182077706752,1.4915223882828692,0.7672805846069055,0.1823973057249288,0.8343956474204165,0.21983341321785876,0.2155670861030478,0.8311983078824423,0.7119599948286454,0.4533333333333333,0.42400000000000004,0.3306666666666666,0.28533333333333327,0.023317122534716125,0.09000537742535464,0.12089276511316141,0.15234446861583015,rf,9,7.51
0.35598920596008504,1.8742420485613676,0.36020579663079905,1.6088313638397935,0.7548247319970088,0.15787882672895498,0.8077878521973398,0.19687052128647411,0.19315481669036713,0.8045435108372303,0.6709313773124623,0.4613333333333333,0.3903999999999999,0.2989333333333334,0.26622222222222214,0.018718626441743248,0.07128618566602413,0.1015855780275556,0.13078205217882258,rf,avg,7.122000000000002
