pearson,rMSE,spearman,MAE,MAP,auc_all,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,aupr_all,drugAUC,drugAUPR,model,fold,seconds
0.328999627869855,1.2353595840610596,0.359663773687212,0.8954948416279133,0.1839446417179498,0.889817085248702,0.2442420553339525,0.262992125984252,0.1612598425196857,0.1231496062992125,0.1018372703412078,0.0661960397960018,0.1775748341327157,0.2690653016973374,0.3257601533130462,0.0737174197176436,0.860300457976449,0.1839446417179498,HSTrans,0,1699.79
0.3647810707943959,1.2725987559324647,0.3986662960987404,0.9303462241661756,0.191299714834959,0.8926853472078484,0.254807248563988,0.265527950310559,0.1649068322981373,0.1256211180124222,0.1032091097308493,0.0684132406468033,0.1981237652723549,0.2867200777455626,0.3367777028279548,0.0695735783150607,0.8785273431374336,0.191299714834959,HSTrans,1,1698.22
0.329558737899871,1.4893961945625571,0.3398266868199368,1.1050512945408075,0.1988381355128745,0.8951083772758852,0.2604018006348755,0.2717557251908397,0.1719083969465656,0.1283969465648852,0.1054452926208655,0.0761797362218563,0.2019186054800091,0.2853178465397883,0.3405398453922358,0.0899966178156938,0.872579981114196,0.1988381355128745,HSTrans,2,1655.3
0.3861723294061608,1.1715133565594356,0.424877893710381,0.8428885028993925,0.1938661298964396,0.8980878332407154,0.2511677249100439,0.2791411042944785,0.1680981595092031,0.1242331288343557,0.1041922290388553,0.0726369446365037,0.1978661835084261,0.2708426885522312,0.3292681864349391,0.0854350509296881,0.8811296974549913,0.1938661298964396,HSTrans,3,1686.36
0.364872828973929,1.1453154426400785,0.4120684331574832,0.8227164542027212,0.188402652781203,0.8893795770431663,0.2431142996695998,0.2480739599383667,0.1633281972265029,0.1200308166409859,0.0995377503852086,0.0694277691919644,0.1886981013193556,0.2653963133648256,0.3107235863460371,0.0716670193005791,0.8649596701598274,0.188402652781203,HSTrans,4,1517.8
0.3405878376399455,1.4133120639807075,0.3830139317064852,1.034370938663601,0.1844608245690074,0.892968721271489,0.2434083407284057,0.2276923076923077,0.1609230769230777,0.1233846153846151,0.1047179487179491,0.0612904804467188,0.1858138127380955,0.2756999940934352,0.3395872987835369,0.0608764945479521,0.8682904525893999,0.1844608245690074,HSTrans,5,1843.84
0.3709199037743645,1.2795433848715576,0.390477276944456,0.9540979032195752,0.1681910751868496,0.8895414723679512,0.2235817203438958,0.2,0.1553488372093028,0.1182945736434108,0.1010852713178299,0.0473687792198382,0.1748224043166629,0.2611509726273863,0.3177073789894442,0.0680975723433401,0.8667049070143061,0.1681910751868496,HSTrans,6,1851.49
0.32963896279302735,1.3393539988770988,0.36905701310522065,0.9733557913647292,0.1779642401214728,0.8934522853165524,0.23336578297138783,0.24148606811145512,0.14984520123839065,0.11780185758513945,0.09834881320949493,0.06229740025263957,0.17723138920487252,0.2607996522646298,0.3260093556953301,0.0754254265901262,0.8686991229123726,0.1779642401214728,HSTrans,7,1414.67
0.340906066417505,1.7454319563474983,0.3490713271859023,1.361522354290066,0.1910437552461908,0.8945733612040485,0.25278568579399574,0.23529411764705882,0.16904024767801937,0.1272445820433436,0.10454076367389101,0.062125419185600377,0.20454214153918476,0.2875867353559318,0.34336607343597875,0.07702414664851509,0.8710124104790407,0.1910437552461908,HSTrans,8,1408.07
0.3845590029405166,1.2821380988071505,0.4108657723188869,0.9408733204357622,0.1808676917943808,0.8956045184994739,0.23733641580788192,0.22429906542056074,0.15794392523364564,0.12274143302180676,0.10249221183800669,0.0617626594164935,0.18255804015668345,0.2673512066613293,0.33067976623089357,0.07264597405735412,0.8788158494800942,0.1808676917943808,HSTrans,9,1409.29
0.354099636850957,1.3373962836639608,0.3837588404734705,0.9860717625410743,0.18588788616613272,0.8931218578675832,0.24442110747580265,0.24562624245898784,0.16226027167825308,0.12308986780301774,0.10254066608741581,0.064769846901442,0.18891492776683605,0.27299307889024577,0.3300419347449396,0.0744459300265953,0.8711019892318109,0.18588788616613272,HSTrans,avg,1618.4829999999997
