,Spearman,Spearman,RMSE,RMSE,MAE,MAE
,mean,std,mean,std,mean,std
model,,,,,,
CAFNet-D frequency,0.4454686792718016,0.062061126273956116,1.1940245676441892,0.09106892905608335,0.8546391723015047,0.05913741401609331
