Model,n,path,MAP,auc_all,aupr_all,drugAUC,drugAUPR,nDCG,P1,P15,R1,R15,spearman,rMSE,MAE
CAFNet-original-3fold,3,D:\CAFNet-master-master\result_WS\lr0.0004-2\10WS_CAFNet_knn=10_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal\CAFNet_result.csv,0.2135 +/- 0.0084,0.9098 +/- 0.0048,0.0847 +/- 0.0100,0.9002 +/- 0.0023,0.2135 +/- 0.0084,0.4321 +/- 0.0120,0.2222 +/- 0.0171,0.1148 +/- 0.0022,0.0674 +/- 0.0087,0.4034 +/- 0.0017,0.5091 +/- 0.0294,1.2635 +/- 0.0566,0.9208 +/- 0.0527
WarmPlus-rank_pop-3fold,3,D:\CAFNet-master-master\result_WS\10warmplus_rank_pop_f3_CAFNet_knn=10_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_cal=rank_pop\CAFNet_result.csv,0.2297 +/- 0.0029,0.8945 +/- 0.0040,0.0673 +/- 0.0016,0.8980 +/- 0.0023,0.1891 +/- 0.0194,0.4766 +/- 0.0151,0.3202 +/- 0.0164,0.1183 +/- 0.0012,0.0842 +/- 0.0047,0.3713 +/- 0.0082,0.5020 +/- 0.0088,1.2959 +/- 0.0525,0.9509 +/- 0.0507
decoupled_v2_list0.05_f3,3,D:\CAFNet-master-master\result_WS\10decoupled_v2_list0.05_f3_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=1.0_rw=0.05_popw=0.1_biasw=1.0_listw=0.05\CAFNetDecoupled_result.csv,0.2172 +/- 0.0043,0.8677 +/- 0.0059,0.0627 +/- 0.0059,0.8795 +/- 0.0045,0.2048 +/- 0.0031,0.4751 +/- 0.0167,0.3233 +/- 0.0180,0.1108 +/- 0.0004,0.0826 +/- 0.0066,0.3511 +/- 0.0066,0.6294 +/- 0.0121,0.7606 +/- 0.0194,0.5529 +/- 0.0066
decoupled_v2_list0.0_f3,3,D:\CAFNet-master-master\result_WS\10decoupled_v2_list0.0_f3_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=1.0_rw=0.05_popw=0.1_biasw=1.0_listw=0.0\CAFNetDecoupled_result.csv,0.2129 +/- 0.0026,0.8594 +/- 0.0066,0.0548 +/- 0.0058,0.8789 +/- 0.0049,0.1900 +/- 0.0087,0.4685 +/- 0.0111,0.3073 +/- 0.0149,0.1103 +/- 0.0019,0.0778 +/- 0.0071,0.3501 +/- 0.0121,0.6257 +/- 0.0135,0.7615 +/- 0.0192,0.5566 +/- 0.0092
decoupled_v2_list0.1_f3,3,D:\CAFNet-master-master\result_WS\10decoupled_v2_list0.1_f3_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=1.0_rw=0.05_popw=0.1_biasw=1.0_listw=0.1\CAFNetDecoupled_result.csv,0.2164 +/- 0.0033,0.8706 +/- 0.0057,0.0639 +/- 0.0023,0.8793 +/- 0.0045,0.2013 +/- 0.0088,0.4734 +/- 0.0158,0.3187 +/- 0.0207,0.1104 +/- 0.0008,0.0829 +/- 0.0070,0.3519 +/- 0.0068,0.6322 +/- 0.0102,0.7549 +/- 0.0119,0.5518 +/- 0.0048
