model,MAP_mean,MAP_std,AUROC_mean,AUROC_std,AUPR_mean,AUPR_std,nDCG@10_mean,nDCG@10_std,P@1_mean,P@1_std,P@15_mean,P@15_std,R@15_mean,R@15_std,Spearman_mean,Spearman_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,nonhot100_AP_mean,nonhot100_AP_std,rare_AP_mean,rare_AP_std,middle_AP_mean,middle_AP_std
CAFNet,0.1905933669648909,0.018387391798573224,0.9077271037239356,0.0023803623658090033,0.09048161930190743,0.004547223642918218,0.2422998822760672,0.020980134520834744,0.18728137695577773,0.026868902801865904,0.11126333478719919,0.004407221596407024,0.3902525351990795,0.017444976363886255,0.49740730702527375,0.027695551715615364,1.2501778935464818,0.02359005079642559,0.9120704673001983,0.02039229158716654,0.11667319429099192,0.012524374807723709,0.10608899064014018,0.014314000954307207,0.14698907349170892,0.017015892308852157
CAFNet-D,0.23291717037595597,0.006173780232774741,0.9000150325872827,0.005937117118841094,0.10943183885342982,0.00881492650608135,0.29882798373575203,0.007719969482207425,0.32943412036513403,0.012297232655088183,0.1207819688075054,0.0025844618088155576,0.38080067464340195,0.009907729442914176,0.502338018451614,0.02921012616218303,3.061870038131803,0.05467217623662103,2.882516725472219,0.056874185574725615,0.09229924731800618,0.007702817962383948,0.09111899767202349,0.012492228291689413,0.10675815728688005,0.011326548263844221
CAFNet-DG,0.24887624369594982,0.006569727999749677,0.9197028318222904,0.002236096867726026,0.1265381199664893,0.006315127015247418,0.3133735220049613,0.007460881277015654,0.3344116413398833,0.01498518468071442,0.12733548434413827,0.0025377095254033553,0.41685219282439584,0.00792867565132105,0.5269923010909995,0.01797494014443175,2.2130592953676045,0.054498575829365,1.9951797027197014,0.058980050088192036,0.12916991609269585,0.00827087341789502,0.11748028126410844,0.017325928126586933,0.15647297323078296,0.012497521182683147
