MAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,nonhot100_AP,rare_AP,middle_AP,fold,model
0.1728238725875322,0.9033712737331511,0.0819017279779092,0.22225844729048796,0.15275590551181104,0.10887139107611547,0.36673393217313593,0.4778105784366244,1.2542333935585008,0.8969227759375518,0.09794045174389611,0.10575704981825122,0.13993039540514343,0,CAFNet
0.23589327591516177,0.9050255338817946,0.12063917090655533,0.3021596092884881,0.352755905511811,0.12083989501312337,0.36766474308906316,0.4503373568311672,3.0316780595409476,2.8303409626812526,0.0878983418027261,0.08709125057614929,0.12332334705646404,0,CAFNet-D
0.24906351731306417,0.9205372385371862,0.12812307420128893,0.31419917195214264,0.3653543307086614,0.12766404199475065,0.40275712619536364,0.48735211015225793,2.176294034584237,1.9280032865741283,0.11168822661202737,0.12518834958565667,0.15867882310640308,0,CAFNet-DG
0.18126819023958363,0.9080696147603441,0.09647793566470854,0.23225675402293314,0.17857142857142858,0.1087991718426501,0.38489472095345284,0.43569808005170774,1.2311074972269545,0.8939650942542074,0.12233939388011782,0.08113761042394659,0.14203355693241315,1,CAFNet
0.23181404401472644,0.89172964286036,0.10249551515305892,0.29809010201003033,0.33229813664596275,0.12039337474120082,0.38387400571397895,0.5383266037692468,2.9808490691890466,2.8226911948031117,0.09847675876473229,0.060159641798975115,0.09382905926315155,1,CAFNet-D
0.24773599049852613,0.9187586731120816,0.1268857254930183,0.31447667365392734,0.32919254658385094,0.12525879917184263,0.40948672925992663,0.5253191103200542,2.1030839128596686,1.887711171670631,0.12978843418918123,0.07847641729727288,0.1427636126734979,1,CAFNet-DG
0.20102104369937662,0.907412044929155,0.09470738275108384,0.2595453330448045,0.2,0.11847328244274809,0.40490117072455145,0.5200079451599801,1.2557104451077605,0.9213375777667719,0.13982419979653732,0.11740522296640697,0.18314046960359345,2,CAFNet
0.23858567365790848,0.9097872041620376,0.1250308596363851,0.30590366950973974,0.31755725190839695,0.12437659033078881,0.39478708782707517,0.4560971276113632,3.086843948642042,2.8746396107079777,0.09683031758968484,0.09375888472640906,0.11822154365834656,2,CAFNet-D
0.25169412754497245,0.9223033247167156,0.13968802585532908,0.31765624153645045,0.31297709923664124,0.13099236641221373,0.4241710123178214,0.5083578056000316,2.2510522616760937,2.0123743652180237,0.1364104929930258,0.1379892975419796,0.17251691736870212,2,CAFNet-DG
0.16253527345807012,0.9115197273143285,0.08689951683673934,0.20960994653398926,0.14570552147239263,0.10715746421267892,0.3623867467270176,0.4884323480336527,1.2780342341477198,0.9322878161699942,0.10113039859858111,0.11115654127034875,0.14048924177749225,3,CAFNet
