MAP,AUROC,AUPR,nDCG@10,P@1,P@15,R@15,Spearman,RMSE,MAE,nonhot100_AP,rare_AP,middle_AP,fold,rho
0.1728238725875322,0.9033712737331511,0.0819017279779092,0.22225844729048796,0.15275590551181104,0.10887139107611547,0.36673393217313593,0.4778105784366244,1.2542333935585008,0.8969227759375518,0.09794045174389611,0.10575704981825122,0.13993039540514343,0,0.0
0.19379559106147065,0.9113907791524228,0.08873079745490464,0.24595511106714238,0.2047244094488189,0.11454068241469818,0.3797581026482645,0.48323912586890494,1.3442611648938183,0.9804446371819747,0.10087918853778856,0.10877241096236923,0.14268361466272075,0,0.1
0.21285132557935202,0.9168203946313257,0.09646642245820783,0.27041172324845747,0.25354330708661416,0.11821522309711285,0.3849399354358121,0.48744051698531576,1.469107509645032,1.1166985396952835,0.10291466447265998,0.11581454710029761,0.1465888022143117,0,0.2
0.22763149622023615,0.9199153695840916,0.10505056504333228,0.2902391486402874,0.28346456692913385,0.12167979002624672,0.39436986408519226,0.49034618958230075,1.6207461958068443,1.2926224241899216,0.10568218371294101,0.11903682844170811,0.15132884534737204,0,0.3
0.23703401957588757,0.921328415659869,0.11414284736210838,0.3033549151918406,0.31496062992125984,0.12314960629921258,0.3950381010374264,0.49145289922116475,1.792389903362892,1.493924575348454,0.1079877292480313,0.123225672884948,0.1589607078043266,0,0.4
0.24609626949893285,0.9214709514027808,0.12214909971615763,0.31287014164747234,0.3543307086614173,0.1268241469816273,0.4044298139520359,0.49073448279324255,1.978839971258472,1.7077933597481914,0.10990136030994468,0.127482956712886,0.1592735526428722,0,0.5
0.24906351731306417,0.9205372385371862,0.12812307420128893,0.31419917195214264,0.3653543307086614,0.12766404199475065,0.40275712619536364,0.48735211015225793,2.176294034584237,1.9280032865741283,0.11168822661202737,0.12518834958565667,0.15867882310640308,0,0.6
0.25063414984235,0.9185353489865269,0.13117383781324693,0.3167953961427785,0.3732283464566929,0.1274540682414698,0.3923078585068448,0.4820334026961656,2.382017263212908,2.151067858967757,0.11136973801279991,0.128721023707512,0.15588742369496725,0,0.7
0.24756983947246167,0.915373474104381,0.1309871406097155,0.3138985811409975,0.3653543307086614,0.12703412073490813,0.3896702617605137,0.47443248741917926,2.594043010008289,2.376448847831678,0.11121324781048567,0.13299802279888942,0.1450742022458353,0,0.8
0.24319591839567442,0.9109078272204952,0.12727801452398174,0.30988671898577863,0.36220472440944884,0.12430446194225722,0.3807088452912407,0.464018350879583,2.8109454634251607,2.603121154151953,0.10173319723390245,0.11581934345193987,0.13828481158412764,0,0.9
0.23589327591516177,0.9050255338817946,0.12063917090655533,0.3021596092884881,0.352755905511811,0.12083989501312337,0.36766474308906316,0.4503373568311672,3.0316780595409476,2.8303409626812526,0.0878983418027261,0.08709125057614929,0.12332334705646404,0,1.0
0.18126819023958363,0.9080696147603441,0.09647793566470854,0.23225675402293314,0.17857142857142858,0.1087991718426501,0.38489472095345284,0.43569808005170774,1.2311074972269545,0.8939650942542074,0.12233939388011782,0.08113761042394659,0.14203355693241315,1,0.0
0.1989258157887972,0.9148401684742965,0.10193528258662939,0.25489864916877286,0.20496894409937888,0.11366459627329192,0.39437262676604523,0.4545734763767044,1.2979396897548088,0.953340173185579,0.1268207236779874,0.08755048120451978,0.14544144474588908,1,0.1
0.21315928964672157,0.9194295777885984,0.10754395845231979,0.27303121501553657,0.2391304347826087,0.11801242236024845,0.40242741090745493,0.4722711737780596,1.407083071174867,1.072234382584667,0.1284449686899326,0.09370790946801244,0.1461418883672327,1,0.2
0.22478943954097425,0.9217503069247525,0.11329412837151491,0.2869635007486001,0.26242236024844723,0.11987577639751551,0.4033520201455546,0.48863731631229107,1.5496232008849768,1.238867700580174,0.12716616021055072,0.09506208139071388,0.1496450509688999,1,0.3
0.2360524380568026,0.9222527209906097,0.11880505679670014,0.29949375315245874,0.2857142857142857,0.12080745341614907,0.40462330016554926,0.503001344793247,1.7172637440274994,1.4397131014673568,0.12839737161381534,0.08984019497008447,0.1474184181358756,1,0.4
0.24598895337116153,0.9212378001111214,0.12430266171240362,0.3124516729836384,0.3307453416149068,0.12318840579710144,0.4091729456773148,0.5152604126946972,1.903384256289763,1.6590999555417378,0.13002462618773333,0.08010763096827651,0.14538312277910978,1,0.5
0.24773599049852613,0.9187586731120816,0.1268857254930183,0.31447667365392734,0.32919254658385094,0.12525879917184263,0.40948672925992663,0.5253191103200542,2.1030839128596686,1.887711171670631,0.12978843418918123,0.07847641729727288,0.1427636126734979,1,0.6
0.24737737033459972,0.9146922935213943,0.1252108787581334,0.3141507857615169,0.34316770186335405,0.1245341614906832,0.4071776158242661,0.5329400716708896,2.312848049281108,2.1198601141318822,0.12665162788857426,0.07482864032410058,0.13559078904234337,1,0.7
0.24349274415094518,0.9088741283099726,0.1202591049705764,0.310120071200386,0.34006211180124224,0.12484472049689442,0.3993098988090914,0.5379978299450422,2.5301747072566565,2.353688199216743,0.12003987447220266,0.06896017302154414,0.12134917323679512,1,0.8
0.2393058441737615,0.9012137762567599,0.11251762893533633,0.3045767147634447,0.3385093167701863,0.12298136645962732,0.39272921379373277,0.5401067781764174,2.7532736548228733,2.588137433357826,0.11228428808686419,0.06165452896220684,0.10546636022231846,1,0.9
0.23181404401472644,0.89172964286036,0.10249551515305892,0.29809010201003033,0.33229813664596275,0.12039337474120082,0.38387400571397895,0.5383266037692468,2.9808490691890466,2.8226911948031117,0.09847675876473229,0.060159641798975115,0.09382905926315155,1,1.0
0.20102104369937662,0.907412044929155,0.09470738275108384,0.2595453330448045,0.2,0.11847328244274809,0.40490117072455145,0.5200079451599801,1.2557104451077605,0.9213375777667719,0.13982419979653732,0.11740522296640697,0.18314046960359345,2,0.0
0.2161805262855686,0.9160156454298326,0.10185815402052883,0.2770103811170395,0.24885496183206107,0.12111959287531805,0.4093574533047139,0.5221595517292352,1.3754070608094116,1.0414205968797914,0.13905113354566673,0.12317354259617758,0.18286424828985884,2,0.1
0.22693751350083913,0.920684574073528,0.10989159380717811,0.29035739118055437,0.2778625954198473,0.12356234096692112,0.4105766024658017,0.5231037625188587,1.5209868729131968,1.1998667550934308,0.1397448065697797,0.13128608184313634,0.18425108536775214,2,0.2
