rho,MAP_mean,MAP_std,AUROC_mean,AUROC_std,AUPR_mean,AUPR_std,nDCG@10_mean,nDCG@10_std,P@1_mean,P@1_std,P@15_mean,P@15_std,R@15_mean,R@15_std,Spearman_mean,Spearman_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,nonhot100_AP_mean,nonhot100_AP_std,rare_AP_mean,rare_AP_std,middle_AP_mean,middle_AP_std
0.0,0.19059336696489096,0.01838739179857324,0.9077271037239356,0.002380362365809047,0.09048161930190748,0.004547223642918228,0.2422998822760672,0.02098013452083473,0.1872813769557778,0.026868902801865907,0.11126333478719923,0.004407221596407035,0.3902525351990795,0.017444976363886262,0.49740730702527375,0.027695551715615354,1.250177893546482,0.023590050796425604,0.9120704673001983,0.020392291587166565,0.11667319429099196,0.012524374807723712,0.10608899064014021,0.014314000954307201,0.14698907349170898,0.01701589230885215
0.1,0.20937678898048118,0.012458860583710695,0.9151276203079958,0.002338672626758667,0.09672200358517104,0.004207081993135839,0.2646703196449158,0.015366901657880025,0.2242568478227879,0.023484199098405652,0.11589682083593478,0.0031436462481933573,0.40038649542324867,0.01542500625591821,0.5064037788063063,0.02426825630336525,1.355358957628778,0.033054480881815555,1.0200041716650559,0.037324189832436655,0.12057511329527246,0.011703016788444445,0.11279256669308209,0.015565125564951189,0.15328387148691242,0.016008384926210123
0.2,0.22100180663754126,0.00953368825293312,0.9196594074320468,0.002113655055390795,0.10345916210448687,0.0038888977207808735,0.28027963836862674,0.011834090132692128,0.2502904710438145,0.01780611795412848,0.11925193196898046,0.002958694439654354,0.40595318756575177,0.013144675803030716,0.5140989653918041,0.02130385282924602,1.4911667992866886,0.04191619145638093,1.1730761356658468,0.050844001279737226,0.12328009189540796,0.011597852617534788,0.1175917988386674,0.015097535284023402,0.15751327043565255,0.015752833216388717
0.3,0.23120914393578337,0.008651849218177495,0.9218807716219697,0.001937161128830526,0.1108522077855505,0.003975609683132399,0.292563729492327,0.009512980931799388,0.27459181585334785,0.017397797320882567,0.1223125657323729,0.002736450624877073,0.41130078946514576,0.012363696320282839,0.5203258806543969,0.018901462679858618,1.6501221151950816,0.04805628579684017,1.3584024462959081,0.05866634939738407,0.1252460713917895,0.011236653946442136,0.11924655646722596,0.014615510142126337,0.16048596693173428,0.015712114888420493
0.4,0.24041169046090252,0.008261458083291233,0.9224135887748215,0.0018684885752908054,0.11805504383861191,0.004559310682130254,0.3041569940969113,0.008410919328976486,0.3038661179880221,0.01627551252487457,0.12418501350498579,0.0028457764204466436,0.4146686474562138,0.011886715712502072,0.5246269314999987,0.01741398723393695,1.8262077925182563,0.05175807023897639,1.562805224639654,0.061033144151925685,0.12696779896581137,0.010310004764594247,0.1203336243638835,0.015485452106329496,0.16136259593110286,0.013938725305620459
0.5,0.24636632668500283,0.008546133151722656,0.9216336169261684,0.0019465072165697592,0.12380171242660562,0.005433190773846395,0.311108334224205,0.009369912291496883,0.3257410029377385,0.019687966204507846,0.12629370080900298,0.0024486531447963813,0.417195381182191,0.00839990593909035,0.5269340587263971,0.017012285625116308,2.014933948885429,0.053696929179280185,1.776644781844945,0.06053319384984676,0.12850080229785252,0.009259850910534209,0.12129149338920493,0.01736667590996243,0.1602115658231998,0.013741205568275225
0.6,0.24887624369594982,0.006569727999749684,0.9197028318222905,0.002236096867726006,0.12653811996648937,0.006315127015247435,0.3133735220049614,0.007460881277015664,0.3344116413398833,0.014985184680714402,0.12733548434413833,0.0025377095254033553,0.41685219282439584,0.00792867565132106,0.5269923010909995,0.017974940144431722,2.2130592953676045,0.05449857582936513,1.9951797027197018,0.05898005008819201,0.1291699160926959,0.00827087341789501,0.11748028126410848,0.017325928126586922,0.15647297323078302,0.012497521182683163
0.7,0.2478185157285934,0.0061588744873075025,0.9166319997265665,0.0027735815498445776,0.12617676008518197,0.00700551626541256,0.3126258346149322,0.007790043006706818,0.33688182635716674,0.014520399711830138,0.12708842297669892,0.0021772651572752916,0.4117055106717432,0.008829129689796985,0.5246727715578503,0.01990130971793716,2.418265773798117,0.05466054268972146,2.215892136464525,0.05754684166842191,0.12736030761872646,0.008383625884182207,0.11589240079703209,0.01762161293700781,0.15074483672968347,0.01251549047811882
0.8,0.24473706929141953,0.005856433391568037,0.9123628621731583,0.0035726932035395247,0.12295438152487959,0.007652912059463582,0.30999043057871456,0.0080595808822169,0.3351722118732602,0.014888428802418304,0.126416614974834,0.0022817798852721853,0.40497213778068497,0.010568646476629527,0.5199791917589932,0.022599865960830173,2.6288887108175447,0.05456323820707324,2.437650697533919,0.05656435620745534,0.12114991375363267,0.006375033542910294,0.11356460418436176,0.01921758396628111,0.14211342820267564,0.014107517472584378
0.9,0.23932890106419294,0.005780291006739418,0.906830575331178,0.004633760696391412,0.11734341479331119,0.008211796854029712,0.30477690969513777,0.007933622834262808,0.33193458969266343,0.015990968325402824,0.12414500082998911,0.0025644204198376854,0.39402546464861776,0.010212032262759182,0.5126001294162709,0.02578036303955551,2.8437198478691914,0.054495080801214506,2.659943123427156,0.056302456794539595,0.10823308639009044,0.007184179908531788,0.10338740687918284,0.01613879644988837,0.12734812097360942,0.013717630265906998
