,mAP,mAP,AUROC,AUROC,AUPR,AUPR,nDCG@10,nDCG@10,nonhot100_AP,nonhot100_AP,rare_AP,rare_AP,middle_AP,middle_AP
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
rho,,,,,,,,,,,,,,
0.0,0.20719204974043642,0.014367319578670544,0.9129177294214459,0.0028630470605145817,0.08827330108878641,0.00581562966789283,0.26130657297091064,0.017979411992225875,0.12986732421336328,0.010268812430072456,0.12169194474621663,0.014320028055810381,0.16632885821915516,0.010310520272844015
0.1,0.22630874931404135,0.009350142558795984,0.9204914250009144,0.002986265082851379,0.09478737684737919,0.0056239117003460005,0.2826332926542973,0.013063808701327674,0.13239614970545227,0.009816364566709087,0.1283886961512085,0.0140238466061731,0.1715357650141192,0.010744655731370357
0.2,0.23823608772006866,0.008753787617450364,0.9250913018426374,0.002860456702889374,0.10180769336930884,0.005241096474547978,0.2991814397868142,0.01102899749158377,0.1347018776316284,0.010234334415539417,0.13248189382068642,0.012466743306416245,0.1758816215526323,0.011335573268614282
0.3,0.24837146547759037,0.00794256335151948,0.9273306532146475,0.0026788341846950767,0.10942766393887296,0.004954570089960769,0.3124915175598314,0.008440289586258065,0.13594463053718803,0.01090923521738484,0.13435998838521918,0.013492994306308218,0.17803519645193663,0.012218698340814056
0.4,0.2544398314818158,0.007057416415757945,0.9278903504291947,0.0025552695063988102,0.1169972621817302,0.0046949185902281825,0.320895989743626,0.008116191590450746,0.13723794047808063,0.010972022447467603,0.1339802406910711,0.012065954977742918,0.17768070910074737,0.01200168334774038
0.5,0.258246006969276,0.006463356722981628,0.9272211112805516,0.0025132759934285123,0.12306310222876096,0.004766369739258072,0.32522351451110715,0.008203630517849876,0.13748319098910794,0.010589883804614224,0.13285948635584624,0.009924111025636303,0.17567642178295567,0.012601841819982054
0.6,0.25786930681465703,0.007367393274451944,0.9255320701422034,0.002550624903353151,0.12617617859463476,0.0049233235951956136,0.32514206721226624,0.009375130584359083,0.13652830802364574,0.011035612535688185,0.12666207531770862,0.0104137240733095,0.17370179812496236,0.012639571246386984
0.7,0.2542108645351068,0.007148309939428116,0.9228832335168976,0.0026737167762622975,0.12612072964734924,0.0051598723878455615,0.32075664533380815,0.009373587717890654,0.13306489045229958,0.010509157767269751,0.12168024987161949,0.010741428327776473,0.16677144298679206,0.01117164344120091
0.8,0.2493913818327981,0.007851267814231911,0.9192537496254699,0.0028887608768158857,0.12323170831560307,0.0054257036748733955,0.31606687120355853,0.009473956086415932,0.12684662822540874,0.009610542568204148,0.11206433802303764,0.012818323886224987,0.15587529465068223,0.010270717607213375
0.9,0.24367700121309427,0.007479109882719613,0.9145801108110645,0.003209172551557121,0.11784085335292667,0.005564248247827957,0.3107392230983549,0.008813351377887444,0.11347647326014483,0.009635588366583448,0.10223791073817257,0.013631372790194775,0.14041772355167406,0.012447885524922583
1.0,0.23566956074935907,0.007084165836378377,0.9087937697156908,0.0036439786806286957,0.11018769530293344,0.005561488082985038,0.3030855044413766,0.008706343569255282,0.09143925477919165,0.007013546799278591,0.09137210929998271,0.013934136892347695,0.11481916521434817,0.014469657469436929
