scenario,model,metric,mean,std,n
cold,HSTrans,QWK,0.20999925074308295,0.04762782328877475,10
cold,HSTrans,Within1,0.6130443271737027,0.0744658190163105,10
cold,RF,mAP,0.1968705212864741,0.016190578045548524,10
cold,RF,AUROC,0.7548247319970088,0.023524350517010753,10
cold,RF,AUPR,0.15787882672895495,0.025146418520468786,10
cold,RF,nDCG@10,0.34173935700301583,0.028217611235505976,10
cold,RF,P@1,0.2773333333333333,0.0753723268469336,10
cold,RF,P@15,0.26239999999999997,0.026721918070187135,10
cold,RF,R@15,0.13029844309260727,0.017438958081572798,10
cold,RF,Spearman,0.36020579663079905,0.05236637418227028,10
cold,RF,RMSE,1.8742420485613676,0.09181363609315989,10
cold,RF,MAE,1.6088313638397935,0.08648585568139147,10
cold,RF,QWK,0.1489632005582535,0.02263190645087441,10
cold,RF,Within1,0.496104881582471,0.03199249128586214,10
cold,XGBoost,mAP,0.17754940421442983,0.016329810365303756,10
cold,XGBoost,AUROC,0.7438199990683545,0.024151687246389435,10
cold,XGBoost,AUPR,0.14542112945032565,0.020697943014225777,10
cold,XGBoost,nDCG@10,0.3064018753211671,0.025459124810452063,10
cold,XGBoost,P@1,0.02266666666666664,0.03017643590536524,10
cold,XGBoost,P@15,0.22888888888888884,0.022640023072399755,10
cold,XGBoost,R@15,0.12221957569189364,0.019176543714271486,10
cold,XGBoost,Spearman,0.3471171403427639,0.04450538680126143,10
cold,XGBoost,RMSE,1.85676444893631,0.09724284662503849,10
cold,XGBoost,MAE,1.6668356044361947,0.10309122418485996,10
cold,XGBoost,QWK,0.09439794593602828,0.017799885489962385,10
cold,XGBoost,Within1,0.42007244934175814,0.049767804540927114,10
warm,A3Net,mAP,0.20297787120477562,0.026021688844881687,10
warm,A3Net,AUROC,0.9100202049293167,0.006833593655892511,10
warm,A3Net,AUPR,0.08023999518957364,0.01303749219345235,10
warm,A3Net,nDCG@10,0.2550249572245912,0.03379402776900937,10
warm,A3Net,P@1,0.21088421275239133,0.040369747470310996,10
warm,A3Net,P@15,0.11285404695325951,0.010009356018922343,10
warm,A3Net,R@15,0.3908676520090607,0.03595092757843436,10
warm,A3Net,Spearman,0.5229391382145033,0.02941903076339195,10
warm,A3Net,RMSE,1.1894430594262295,0.03867398634153138,10
warm,A3Net,MAE,0.8650156949349939,0.03306695275274677,10
warm,A3Net,QWK,0.434177748173797,0.026906775653810173,10
