Model,epoch,train_loss,auc_all,aupr_all,drugAUC,drugAUPR,MAP_proxy_drugAUPR
CAFNet,10,1246.8130582682293,0.8380270624344521,0.0448187245786305,0.8662378942112731,0.1487581040672488,0.1487581040672488
CAFNet,20,1108.6747428385418,0.8661498511064221,0.0580775008878842,0.872691338999577,0.1665453590502274,0.1665453590502274
CAFNet,30,977.0565014648438,0.8836373687602912,0.0550101645759448,0.8820985213497282,0.177275984277919,0.177275984277919
CAFNet,40,878.876641438802,0.8908626577223304,0.050575290686153,0.8904316046023288,0.1737412613679322,0.1737412613679322
CAFNet,50,720.2105098470053,0.898858526981537,0.0596857894777378,0.8922153064668115,0.1690840402468383,0.1690840402468383
CAFNet,60,626.8931705729167,0.9066882623869434,0.067656276108553,0.8967388266564507,0.1758592532521337,0.1758592532521337
CAFNet,70,598.3745576985677,0.90688610393245,0.0673187483096557,0.8977564014274173,0.1678434964074434,0.1678434964074434
CAFNet,80,522.4456811523437,0.908563952709662,0.0734656969126346,0.8910068249663512,0.1711453422602948,0.1711453422602948
CAFNet,90,487.64471720377605,0.9060091262404838,0.0702499647780938,0.8917452717872835,0.1632125753542591,0.1632125753542591
CAFNet,100,449.5440205891927,0.9100329442960609,0.0770957632046896,0.8969251372161018,0.1769895310195676,0.1769895310195676
CAFNet,110,427.3222285970052,0.9073474448224644,0.0760281394108177,0.8911674238939551,0.1784482646620538,0.1784482646620538
CAFNet,120,390.4067087809245,0.90832703496449,0.0817241829056212,0.8937785959768239,0.1827570071405966,0.1827570071405966
CAFNet,130,427.4126973470052,0.9094040625463868,0.0809507163089088,0.8908534424114801,0.1893876919526087,0.1893876919526087
CAFNet,140,428.21278361002607,0.9003517513506719,0.074562075009656,0.8909757024969314,0.1794236446976775,0.1794236446976775
CAFNet,150,339.67035380045576,0.9071451045508367,0.0809497594807742,0.8896239160051592,0.1920371409531683,0.1920371409531683
CAFNet,160,327.5714231363932,0.903536784918794,0.0850364190363996,0.889836125561067,0.1916361499739575,0.1916361499739575
CAFNet,170,324.7500744628906,0.9063542585726816,0.0854415097990838,0.8913327655207992,0.1853389605343236,0.1853389605343236
CAFNet,180,347.06829121907555,0.9096308322237288,0.0853541889531225,0.8897590813327431,0.1905458371988948,0.1905458371988948
CAFNet,190,316.06201822916665,0.9049501687480448,0.0864382436456186,0.8919992607621198,0.1976732109640134,0.1976732109640134
CAFNet,200,294.7213551839193,0.9073375181220338,0.0884602963533243,0.8922151616482799,0.194507012572199,0.194507012572199
