Model,epoch,train_loss,auc_all,aupr_all,drugAUC,drugAUPR,MAP_proxy_drugAUPR
A3Net,10,1218.1467740885416,0.8366367906559973,0.0406047103252366,0.8663606543106608,0.1419156228572341,0.1419156228572341
A3Net,20,1085.4910319010417,0.8784512146368663,0.0614940962050401,0.8752324885056783,0.1851491521978236,0.1851491521978236
A3Net,30,984.666621907552,0.8870679400782334,0.0706047854101431,0.8830965551130735,0.1944630164310328,0.1944630164310328
A3Net,40,963.3038126627604,0.8907869641571028,0.0718854290089696,0.8880323546628344,0.2014731087469683,0.2014731087469683
A3Net,50,831.1687939453125,0.9024862135010516,0.0626773379221669,0.8948511771031538,0.2075748787449014,0.2075748787449014
A3Net,60,670.0942769368489,0.8956353833882277,0.0661179972083943,0.898793928308561,0.2182662079129066,0.2182662079129066
A3Net,70,620.5834936523438,0.9111087870008642,0.0827386684078828,0.9024899359027744,0.2153827489816349,0.2153827489816349
A3Net,80,565.9130407714844,0.909375084735367,0.0741701367778157,0.9013641289953992,0.2098322293915183,0.2098322293915183
A3Net,90,524.7605314127604,0.9115629598127316,0.0786374833708119,0.8985195094938209,0.1990976989355138,0.1990976989355138
A3Net,100,536.9105065917969,0.9063039963718862,0.0797442997392861,0.9011735409608518,0.2015339788229669,0.2015339788229669
A3Net,110,413.9337841796875,0.9098875121960874,0.0838630456464398,0.9025273006098086,0.2077531181047258,0.2077531181047258
A3Net,120,405.7075233968099,0.9082400720284672,0.0805820122333681,0.9020984952787928,0.2104215754319917,0.2104215754319917
A3Net,130,399.9842647298177,0.9087584250167056,0.0802809708585404,0.9010874601403148,0.2013330840568215,0.2013330840568215
A3Net,140,367.2889434814453,0.907565689094984,0.0924768408904564,0.8954860621065552,0.2175805551013188,0.2175805551013188
A3Net,150,373.0039733886719,0.9131005328466714,0.1018262009716291,0.9003377508845797,0.2134843141940443,0.2134843141940443
A3Net,160,332.7289774576823,0.9057519782178804,0.0896933769916216,0.8938714977417954,0.2146608948364113,0.2146608948364113
A3Net,170,321.7303389485677,0.9023009322237618,0.0909169465389196,0.8945620154025893,0.2110729091801287,0.2110729091801287
A3Net,180,299.3979317220052,0.9033282541639992,0.095757381050162,0.889214160377307,0.2154449828945641,0.2154449828945641
A3Net,190,344.52091939290364,0.90791445181446,0.0953745967132705,0.8960558701090231,0.212991951922013,0.212991951922013
A3Net,200,297.66261800130206,0.9022696097836598,0.1003717227957431,0.8908781260744295,0.2274879518257721,0.2274879518257721
