atc_l1,atc_l1_name,metric,n_drugs,mean_delta,median_delta,std_delta,positive_fraction,wilcoxon_p_two_sided,holm_p_within_metric
G,Genito-urinary system and sex hormones,delta_DG_minus_D_P@15,50,3.3306690738754695e-18,0.0,0.0699854212223765,0.2,0.7682963609695435,1.0
G,Genito-urinary system and sex hormones,delta_DG_minus_D_R@15,50,-0.0012314825085115273,0.0,0.07401742518535939,0.2,0.6230943202972412,1.0
H,Systemic hormonal preparations,delta_DG_minus_D_AP,17,0.0057051264430315165,0.0040564022042883,0.051550193960446876,0.5294117647058824,0.5790557861328125,1.0
H,Systemic hormonal preparations,delta_DG_minus_D_rare_AP,12,0.02762596262935245,0.00020249962464760003,0.05959033210458603,0.5,0.26611328125,1.0
H,Systemic hormonal preparations,delta_DG_minus_D_middle_AP,14,0.023331394830003266,0.00534573917695985,0.05221388843730749,0.7142857142857143,0.090576171875,0.54345703125
H,Systemic hormonal preparations,delta_DG_minus_D_nonhot100_AP,17,0.02636870968424633,0.0037511431451378,0.0593523361152083,0.6470588235294118,0.1323699951171875,0.7761184573173523
H,Systemic hormonal preparations,delta_DG_minus_D_AUROC,17,0.001617774556501294,0.0032005447735785,0.01155197346874228,0.5882352941176471,0.4873809814453125,1.0
H,Systemic hormonal preparations,delta_DG_minus_D_nDCG@10,17,-0.013922059451864947,-0.0071096986449711,0.08990247750513353,0.29411764705882354,0.5015869140625,1.0
H,Systemic hormonal preparations,delta_DG_minus_D_P@15,17,6.530723674265627e-18,0.0,0.08498365855987973,0.17647058823529413,0.640625,1.0
H,Systemic hormonal preparations,delta_DG_minus_D_R@15,17,-0.003099264316774572,0.0,0.05164208319538913,0.17647058823529413,0.84375,1.0
J,Antiinfectives for systemic use,delta_DG_minus_D_AP,105,0.010416795509065787,0.0037058227019775,0.03955518647851176,0.5904761904761905,0.017767189881025977,0.21320627857231172
J,Antiinfectives for systemic use,delta_DG_minus_D_rare_AP,66,0.024505593238937362,0.0004403407287345,0.1000102982668893,0.5757575757575758,0.05267100812344087,0.5793810893578495
J,Antiinfectives for systemic use,delta_DG_minus_D_middle_AP,82,0.02279886483066674,0.00248709742019535,0.07906926618619256,0.6463414634146342,0.002518687701856788,0.027705564720424666
J,Antiinfectives for systemic use,delta_DG_minus_D_nonhot100_AP,98,0.006498048179313086,0.00127255096365975,0.08315263961206776,0.6428571428571429,0.019624778406246515,0.17662300565621863
J,Antiinfectives for systemic use,delta_DG_minus_D_AUROC,105,0.0037452999807251913,0.0040774719673801,0.011328168042850022,0.6571428571428571,8.47772326718167e-05,0.0010173267920618005
J,Antiinfectives for systemic use,delta_DG_minus_D_nDCG@10,105,0.002551704106212334,0.0,0.06754523203235051,0.3904761904761905,0.39724857062678487,1.0
J,Antiinfectives for systemic use,delta_DG_minus_D_P@15,105,0.004444444444444443,0.0,0.06619491205346811,0.23809523809523808,0.7019049489862255,1.0
J,Antiinfectives for systemic use,delta_DG_minus_D_R@15,105,0.0018754547571752452,0.0,0.04579204454740927,0.23809523809523808,0.9123620684955398,1.0
L,Antineoplastic and immunomodulating agents,delta_DG_minus_D_AP,125,0.009431789372987769,0.0055925228025198,0.03397964987601141,0.632,0.0018050251016844953,0.025270351423582933
