metric,classes_with_positive_mean,classes_total,median_class_mean_delta,min_class_mean_delta,max_class_mean_delta
delta_DG_minus_D_AP,11,12,0.008418397693053664,-0.004390247139789877,0.01857324922363279
delta_DG_minus_D_middle_AP,9,10,0.021386125280679603,-0.0024073360685519765,0.1430075499360863
delta_DG_minus_D_nonhot100_AP,8,12,0.006580956582016515,-0.014859524919251724,0.02402351553928763
delta_DG_minus_D_rare_AP,9,9,0.02010818210749608,0.0012253979678732753,0.05232600462471278
