fold,drug_index,drug_name,positive_count,AP_CAFNet,AP_CAFNet-D,AP_CAFNet-DG,AUROC_CAFNet,AUROC_CAFNet-D,AUROC_CAFNet-DG,P@15_CAFNet,P@15_CAFNet-D,P@15_CAFNet-DG,R@15_CAFNet,R@15_CAFNet-D,R@15_CAFNet-DG,frequent_AP_CAFNet,frequent_AP_CAFNet-D,frequent_AP_CAFNet-DG,middle_AP_CAFNet,middle_AP_CAFNet-D,middle_AP_CAFNet-DG,nDCG@10_CAFNet,nDCG@10_CAFNet-D,nDCG@10_CAFNet-DG,nonhot100_AP_CAFNet,nonhot100_AP_CAFNet-D,nonhot100_AP_CAFNet-DG,rare_AP_CAFNet,rare_AP_CAFNet-D,rare_AP_CAFNet-DG,top15_hot_fraction_CAFNet,top15_hot_fraction_CAFNet-D,top15_hot_fraction_CAFNet-DG,delta_DG_minus_D_AP,delta_DG_minus_CAFNet_AP,delta_DG_minus_D_AUROC,delta_DG_minus_CAFNet_AUROC,delta_DG_minus_D_nDCG@10,delta_DG_minus_CAFNet_nDCG@10,delta_DG_minus_D_P@15,delta_DG_minus_CAFNet_P@15,delta_DG_minus_D_R@15,delta_DG_minus_CAFNet_R@15,delta_DG_minus_D_rare_AP,delta_DG_minus_CAFNet_rare_AP,delta_DG_minus_D_middle_AP,delta_DG_minus_CAFNet_middle_AP,delta_DG_minus_D_frequent_AP,delta_DG_minus_CAFNet_frequent_AP,delta_DG_minus_D_nonhot100_AP,delta_DG_minus_CAFNet_nonhot100_AP,delta_DG_minus_D_hot_fraction,sider_name,atc_l1,atc_codes,atc_l1_group,atc_l1_name
0,2,calcium.folinate,18,0.6506632254235699,0.500548168787626,0.5887649696851304,0.9783697632058288,0.973872950819672,0.9787112932604736,0.6,0.5333333333333333,0.6,0.5,0.4444444444444444,0.5,0.6518880997954292,0.501632824872282,0.5897678164760206,,,,0.866947989864271,0.7065632165480472,0.756902106715231,0.0088495575221238,0.0078740157480314,0.0096153846153846,,,,1.0,1.0,1.0,0.0882168008975043,-0.0618982557384395,0.0048383424408015,0.0003415300546447,0.0503388901671837,-0.11004588314904,0.0666666666666666,0.0,0.0555555555555555,0.0,,,,,0.0881349916037386,-0.0621202833194085,0.0017413688673531,0.0007658270932607,0.0,calcium.folinate,V,V03AF03,V,Various
0,6,betaine,16,0.2195291370105921,0.1630583374971667,0.2081734154824068,0.6552914110429449,0.8346114519427402,0.8206160531697342,0.2666666666666666,0.2,0.2,0.25,0.1875,0.1875,0.2749509738061955,0.1931054373013509,0.2493706778779132,0.0106454278333078,0.0249884811205565,0.0253004776491355,0.4537425745411855,0.3187939258847262,0.424926013816671,0.0159653959925601,0.0994062483420953,0.0563623937267736,,,,0.9333333333333332,1.0,1.0,0.0451150779852401,-0.0113557215281853,-0.013995398773006,0.1653246421267893,0.1061320879319447,-0.0288165607245144,0.0,-0.0666666666666666,0.0,-0.0625,,,0.0003119965285789,0.0146550498158277,0.0562652405765622,-0.0255802959282823,-0.0430438546153216,0.0403969977342135,0.0,betaine,A,A16AA06,A,Alimentary tract and metabolism
0,22,cladribine,100,0.5675506802026319,0.6067662349644718,0.6259866226079585,0.8800782997762864,0.8748322147651005,0.885055928411633,0.8,1.0,1.0,0.12,0.15,0.15,0.659978266233852,0.7145726312003051,0.7295344208432888,0.184642573469045,0.114779047774576,0.2306923615865453,0.8414929602590189,1.0,1.0,0.2030496048422398,0.2108157052721475,0.2418558948020682,0.1132642368235681,0.0663395196796745,0.1120190240710935,1.0,1.0,1.0,0.0192203876434866,0.0584359424053265,0.0102237136465325,0.0049776286353466,0.0,0.1585070397409811,0.0,0.1999999999999999,0.0,0.03,0.0456795043914189,-0.0012452127524745,0.1159133138119692,0.0460497881175003,0.0149617896429836,0.0695561546094367,0.0310401895299207,0.0388062899598283,0.0,cladribine,L,L01BB04|L04AA40,L,Antineoplastic and immunomodulating agents
0,42,amiodarone,22,0.087310847678146,0.0889151060311623,0.0956888836470562,0.7474747474747475,0.7320894126449682,0.7466797605686494,0.1333333333333333,0.2,0.2,0.0909090909090909,0.1363636363636363,0.1363636363636363,0.1069592818185928,0.1106009947282343,0.117305983005182,0.0340873781733996,0.0379994914530529,0.0401666945731242,0.1388624438735545,0.1884441521277154,0.2719144540092835,0.0332446330019596,0.0247431375313387,0.0269942966521585,0.0246521476104053,0.0086056644880174,0.0105254827477049,0.9333333333333332,1.0,1.0,0.0067737776158939,0.0083780359689102,0.0145903479236811,-0.0007949869060981,0.083470301881568,0.1330520101357289,0.0,0.0666666666666666,0.0,0.0454545454545454,0.0019198182596875,-0.0141266648627003,0.0021672031200712,0.0060793163997245,0.0067049882769477,0.0103467011865892,0.0022511591208197,-0.0062503363498011,0.0,amiodarone,C,C01BD01,C,Cardiovascular system
0,45,amlodipine,7,0.4652930402930403,0.3506493506493506,0.373905807703717,0.9819076566796932,0.9911709364596902,0.9900130264871906,0.3333333333333333,0.4,0.3333333333333333,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.4656898656898657,0.3506493506493506,0.373905807703717,,,,0.661798907637971,0.3975541925452006,0.4457120479482909,,,,,,,0.9333333333333332,1.0,1.0,0.0232564570543664,-0.0913872325893232,-0.0011579099724996,0.0081053698074974,0.0481578554030902,-0.2160868596896801,-0.0666666666666667,0.0,-0.1428571428571428,0.0,,,,,0.0232564570543664,-0.0917840579861486,,,0.0,amlodipine,C,C08CA01,C,Cardiovascular system
0,53,argatroban,56,0.4218668786724759,0.4491505769757841,0.4960426158704026,0.8737435272616509,0.8777413950654889,0.8920004568991776,0.6,0.7333333333333333,0.8,0.1607142857142857,0.1964285714285714,0.2142857142857142,0.4893203019956924,0.5530410475701284,0.5830288994692043,0.1515679506129902,0.1312830015911875,0.210370550028797,0.7720617383222416,0.8603818544462509,0.9266360779006398,0.1810177235870519,0.1680527905760473,0.2738488855496759,0.0278397733532698,0.0196649029982363,0.022460668633235,0.9333333333333332,0.9333333333333332,1.0,0.0468920388946184,0.0741757371979266,0.0142590618336887,0.0182569296375266,0.0662542234543889,0.1545743395783982,0.0666666666666667,0.2,0.0178571428571428,0.0535714285714285,0.0027957656349986,-0.0053791047200348,0.0790875484376094,0.0588025994158068,0.0299878518990759,0.0937085974735119,0.1057960949736286,0.092831161962624,0.0666666666666666,argatroban,B,B01AE03,B,Blood and blood forming organs
0,56,azathioprine,22,0.0584909018619726,0.0270341541885619,0.0387895387521838,0.5781893004115226,0.4214833520389076,0.4784885895997006,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0909090909090909,0.0454545454545454,0.0454545454545454,0.0835350597886978,0.0433401731991865,0.0576482065922247,0.0095120039452268,0.0085300446729326,0.0081640790601441,0.085143117641621,0.085143117641621,0.1100458831490401,0.0161046494878772,0.0120105518268062,0.0123189076183161,0.0164902779418908,0.0096439879941073,0.0097221871757213,0.9333333333333332,1.0,1.0,0.0117553845636219,-0.0197013631097888,0.057005237560793,-0.0997007108118219,0.024902765507419,0.024902765507419,0.0,-0.0666666666666666,0.0,-0.0454545454545454,7.819918161396273e-05,-0.0067680907661695,-0.0003659656127885,-0.0013479248850826,0.0143080333930382,-0.025886853196473,0.0003083557915098,-0.0037857418695611,0.0,azathioprine,L,L04AX01,L,Antineoplastic and immunomodulating agents
0,70,brimonidine,62,0.3305130178969816,0.3080040445107812,0.3243044430740395,0.8170254741797037,0.8150526097189534,0.8237228298490932,0.4666666666666667,0.4666666666666667,0.4,0.1129032258064516,0.1129032258064516,0.0967741935483871,0.4392755589355174,0.4116645759584187,0.4284792685543077,0.0933180313751329,0.0614187841509338,0.1677320550557155,0.7655934900767002,0.596517333399007,0.5795003533950693,0.092229813721614,0.0621308909615171,0.1084592392023774,0.1453870070599645,0.146019290030279,0.2244554451859628,0.8666666666666667,1.0,1.0,0.0163003985632583,-0.006208574822942,0.0086702201301397,0.0066973556693894,-0.0170169800039377,-0.1860931366816308,-0.0666666666666666,-0.0666666666666666,-0.0161290322580645,-0.0161290322580645,0.0784361551556837,0.0790684381259983,0.1063132709047816,0.0744140236805825,0.016814692595889,-0.0107962903812097,0.0463283482408603,0.0162294254807634,0.0,brimonidine,D|S,S01GA07|S01EA05|D11AX21,D,Dermatologicals
0,70,brimonidine,62,0.3305130178969816,0.3080040445107812,0.3243044430740395,0.8170254741797037,0.8150526097189534,0.8237228298490932,0.4666666666666667,0.4666666666666667,0.4,0.1129032258064516,0.1129032258064516,0.0967741935483871,0.4392755589355174,0.4116645759584187,0.4284792685543077,0.0933180313751329,0.0614187841509338,0.1677320550557155,0.7655934900767002,0.596517333399007,0.5795003533950693,0.092229813721614,0.0621308909615171,0.1084592392023774,0.1453870070599645,0.146019290030279,0.2244554451859628,0.8666666666666667,1.0,1.0,0.0163003985632583,-0.006208574822942,0.0086702201301397,0.0066973556693894,-0.0170169800039377,-0.1860931366816308,-0.0666666666666666,-0.0666666666666666,-0.0161290322580645,-0.0161290322580645,0.0784361551556837,0.0790684381259983,0.1063132709047816,0.0744140236805825,0.016814692595889,-0.0107962903812097,0.0463283482408603,0.0162294254807634,0.0,brimonidine,D|S,S01GA07|S01EA05|D11AX21,S,Sensory organs
0,89,carvedilol,83,0.4302271674741926,0.4344354926515034,0.4490778355951725,0.8436247735177812,0.8593099070265694,0.8687527277055533,0.7333333333333333,0.4666666666666667,0.4666666666666667,0.1325301204819277,0.0843373493975903,0.0843373493975903,0.5041252445764758,0.5215610808214188,0.5178561132492018,0.0906374231419636,0.1121980148783934,0.1112699329311192,0.5017100640839689,0.5884674004369674,0.5708588662113935,0.0962540613595268,0.112932326924066,0.1210732259406842,0.0584238521038638,0.0450739872672567,0.0643481145534283,1.0,1.0,1.0,0.014642342943669,0.0188506681209799,0.0094428206789839,0.0251279541877721,-0.0176085342255739,0.0691488021274245,0.0,-0.2666666666666666,0.0,-0.0481927710843373,0.0192741272861715,0.0059242624495644,-0.0009280819472742,0.0206325097891556,-0.003704967572217,0.0137308686727259,0.0081408990166181,0.0248191645811573,0.0,carvedilol,C,C07AG02,C,Cardiovascular system
