model,n_positive_control_rows,n_unique_regulatory_signals,n_drugs,AUROC,AUPR,strict_positive_outranks_control,tie_rate,tie_aware_concordance,mean_score_difference
CAFNet,455,91,27,0.5428812945296462,0.5327588996971914,0.6021978021978022,0.0,0.6021978021978022,0.20769344100339723
CAFNet-D,455,91,27,0.53541842772612,0.557514381088015,0.621978021978022,0.0,0.621978021978022,0.31920705469181904
CAFNet-DG,455,91,27,0.5401280038642676,0.5522137168151167,0.6021978021978022,0.0,0.6021978021978022,0.2746016092164504
Global popularity,455,91,27,0.5160246347059534,0.5635675220472671,0.4901098901098901,0.2703296703296703,0.6252747252747253,15.59120879120879
