auc_all,aupr_all,spearman,rMSE,MAE,drugAUC,drugAUPR,MAP,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,model,fold
0.993797195253506,0.9938293970952679,0.5311664875050213,1.213830895261579,0.8760374602484954,0.9931734758645366,0.9932122911587745,0.9932122911587745,0.995625696592193,1.0,0.6532283464566929,0.43984251968503946,0.3319685039370079,0.40349062092051863,0.8416000862298897,0.9343131583365449,0.9651536629407116,CAFNet,0
0.7926105717367853,0.7935790986374529,0.45666991238792415,2.9909381928154377,2.80047812809911,0.7993398124649845,0.8006145712169793,0.8006145712169793,0.8568031081288604,0.9417322834645669,0.5776377952755906,0.3812598425196851,0.28335958005249345,0.35514416422760525,0.6984823509468002,0.7666232950630782,0.7875704942248912,CAFNet-D,0
0.9379719525350594,0.9382850007975474,0.5180075455826457,2.151881608228549,1.9237466793228042,0.9211697224781686,0.9215573446335416,0.9215573446335416,0.9424448855081226,0.9811023622047244,0.6255118110236221,0.41811023622047244,0.31485564304461944,0.3853803847000462,0.7851808886295897,0.8680482596307014,0.8958228209917594,CAFNet-DG,0
0.994066882416397,0.9940976883222743,0.47573865329199716,1.2514510263373453,0.9075535086677796,0.99061170477483,0.9906478448797732,0.9906478448797732,0.9929068824042038,0.9968944099378882,0.6608695652173914,0.43524844720496897,0.3234989648033126,0.39047860150362357,0.8490286182841631,0.9372406635623125,0.962349968757908,CAFNet,1
0.7752157497303128,0.7761210745023785,0.5216070291364051,2.9558782844010816,2.7886994605791737,0.8232514623502397,0.8245717630148162,0.8245717630148162,0.882342172844563,0.9658385093167702,0.5903726708074534,0.3746894409937888,0.2734989648033126,0.3682995124767085,0.7382594917929871,0.797126520459039,0.8122765149899558,CAFNet-D,1
0.9323085221143473,0.9326491597281162,0.5267845712134497,2.142905615573872,1.929260235015572,0.929162650092449,0.9295751322888937,0.9295751322888937,0.9508159386237355,0.9875776397515528,0.6322981366459628,0.41195652173913044,0.30538302277432716,0.38343926402950346,0.8055947229869138,0.8819678264959973,0.9040881449749844,CAFNet-DG,1
0.988403451995685,0.9884634938123267,0.5202581193968511,1.3251928441490282,0.9788970316587189,0.9864109125328491,0.9864807018126209,0.9864807018126209,0.9906084354852394,0.9984732824427481,0.6421374045801527,0.4251908396946565,0.31969465648854967,0.4102084851201126,0.8438922983740998,0.9301885710605712,0.9578681000157949,CAFNet,2
0.727076591154261,0.7283047723427302,0.49949133934151096,3.2182284849809575,3.0148325790902994,0.7589154692591651,0.7604675927677387,0.7604675927677387,0.8309860532264581,0.9419847328244275,0.5520610687022901,0.34977099236641224,0.2562849872773537,0.3601448718885604,0.6840433758132449,0.7351154951043152,0.7503509632116803,CAFNet-D,2
0.8948220064724919,0.8953410674270106,0.5310280017049656,2.3614599916035384,2.1312696245873695,0.8827998818881427,0.8834071681744844,0.8834071681744844,0.915923433812649,0.9770992366412213,0.5987786259541985,0.3894656488549618,0.2916030534351145,0.38959779809721184,0.7670675073890036,0.8357279370559435,0.8589110828576929,CAFNet-DG,2
0.9946062567421791,0.994634269646032,0.5013312507042739,1.187657184835414,0.8589394812267716,0.9897181827204832,0.9897508000868683,0.9897508000868683,0.9919934628739149,0.9969325153374233,0.6343558282208589,0.42806748466257666,0.3188139059304704,0.42065874760061267,0.8431454762443722,0.9362453053955515,0.9616435237853037,CAFNet,3
