Model,MAP_delta_vs_orig,auc_all_delta_vs_orig,aupr_all_delta_vs_orig,drugAUC_delta_vs_orig,drugAUPR_delta_vs_orig,nDCG_delta_vs_orig,P1_delta_vs_orig,P15_delta_vs_orig,R1_delta_vs_orig,R15_delta_vs_orig,spearman_delta_vs_orig,rMSE_delta_vs_orig,MAE_delta_vs_orig
WarmPlus-regression_prior-3fold,-0.017476744736521083,-0.029826992605340164,-0.01575600534272717,-0.0024896810343030262,-0.028749244439383426,-0.01957740791342033,-0.022639067726889284,-0.0030510884944559002,-0.01002893030668122,-0.01779533442364717,-0.011869647014484064,0.0006138535811115453,0.0018422066666664572
WarmPlus-rank_pop-3fold,0.016207864720631182,-0.01532799803360696,-0.017430951859715035,-0.0022474400319441035,-0.024377159590757758,0.044466563092289635,0.09801718487479141,0.0035006560124224984,0.01679746030371712,-0.032062511467214394,-0.007040687930574219,0.03243517673239582,0.030110443333333237
WarmPlus-hybrid-3fold,0.014857384091078313,-0.03755772278972502,-0.02140977868993607,2.0918928887225796e-05,-0.02885162556314802,0.04516775778529514,0.0991004671545164,0.0025087118839649536,0.017028638075743674,-0.033780315755657375,0.005792580468812036,0.010162230240926995,0.020066796666666442
