global_AUROC,global_AUPR,overall_AP,overall_AUROC,overall_nDCG@10,overall_P@15,overall_R@15,nonhot100_AP,nonhot100_AUROC,nonhot100_nDCG@10,nonhot100_P@15,nonhot100_R@15,rare_AP,rare_AUROC,rare_nDCG@10,rare_P@15,rare_R@15,middle_AP,middle_AUROC,middle_nDCG@10,middle_P@15,middle_R@15,top15_hot_fraction,rho,fold
0.7888837103780463,0.22309085985207416,0.3286112237553585,0.8500618482997782,0.4563004243270826,0.43200000000000005,0.2531165643969144,0.10228935785891985,0.7044563984842479,0.1330854992841909,0.10761904761904763,0.10810381617122372,0.08183998039634639,0.639369034674009,0.10401384843065058,0.04715447154471545,0.14980811871055774,0.08867274874738601,0.6400286812016822,0.10851702832638813,0.07058823529411766,0.20014017570866077,0.9191111111111112,0.0,0
0.8077800743065932,0.25608353826305486,0.34653269293236183,0.8519208288016605,0.5231068566442849,0.4853333333333334,0.23235530963924708,0.09699158841060304,0.7148072397218851,0.13113594004667603,0.1136150234741784,0.11898281278650107,0.04907565283340568,0.5727950062220872,0.05129356517991028,0.032520325203252036,0.11344672657252888,0.08569025721144692,0.6237403502345067,0.0991307305829974,0.06289308176100629,0.16055037639462158,0.9119999999999999,0.0,1
0.8029734111811856,0.32001865521386047,0.36757794639086055,0.8330984496199283,0.5221325447980871,0.5217777777777778,0.19974051819762262,0.11158142677694696,0.6724470097729721,0.16196279290573212,0.13333333333333333,0.09718563825058078,0.10638689126150917,0.6575201125319691,0.12186485253672176,0.05306122448979591,0.1534699044452946,0.11579160008254728,0.6170294716375085,0.13825182055658944,0.0781609195402299,0.15798506165797127,0.9066666666666666,0.0,2
0.7905036141044381,0.20811557928990654,0.2927807406083682,0.8429849920896753,0.42504531663074907,0.39644444444444443,0.22724309982850915,0.1096973766206134,0.6988237105180063,0.13129853492115193,0.0895238095238095,0.09675955860260442,0.05261668993661923,0.5868710117926945,0.06160853535175479,0.03194444444444444,0.1411135161135161,0.07729562613279975,0.6559620897036113,0.08036416392827232,0.05384615384615385,0.120492408636785,0.8755555555555556,0.0,3
0.8232088461073562,0.25902324142231753,0.33660920062087996,0.8625614165885684,0.4434001674517834,0.4328888888888888,0.24941102115980807,0.1121658280854386,0.7276531109346137,0.1423619660731784,0.09223744292237443,0.1605352861983132,0.12964851132739152,0.6513018672360188,0.15004345350683665,0.036231884057971016,0.2530797101449275,0.09966536987646289,0.6523434023505863,0.11730335340858636,0.05172413793103449,0.20134564134310584,0.9057777777777778,0.0,4
0.7810573619775113,0.26369789556810447,0.3477378355869679,0.8205336418122026,0.5363336522089834,0.48,0.21395922300661932,0.12708248664437605,0.6825661181638751,0.18002563626569607,0.1425925925925926,0.1055532342794325,0.053140086902970084,0.5180426131627032,0.05600153480304581,0.03580246913580247,0.08212924960420406,0.12309272354140757,0.6132432702292124,0.13582971115647122,0.06994535519125683,0.16791922982300658,0.903111111111111,0.0,5
0.7743930809786921,0.24427299477713102,0.3527709362976407,0.8323537926064308,0.5154377850614087,0.4524444444444445,0.22123186596237626,0.10598621951343754,0.6965919719317935,0.13016745214119357,0.11619047619047618,0.09020072793526945,0.06876783490075977,0.5776584638048169,0.06864448707158013,0.03859649122807017,0.09246065252257203,0.10575308158410125,0.6016370114264887,0.12746945930032552,0.057142857142857155,0.12627315590198424,0.8862222222222222,0.0,6
0.7902826996644463,0.23838288113190426,0.3348840408998283,0.8414264153144344,0.5016239218274656,0.42933333333333334,0.21892023091017573,0.09769075674060564,0.6973794719625764,0.13562414499218053,0.12407407407407407,0.08682704744023871,0.05794112271779207,0.5709056706476812,0.06774311482956769,0.03833333333333334,0.0911806669207985,0.10691313604899864,0.6111527086580032,0.1209510554284309,0.06892655367231638,0.14895298850098396,0.9582222222222223,0.0,7
0.8083063376339873,0.23690874322519306,0.31634778750499687,0.8462676732023907,0.4553190353949285,0.42577777777777776,0.22888362805004922,0.0969757279810757,0.7047568260479924,0.1254156245282564,0.09814814814814815,0.12498201591166211,0.0735719844434393,0.6373534264038907,0.09273954701096161,0.032520325203252036,0.1744773519163763,0.10211225436718444,0.6276578248791315,0.12079840092454293,0.05957446808510638,0.1545314142122653,0.8853333333333334,0.0,8
0.7921664346162505,0.2681982988320652,0.3715484154066693,0.8593115266019701,0.5441150425190715,0.47644444444444445,0.2602151190462775,0.12845898248957865,0.7126047044500043,0.17281393264932918,0.13714285714285715,0.13961317966786085,0.08449424508502026,0.6239929075347278,0.1075434070042201,0.05454545454545454,0.15123091400265312,0.08970231047852119,0.6085728685579425,0.10057339123422962,0.06933333333333333,0.10050862904075006,0.9244444444444446,0.0,9
0.8032311753366247,0.23549124197416968,0.3426100686021673,0.861984568284225,0.48599354214525997,0.4471111111111112,0.26285344601232635,0.10946633383154997,0.7282475675369818,0.14313716967719436,0.10857142857142858,0.11930040529638425,0.08610682831303569,0.6700349938704873,0.11047073219432772,0.05203252032520325,0.1686181704474387,0.09724250524958869,0.654183976717945,0.11497271768274057,0.07058823529411766,0.21535959681043484,0.9297777777777778,0.1,0
0.8257645738743388,0.27041817645738275,0.3693012206473919,0.8664235948826782,0.5610189811035245,0.5013333333333333,0.24005838307225433,0.10324942637543913,0.7484142079267999,0.13504279930661967,0.12018779342723002,0.12367504663518135,0.059257601737036175,0.6061511478370887,0.07030015275294943,0.03577235772357724,0.16147839109970047,0.09206555838943642,0.6530107487551349,0.10950439962676392,0.06415094339622641,0.17024639316611,0.9431111111111111,0.1,1
0.8230628316983428,0.33720803082439704,0.39107051035762214,0.8525731665932031,0.5720315808983159,0.5493333333333332,0.21571047403689264,0.12027538000203569,0.710728561786255,0.17295142536860053,0.145045045045045,0.10773091472320301,0.11185113321338136,0.678931930746863,0.13090647801650768,0.05850340136054421,0.17475807339252716,0.12118566754669254,0.6366978612993134,0.14882656431927116,0.07586206896551725,0.1488070484799232,0.9315555555555555,0.1,2
0.8075039256717083,0.2223014618421846,0.31189503746773223,0.8570887834560058,0.4652180884692253,0.41333333333333333,0.24090146059841364,0.10141548589762531,0.73365919457147,0.12340697831601707,0.09238095238095237,0.12737037494711642,0.05799845714260087,0.5992712202198561,0.06919652484107203,0.03194444444444444,0.1359051827801828,0.08318935328090403,0.6883839001418999,0.0817567886619386,0.057692307692307696,0.1464768408712172,0.9031111111111113,0.1,3
0.8335661528136371,0.27467499038139864,0.3612768138606197,0.8725513286626326,0.4997718453472064,0.4675555555555556,0.2683928085875244,0.10895065352255504,0.745486941021142,0.14722683304561668,0.091324200913242,0.16062349106126209,0.11635498799195376,0.6573270518310841,0.1377891658307256,0.03768115942028986,0.2639492753623188,0.10384838572272692,0.6706206333048691,0.11829314109854099,0.05287356321839081,0.20486499780363876,0.9271111111111111,0.1,4
0.7881843039477993,0.272240097007916,0.36561994195218755,0.8368166128883796,0.5665589971128665,0.504,0.2262237316036725,0.13423415698963612,0.715682214173976,0.18246454082861369,0.1453703703703704,0.1048653855356882,0.05489160423043022,0.5395710991102288,0.051582978756299684,0.03580246913580247,0.07317357261574019,0.1260706563504017,0.6398616157538297,0.13910251952544425,0.07650273224043716,0.1777687746397467,0.944,0.1,5
0.7953997299448259,0.26221678138067356,0.3758722921065609,0.8492808550710563,0.5695615189678072,0.4835555555555556,0.23941972509180573,0.11281137455116702,0.7295452043176276,0.13748192290590808,0.12285714285714285,0.0917403564633561,0.07221357049505615,0.5984922526814848,0.07695401095470626,0.04035087719298246,0.09575012620678254,0.11593646216562181,0.6203681022535938,0.137688103230981,0.06904761904761907,0.13266459670812195,0.9226666666666669,0.1,6
0.813190309815573,0.25374086129903023,0.3536431191064496,0.8579171261829275,0.5308844814859611,0.4453333333333334,0.22714453711453791,0.10752929504256875,0.7358730643547635,0.14443958179838534,0.12592592592592589,0.09555673549285891,0.0586709340753685,0.5982951461781215,0.056230211506453145,0.03666666666666667,0.0566375784303416,0.11331194615495702,0.6459494547821902,0.1261199350875632,0.07005649717514123,0.15238472625475563,0.9715555555555556,0.1,7
0.8200239926962885,0.24790975386697198,0.3348959658994424,0.8592222209821455,0.4923079187642557,0.4524444444444444,0.2496714707832684,0.10025218805961068,0.7312379304602373,0.1269672207468329,0.10092592592592593,0.13005126442646214,0.07764697528203274,0.6386371432657724,0.09076360010647441,0.04065040650406505,0.21749903213317848,0.10428629022653157,0.6428693583283861,0.12676800267237504,0.06382978723404255,0.1676519815881518,0.9208888888888889,0.1,8
0.805792793243282,0.2810006798476214,0.3901339099813302,0.8747106170400375,0.5715565031288411,0.504,0.27940724100763675,0.13498200867437918,0.7537611634983453,0.1750498448421225,0.14,0.13475647295730628,0.08992910550708245,0.6564790685802939,0.11261480632329718,0.05303030303030303,0.18028275487514617,0.10010705087890698,0.6487924745600563,0.11339768821836324,0.07733333333333334,0.12070771513983618,0.9440000000000002,0.1,9
0.8115376762698844,0.24567603044433675,0.3578533309552474,0.8701409519441057,0.5184249654582396,0.4613333333333334,0.2735968845757299,0.11180243690816367,0.7458595228763374,0.1425136407738453,0.11428571428571428,0.1246548173760587,0.0874976356554404,0.6871769903705108,0.10618515602378402,0.05203252032520325,0.16324123031440105,0.10037124860916845,0.6640349561006971,0.1244715739252709,0.06666666666666668,0.1876931456145719,0.9475555555555557,0.2,0
0.8376042807047922,0.28320287666115135,0.3876756204794214,0.8751928964692436,0.6009196506092238,0.5164444444444445,0.2537893530342176,0.10724624786323568,0.7680257204628415,0.1396755087616743,0.12582159624413145,0.1317499576396698,0.06542468170381739,0.6230683138840262,0.07476770362422303,0.03739837398373983,0.1659178433889602,0.09583922088768487,0.67183966363104,0.1076597150182189,0.06540880503144654,0.17845057106368417,0.9582222222222221,0.2,1
0.8347555544948996,0.3514527416369649,0.4130795555746012,0.8649631833987977,0.6171112719073949,0.5662222222222222,0.22140096518437435,0.1295178615333074,0.7412056225532855,0.18587402929970098,0.14864864864864863,0.11015365448893034,0.11680104219876508,0.6867905974580153,0.14015805036346488,0.06394557823129253,0.20666607468828355,0.11266490398605017,0.6490830094084735,0.1442827648159425,0.08160919540229886,0.1649381874558898,0.9520000000000001,0.2,2
0.8187429284330956,0.23533662730799706,0.3314670206081216,0.8663134200663598,0.49872976177998946,0.43111111111111106,0.2511933067444849,0.10155421690152466,0.7588326975553942,0.11944419058833071,0.0895238095238095,0.13864348062703546,0.06477675896468639,0.6027987340734797,0.08035100013496173,0.037500000000000006,0.16368296055796056,0.08865424147669759,0.7097064309800907,0.09287531516032071,0.06025641025641026,0.14612727056972385,0.9280000000000002,0.2,3
0.8404844622446704,0.2897457632783096,0.3806748012995039,0.8791376384354093,0.5487028563226595,0.4933333333333334,0.28460853003607856,0.10917265497273831,0.7569757033864603,0.14813310726176954,0.09680365296803653,0.16186570967428215,0.10890782689289742,0.6554170680519295,0.12439747080779774,0.0391304347826087,0.24305124223602487,0.10283020721985528,0.6793912843729676,0.1166974792995393,0.05057471264367817,0.18876459212412558,0.9493333333333336,0.2,4
0.7894198924712907,0.27895504746653055,0.3828583490808861,0.8481423814641946,0.593368550951726,0.5208888888888888,0.2347260029356827,0.1381756686226186,0.7385434339215184,0.18408220954139914,0.1444444444444445,0.10501573707828579,0.058929296198255626,0.5610759459209608,0.05497579707811896,0.028395061728395062,0.0715265785620977,0.12728371450246964,0.662439989107066,0.14576884992042663,0.07978142076502732,0.1971954577909099,0.960888888888889,0.2,5
0.8092326727534653,0.2783900345773854,0.3945759617748007,0.8630397704108382,0.599508661378492,0.5066666666666667,0.2533721490828713,0.11789918895685117,0.7550968525638571,0.13700685346743977,0.1276190476190476,0.09662224132696434,0.07598121640063842,0.6164991723912014,0.0720615914086602,0.04035087719298246,0.1192776951290883,0.12403435169763813,0.6343932792528861,0.14825993064345896,0.07142857142857142,0.14571344227009636,0.9528888888888889,0.2,6
0.825959160324751,0.2657450781715767,0.365001116238732,0.8682708665363695,0.5486315540868625,0.4568888888888889,0.23299694589035616,0.11404858378404763,0.7579361442108037,0.1456076442212445,0.12777777777777777,0.09528812195971272,0.05474189405386624,0.6147443794331545,0.0564422867585609,0.045,0.07855053389592863,0.11595910026435771,0.6686964379063709,0.12309186016862914,0.08022598870056495,0.2007313044319813,0.9777777777777779,0.2,7
