model,MAP_mean,MAP_std,AUROC_mean,AUROC_std,AUPR_mean,AUPR_std,nDCG@10_mean,nDCG@10_std,P@1_mean,P@1_std,P@15_mean,P@15_std,R@15_mean,R@15_std,Spearman_mean,Spearman_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
CAFNet,0.339073119502883,0.023191742000964383,0.7959555570948507,0.014520189309094138,0.2517792687575612,0.030415157801960527,0.7206412388265905,0.03790499057594577,0.5066666666666666,0.08362172320989679,0.4532444444444444,0.03711742387352419,0.23050765801975995,0.01888126065642256,0.222908806342108,0.019154648996856465,1.3570099847482788,0.041054741373285804,1.0634505078476995,0.04187221256909667
CAFNet-D,0.40496100546869956,0.02396657724041825,0.8175610655210932,0.023313187090091204,0.29948808058244814,0.032407054669272475,0.8279505958631482,0.03982237108710212,0.7066666666666667,0.0615840287135601,0.5267555555555555,0.043121444606029104,0.2740832362595689,0.021136001292383372,0.2393628527291737,0.026983777574651875,3.154832851278519,0.21436188976601991,2.6089467689840453,0.20582562763430412
CAFNet-DG,0.41335356625434827,0.02479998653582132,0.825733242892196,0.020982520323982182,0.3066322994689576,0.0334531594674986,0.8306498852926565,0.04104675522736756,0.7133333333333334,0.06599663291074442,0.5264888888888889,0.043212658816950654,0.2727215657853247,0.019161821394250336,0.245358694144641,0.025458783038232298,1.8293658791670477,0.13153909103817207,1.5264752400527557,0.12440315330399586
Global popularity,0.40937596112780056,0.026025194609352778,0.8249835747282483,0.018793470915594933,0.29533800220089745,0.025745522099208044,0.8315438167428345,0.03740463244775123,0.7333333333333333,0.05656854249492382,0.5230222222222223,0.04453166749798275,0.27032501333247133,0.020734545720060914,0.2443564188704553,0.01582175051034749,0.7708492037831608,0.0664348310863361,0.20617286335295723,0.029139600998476185
