scenario,model,removed_top_n_hot_side_effects,fold_mean,fold_std,MAP_mean,MAP_std,auc_all_mean,auc_all_std,nDCG_mean,nDCG_std,P1_mean,P1_std,P5_mean,P5_std,P10_mean,P10_std,P15_mean,P15_std,R1_mean,R1_std,R5_mean,R5_std,R10_mean,R10_std,R15_mean,R15_std,auc_rank_mean,auc_rank_std
cold,A3Net,10,4.5,3.0276503540974917,0.23140155706970322,0.024917875914014932,,,0.565701441517676,0.046873146363534166,0.34500900900900905,0.05948898469178997,0.31990270270270255,0.05446923383315858,0.30709729729729734,0.0454584945128193,0.29803723723723713,0.03790149464690857,0.01398391878890222,0.003102709804908086,0.06391743755551907,0.007750399008908146,0.11419540821160094,0.010110420004836997,0.1616590841651501,0.014453522373862524,0.8151985124659976,0.0137297606359108
cold,A3Net,20,4.5,3.0276503540974917,0.19116105698772992,0.021047923079590598,,,0.47881578648036854,0.04567850539224799,0.27004442798963346,0.06470394210256006,0.24799679131185975,0.04093192390187628,0.24120098728865852,0.038528441252048316,0.23597660125879294,0.03186595825041968,0.0126000310710972,0.005636386993561733,0.05271710071124983,0.009183929766341695,0.09827762514665692,0.012237418299221349,0.14010087100760402,0.013746588180425756,0.7947817315176252,0.016962917482773333
cold,A3Net,50,4.5,3.0276503540974917,0.14296275129010516,0.0213292607857022,,,0.39295568085794097,0.04247268038803668,0.21819498951005803,0.05638068979387246,0.18022786622238673,0.03742023108879105,0.17664822905096872,0.027581939351851294,0.16843700686988355,0.02521590729581396,0.01167085674524171,0.005008958306280622,0.049781883562618715,0.014043337035726916,0.10088949839753603,0.02047100527449316,0.1371814633037113,0.02023004378670718,0.7548799151631546,0.018392085504369275
cold,A3Net,100,4.5,3.0276503540974917,0.10152669009838382,0.016696156090868625,,,0.28700679161642834,0.03834518536772479,0.1374337368983327,0.05095463473634687,0.11627957638463138,0.026173279798037782,0.11235644245165755,0.021451217821701587,0.10742412827093514,0.022188479781996933,0.011514002759806127,0.0061669083307419525,0.041832392755466914,0.009232411170664036,0.07592153416871901,0.013129726076097364,0.10958658329869711,0.015673642283751267,0.6987892087797192,0.019680494733243105
cold,CAFNet,10,4.5,3.0276503540974917,0.24289821107670892,0.02207382859824355,,,0.5979198154435311,0.0426460811091287,0.3943243243243243,0.05516988116590366,0.3509585585585585,0.04481268260736478,0.32931891891891896,0.036203710807648004,0.31303303303303287,0.03180892269975636,0.017921725510976618,0.003795904691354785,0.07056680584474916,0.008915058295501377,0.12703609589429332,0.010649612591503085,0.1776222762281083,0.016886677999869107,0.8146317522931417,0.010859369127566833
cold,CAFNet,20,4.5,3.0276503540974917,0.2005305682425496,0.018857075867561125,,,0.5025842977698461,0.034135915883804095,0.3064793286437122,0.05192303830484006,0.270687054177465,0.03263568403348325,0.2620814019498951,0.02649600835669843,0.24837028261137842,0.0305614826937327,0.015854195381360656,0.0048663700992525255,0.05872677713903769,0.010297915014948934,0.10857723431675673,0.01614408539101276,0.1524571118746215,0.024856711776190504,0.794280671626,0.01305443287987559
cold,CAFNet,50,4.5,3.0276503540974917,0.1518988887366967,0.016554217836441946,,,0.41263428713857386,0.04502894458406065,0.2182890287547822,0.05655585536954089,0.20652770578797974,0.030854448589743524,0.18859108971985677,0.0265484804566598,0.17603361717882265,0.024152537059292996,0.015267025974183118,0.00814509315360397,0.06232613691413634,0.014291807745344423,0.10994025554792519,0.01966323859746974,0.14713046860475273,0.018564951132816733,0.7547433104805207,0.016187844331230446
cold,CAFNet,100,4.5,3.0276503540974917,0.10888064431820133,0.011524213271559093,,,0.30257920719703285,0.043504980106626116,0.15253757912980373,0.03671138583762676,0.13180083835109882,0.026031146151200668,0.12177403387373478,0.020702845178036354,0.11544768050208916,0.018788507391009828,0.016149138611792437,0.010799163325058841,0.04829461541324785,0.012914447313264363,0.07960477116683348,0.013672768631027758,0.11287433172436867,0.02344064077021186,0.7012068806769758,0.01582335086162705
cold,CAFNet-DG,10,4.5,3.0276503540974917,0.2844216293780902,0.027331922496389268,,,0.6666964951507326,0.04429600722237559,0.4771531531531531,0.070560873399306,0.427390990990991,0.05392888932178992,0.3891621621621622,0.046743893378116436,0.36377657657657647,0.04044866929827426,0.02130342257561877,0.003224325764887067,0.08927016977755375,0.00851829323936259,0.15588984397463762,0.012532955771219215,0.20935995194776172,0.015014433372199295,0.8563027298664456,0.006726126845645768
cold,CAFNet-DG,20,4.5,3.0276503540974917,0.23615142002983203,0.023505986508733537,,,0.5767164027929558,0.03965029148297545,0.3708406762927311,0.06118435470519403,0.3415935332592866,0.04843432648562979,0.31190591139084295,0.03696305033105058,0.2907002015714343,0.03562599997590643,0.020165366043936102,0.005771769034324231,0.07808133754840954,0.010250038250058534,0.13381289523667916,0.013792035864348746,0.18057794386804932,0.019203608067718012,0.8415219651502508,0.008493001727335686
cold,CAFNet-DG,50,4.5,3.0276503540974917,0.18198110985334406,0.020174435165367703,,,0.46415683220740006,0.040603719147033104,0.2856613599901271,0.046888140439428086,0.24521016907318272,0.029101166380161084,0.21695473281500677,0.034852905380761204,0.20114721296639101,0.0311821853946649,0.0230988976923239,0.008401635087025936,0.07782883036396239,0.014331851626919741,0.12536504917678434,0.0138260571067694,0.16862209121228813,0.011429213893405909,0.814608545926712,0.010317320685077734
cold,CAFNet-DG,100,4.5,3.0276503540974917,0.12249196939942472,0.016756957246747646,,,0.3293220349556223,0.04927547238106655,0.15690154191842404,0.048050664095472734,0.14329424442496022,0.03219122127578149,0.13406832785763903,0.027527296506821283,0.12600076158681212,0.02470172011704977,0.013347560618664763,0.006768051963673113,0.05648806014287513,0.015501516811628965,0.09473034818059323,0.018478322705462527,0.1274158470952067,0.023890281247296398,0.7724540957048255,0.011913466253671998
