delta_metric,n_drugs,mean_delta,median_delta,fraction_positive,q25,q75
delta_DG_minus_D_AP,750,0.008392376428654709,0.005370101672666078,0.5946666666666667,-0.010528830917114262,0.02531951014445326
delta_DG_minus_CAFNet_AP,750,0.07381362928623232,0.05549615902461469,0.864,0.017928205025032312,0.11450490826160097
delta_DG_minus_D_rare_AP,442,0.0149160630551535,0.0003341260298882062,0.5746606334841629,-0.0009792260919496663,0.006083529975731322
delta_DG_minus_CAFNet_rare_AP,442,0.0013744638807582311,0.0010365761885163475,0.5542986425339367,-0.009242807292408489,0.016278261359915912
delta_DG_minus_D_middle_AP,545,0.02129694387216574,0.0012589780222617142,0.6091743119266055,-0.0021494132682700123,0.01556257539512157
delta_DG_minus_CAFNet_middle_AP,545,0.014067225531524247,0.004235499450395273,0.6128440366972477,-0.00670953312831982,0.02568427778514297
delta_DG_minus_D_nonhot100_AP,714,0.00989429951397887,0.002334750593178933,0.6414565826330533,-0.004681552507599397,0.02301676636542137
delta_DG_minus_CAFNet_nonhot100_AP,714,0.013606644447619809,0.009174409384873877,0.7058823529411765,-0.0026985473676650147,0.03305985272553915
