fold,drug_index,drug_name,positive_count,AP_CAFNet,AP_CAFNet-D,AP_CAFNet-DG,AUROC_CAFNet,AUROC_CAFNet-D,AUROC_CAFNet-DG,P@15_CAFNet,P@15_CAFNet-D,P@15_CAFNet-DG,R@15_CAFNet,R@15_CAFNet-D,R@15_CAFNet-DG,frequent_AP_CAFNet,frequent_AP_CAFNet-D,frequent_AP_CAFNet-DG,middle_AP_CAFNet,middle_AP_CAFNet-D,middle_AP_CAFNet-DG,nDCG@10_CAFNet,nDCG@10_CAFNet-D,nDCG@10_CAFNet-DG,nonhot100_AP_CAFNet,nonhot100_AP_CAFNet-D,nonhot100_AP_CAFNet-DG,rare_AP_CAFNet,rare_AP_CAFNet-D,rare_AP_CAFNet-DG,top15_hot_fraction_CAFNet,top15_hot_fraction_CAFNet-D,top15_hot_fraction_CAFNet-DG,delta_DG_minus_D_AP,delta_DG_minus_CAFNet_AP,delta_DG_minus_D_AUROC,delta_DG_minus_CAFNet_AUROC,delta_DG_minus_D_nDCG@10,delta_DG_minus_CAFNet_nDCG@10,delta_DG_minus_D_P@15,delta_DG_minus_CAFNet_P@15,delta_DG_minus_D_R@15,delta_DG_minus_CAFNet_R@15,delta_DG_minus_D_rare_AP,delta_DG_minus_CAFNet_rare_AP,delta_DG_minus_D_middle_AP,delta_DG_minus_CAFNet_middle_AP,delta_DG_minus_D_frequent_AP,delta_DG_minus_CAFNet_frequent_AP,delta_DG_minus_D_nonhot100_AP,delta_DG_minus_CAFNet_nonhot100_AP,delta_DG_minus_D_hot_fraction
6,679,afatinib,44,0.5393829356738552,0.5636935742194393,0.622044099741683,0.928444976076555,0.9250478468899521,0.9361961722488038,0.8,0.8666666666666667,0.9333333333333333,0.2727272727272727,0.29545454545454547,0.3181818181818182,0.6263247226615298,0.6104409068470251,0.6726501489964719,0.10983397190293742,0.04162220208731837,0.08106884057971014,0.8899541168509599,1.0,1.0,0.1345186512153397,0.07946082950027353,0.13488372546225877,1.0,0.125,1.0,0.8,1.0,1.0,0.058350525522243624,0.08266116406782775,0.011148325358851685,0.007751196172248842,0.0,0.11004588314904007,0.06666666666666665,0.1333333333333333,0.022727272727272707,0.04545454545454547,0.875,0.0,0.03944663849239177,-0.028765131323227278,0.062209242149446786,0.04632542633494208,0.05542289596198524,0.00036507424691906154,0.0
2,591,lapatinib,45,0.41689416790647066,0.6227262766768632,0.6219764075295787,0.9001990399250673,0.924645826015689,0.9286968739023533,0.6,0.8,0.8666666666666667,0.2,0.26666666666666666,0.28888888888888886,0.45772174335279625,0.6918735015145231,0.6729362230564252,0.05388165980915091,0.30388632222800627,0.2862736258598811,0.5483327772244703,0.8630152897016883,1.0,0.0424113512192532,0.08164154994116771,0.10533444880997264,1.0,0.14285714285714285,1.0,0.9333333333333333,1.0,1.0,-0.0007498691472844765,0.20508223962310806,0.004051047886664327,0.028497833977286002,0.13698471029831172,0.45166722277552973,0.06666666666666665,0.2666666666666667,0.0222222222222222,0.08888888888888885,0.8571428571428572,0.0,-0.01761269636812518,0.23239196605073018,-0.018937278458097895,0.21521447970362895,0.023692898868804935,0.06292309759071944,0.0
0,162,finasteride,22,0.17655256121073276,0.24408579332821723,0.2203404651617919,0.906986531986532,0.9385521885521885,0.9372427983539096,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18406316673507575,0.269673948652286,0.23093598833362838,0.18095238095238098,0.37037037037037035,0.33333333333333337,0.2583297509898471,0.3693362536342715,0.34051969290975714,0.12043813649490805,0.08267507356132592,0.12867518833076108,0.5,0.16666666666666666,1.0,1.0,1.0,1.0,-0.023745328166425328,0.04378790395105914,-0.0013093901982789147,0.03025626636737755,-0.028816560724514384,0.08218994191991003,0.0,0.0,0.0,0.0,0.8333333333333334,0.5,-0.03703703703703698,0.1523809523809524,-0.038737960318657616,0.04687282159855263,0.04600011476943516,0.008237051835853035,0.0
1,29,amphotericin.B,21,0.17212542900350206,0.2973625082655627,0.23430038864086883,0.867934224049332,0.9055938922331523,0.902559584985073,0.26666666666666666,0.4,0.4,0.19047619047619047,0.2857142857142857,0.2857142857142857,0.19070127915876997,0.3195803417189538,0.2498073378179528,0.008771929824561403,0.027777777777777776,0.03225806451612903,0.21678905352716857,0.5391870169376467,0.23365080824310527,0.01976112578482469,0.2136341244185039,0.08311680853713417,0.045454545454545456,0.5,1.0,1.0,1.0,1.0,-0.06306211962469388,0.06217495963736677,-0.003034307248079293,0.03462536093574109,-0.30553620869454146,0.016861754715936705,0.0,0.13333333333333336,0.0,0.09523809523809523,0.5,0.9545454545454546,0.004480286738351255,0.02348613469156763,-0.06977300390100097,0.059106058659182836,-0.13051731588136972,0.06335568275230949,0.0
9,205,indapamide,35,0.365336032367255,0.33409020583704385,0.3701128018942421,0.896916430805899,0.8962311932072098,0.9138984060777596,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.3924612647943371,0.35925077694032703,0.39180116451218444,0.004405286343612335,0.034482758620689655,0.02631578947368421,0.6168295842361275,0.6235744328990731,0.6325414799409712,0.08907930131914639,0.0694210401535698,0.09715317562536441,1.0,0.5,1.0,1.0,1.0,1.0,0.036022596057198264,0.004776769526987135,0.017667212870549842,0.016981975271860628,0.008967047041898102,0.01571189570484366,0.0,0.0,0.0,0.0,0.5,0.0,-0.008166969147005446,0.021910503130071875,0.03255038757185741,-0.0006601002821526314,0.02773213547179461,0.008073874306218018,0.0
0,582,anidulafungin,63,0.665801822915848,0.46707993115428637,0.5944232692655251,0.9523468535283789,0.9003972516324825,0.9463795543279968,0.8,0.7333333333333333,0.7333333333333333,0.19047619047619047,0.1746031746031746,0.1746031746031746,0.6989997653727454,0.5088251523390792,0.6301878250842045,0.6355913978494623,0.11104443346905034,0.4735897435897436,0.7799082337019198,0.7605591431973849,0.7670273914429263,0.657396012505565,0.14676597773539776,0.5930544617492188,0.265625,0.051906158357771265,0.5085470085470085,0.9333333333333333,1.0,1.0,0.12734333811123877,-0.07137855365032286,0.04598230269551429,-0.005967299200382081,0.006468248245541375,-0.012880842258993441,0.0,-0.06666666666666676,0.0,-0.015873015873015872,0.4566408501892373,0.24292200854700852,0.36254531012069324,-0.16200165425971869,0.12136267274512524,-0.06881194028854098,0.44628848401382104,-0.06434155075634618,0.0
3,607,micafungin,42,0.6103079576087613,0.5007455481505736,0.5913267683843781,0.9476540616246498,0.9377751100440176,0.9489045618247299,0.8666666666666667,0.6666666666666666,0.8666666666666667,0.30952380952380953,0.23809523809523808,0.30952380952380953,0.6566598726230662,0.5415801013770787,0.6342999657965103,0.04009009009009009,0.0548885077186964,0.07202380952380952,1.0,0.9216017310213245,1.0,0.4544190969977563,0.36784044550320344,0.49065707858968444,0.41666666666666663,0.11274509803921567,0.5434782608695652,1.0,1.0,1.0,0.09058122023380455,-0.018981189224383188,0.01112945178071234,0.0012505002000801069,0.07839826897867552,0.0,0.20000000000000007,0.0,0.07142857142857145,0.0,0.4307331628303495,0.12681159420289856,0.01713530180511312,0.03193371943371943,0.09271986441943159,-0.022359906826555975,0.122816633086481,0.03623798159192815,0.0
4,441,buserelin,60,0.5079144964072609,0.39187552354790495,0.4646262007708814,0.9051391862955032,0.8823697359029266,0.9008743754461099,0.7333333333333333,0.4666666666666667,0.5333333333333333,0.18333333333333332,0.11666666666666667,0.13333333333333333,0.5658770339680884,0.4355500029074858,0.5099534672955097,0.06996045502979005,0.029663166380941255,0.06767554479418886,0.8611375561264455,0.5388856921828065,0.642186726668901,0.425185057845333,0.34288599416151294,0.4818052637239718,0.5327380952380951,0.13010822510822512,0.41874999999999996,0.4,1.0,1.0,0.07275067722297646,-0.04328829563637954,0.018504639543183377,-0.00426481084939323,0.10330103448609451,-0.21895082945754452,0.06666666666666665,-0.19999999999999996,0.016666666666666663,-0.04999999999999999,0.28864177489177484,-0.11398809523809517,0.0380123784132476,-0.0022849102356011924,0.07440346438802392,-0.055923566672578695,0.13891926956245887,0.05662020587863881,0.0
4,362,thalidomide,88,0.43403066034599264,0.4735969332146071,0.4919171206823486,0.8724287577764399,0.8969120008027293,0.9090658238009232,0.5333333333333333,0.6,0.5333333333333333,0.09090909090909091,0.10227272727272728,0.09090909090909091,0.47775515266549995,0.5241665915431911,0.5309883063405034,0.10142858743414397,0.16244317433096805,0.16792374506807448,0.4697368900553819,0.6531466953037821,0.6083169141195838,0.1950951954477746,0.18251399712833516,0.23125303310922193,1.0,0.05263157894736842,0.3333333333333333,0.8,1.0,1.0,0.0183201874677415,0.05788646033635597,0.012153822998193897,0.036637066024483245,-0.044829781184198336,0.1385800240642019,-0.06666666666666665,0.0,-0.011363636363636367,0.0,0.2807017543859649,-0.6666666666666667,0.005480570737106422,0.0664951576339305,0.006821714797312306,0.053233153675003475,0.048739035980886775,0.03615783766144734,0.0
3,728,ponatinib,73,0.5493582098062717,0.6405989919743122,0.6635121215097861,0.9287403507206281,0.9117546442966995,0.9301236000178483,0.6666666666666666,0.9333333333333333,0.9333333333333333,0.136986301369863,0.1917808219178082,0.1917808219178082,0.6095062217118326,0.7250294592676987,0.7312194387205971,0.388785975928833,0.47659431665642843,0.4259615384615384,0.6563033086078547,0.933745776545611,0.9266360779006398,0.24264830251008077,0.15284189421764144,0.21727442005087338,0.4500018986861092,0.24505710716586743,0.5002900703660459,0.5333333333333333,1.0,1.0,0.022913129535473864,0.11415391170351441,0.018368955721148827,0.0013832492972202237,-0.00710969864497113,0.27033276929278516,0.0,0.2666666666666667,0.0,0.0547945205479452,0.25523296320017846,0.05028817167993671,-0.05063277819489004,0.037175562532705375,0.006189979452898453,0.12171321700876458,0.06443252583323195,-0.02537388245920738,0.0
