epoch,train_loss,auc_all,aupr_all,drugAUC,drugAUPR
10,1280.1476314769072,0.8333645560682335,0.21911952011923647,0.8619344676954757,0.29997692166443907
20,1101.017967672909,0.8160091158213678,0.21149356853932771,0.8597884391641896,0.32973679457443567
30,969.1900778377758,0.8064813345211304,0.21586682589961131,0.8718091926069127,0.33035990385850855
40,879.8415132410386,0.8131886822280989,0.19340872539554652,0.8662600481918732,0.32194649051314717
50,811.521219590131,0.8068264848529717,0.19085878790505864,0.8623615609242321,0.32856990012324805
60,737.1907680735868,0.8133007754207753,0.1973150380898339,0.8561894621227306,0.3036284951800489
70,685.0426770378562,0.8143039482718113,0.20591589937395846,0.8521352484594269,0.3083717981014796
80,607.5695078232709,0.8016836768020137,0.19912441939239778,0.8487531410994796,0.30630303459684294
90,572.4475281659295,0.8072673031129429,0.19950062831603824,0.8520815868476005,0.30671694492923035
100,576.2666893005371,0.8097639795508668,0.2118840376672195,0.849980317211652,0.30060024488207665
10,1252.2883372587316,0.8294465123502545,0.26091560448418305,0.8808078566067814,0.3295692728676496
20,1084.9547469195197,0.8378825893559078,0.240292491829159,0.8876253183854395,0.3607453026296541
30,977.4950480741613,0.8226779802021903,0.22559329634167824,0.8802643532777735,0.359082886662507
40,800.8160669663373,0.8344493239188533,0.26703260490787123,0.8806623136414191,0.3559784791172716
50,757.8788936839384,0.829033542422916,0.22381914131260122,0.8693300901546187,0.34180725827632813
60,668.514944413129,0.8201573235782562,0.23906842805279838,0.8689303871494709,0.3459167916237446
70,607.669610416188,0.8395056492613755,0.28061894188076636,0.868899704553325,0.3365333896849141
80,526.8713087194106,0.8285264615745043,0.24193186253529653,0.8621712866508446,0.34342542184184616
90,491.70081823012407,0.831344294198222,0.2703603129776826,0.8558329831094627,0.33356716453277074
100,485.36484976375806,0.819370196671379,0.2498268895461006,0.8544852497382736,0.32968737896829187
10,1211.1833926930146,0.8109891231610071,0.3042289956466897,0.8679827410454828,0.4053015435607209
20,1047.869488884421,0.814529243053929,0.302764217529947,0.8699955578669807,0.3982356655627537
30,874.1711560417624,0.8333763730586043,0.31071206506748983,0.8703521626316537,0.40562716187368425
40,813.1809584673713,0.825546350031988,0.309247208442172,0.8553726483612432,0.3972785675235978
50,717.4046666762408,0.8285724907643184,0.30733656914609375,0.8645809309942111,0.3968672750244737
60,666.8502318438361,0.8169898168498468,0.2967018934614175,0.8587763604204433,0.39244115191791384
70,570.8998269473805,0.8171495403726303,0.32619848511496846,0.8431091073805195,0.39118066080125274
80,521.6546511930578,0.8104227217720409,0.3230928153759141,0.8382997071461215,0.3933162263632662
90,504.8888926786535,0.8008300878144432,0.32665098317287844,0.836929291651197,0.38493843607967315
100,485.0888770608341,0.8112578837558105,0.3133423899007793,0.8425106489572695,0.3888072464050319
10,1225.300651101505,0.8342707878452407,0.23223095586145726,0.8776439685397992,0.3350341525921511
20,1111.199067957261,0.820524571620302,0.1979902937306208,0.8726394518081156,0.3160054185940292
30,999.0332969216739,0.8358968190647799,0.22243991869221835,0.871559386312986,0.3399538604124617
40,832.1369449391085,0.8231692274140021,0.20111800924483836,0.865478829971908,0.3090196051244506
50,745.3674738266889,0.818285457437746,0.2218570996447878,0.8630982239229447,0.3131791204243612
60,670.649798673742,0.8124335624629131,0.2132348152006103,0.8568602378242857,0.3516267727526398
70,614.3326043521656,0.8133666289155026,0.20381755232748164,0.8590799735314677,0.3163783599838445
80,596.4419120339786,0.7988897962965888,0.1966801980677181,0.847910602575828,0.3119430677321098
90,530.3958668428309,0.795650220401046,0.21586850840919014,0.8478712192614382,0.32424244628099286
100,484.6481605978573,0.7950610217924698,0.2052182714724364,0.8426519095315966,0.31929303772810885
10,1233.3488787482765,0.8537771659103783,0.29033298979325667,0.8815666666089639,0.32720082487906377
20,1066.5661423627068,0.843705858027827,0.24227821161742719,0.8816532618572688,0.34278752896119763
30,966.3175057803883,0.8482915902293531,0.2793013113967587,0.8838129293824247,0.33872259430815965
40,835.7718595616958,0.8441110160601667,0.24833713353210315,0.8754193945551998,0.3436917746497066
50,816.4896374870749,0.8416924404741923,0.24685459063691712,0.8748365726409641,0.34906452196608473
60,705.9254877427045,0.8340007877054985,0.2585767448473872,0.8667447869165052,0.32292137023958495
70,646.7508042279412,0.827724220935776,0.2597876045171589,0.864110692746464,0.32989660304678775
80,594.6001483692843,0.8300344310672229,0.2654499728767376,0.8627028473272034,0.33290447183891275
90,552.0587548648609,0.8219599775271531,0.2367188387929584,0.8598510521962682,0.32676520357893307
100,563.772621603573,0.8268002691921446,0.23937132515696252,0.8649017525594752,0.30514175881395533
10,1257.3175300149358,0.7800476851010547,0.2405704449302124,0.8472355458686077,0.3200568165801711
20,1063.9969015682445,0.7925468128616525,0.234812838231264,0.8490012530769813,0.33176637837120365
