pearson,rMSE,spearman,MAE,auc_all,aupr_all,drugAUC,drugAUPR,MAP,nDCG,P1,P5,P10,P15,R1,R5,R10,R15
0.3660603217257345,1.7065890020838912,0.38742770393173104,1.3418,0.809763948154243,0.21188395997091944,0.8499792955538077,0.30188388066724753,0.2994657754380678,0.6040634792975279,0.4533333333333333,0.39199999999999996,0.3813333333333333,0.359111111111111,0.017697961980501425,0.07241413371685411,0.1403270867597143,0.200026954016214
0.4057164188286244,1.6101741103098401,0.4271950588020339,1.2663168,0.8193702231190318,0.24982808657707528,0.8544851241443725,0.3295341455869098,0.32943400319459487,0.6590667478064564,0.44,0.4186666666666666,0.4706666666666666,0.47644444444444445,0.011152805500595735,0.057278670322878304,0.1468373491348488,0.23062430187675506
0.34183113979396984,1.6778328525831396,0.3502612792441846,1.3026996,0.8112578924783114,0.31334237841448237,0.8425117937818101,0.3888056306134232,0.388804738145498,0.7675754669801917,0.6,0.5759999999999998,0.5533333333333333,0.5253333333333337,0.01760247430654265,0.08347448610416695,0.14991433694102974,0.20249487667088825
0.2882669208495784,1.762589064167171,0.32556368707368954,1.357718,0.795061010498563,0.20521801235365877,0.8426525784135952,0.3192934688346983,0.31913265520266104,0.6989678044923183,0.49333333333333335,0.46400000000000013,0.43333333333333335,0.39111111111111097,0.024298237881696123,0.10459643917676215,0.18728640107807473,0.24315886013980859
0.31408973232253234,1.7173221552694322,0.31025322988799026,1.354477,0.8268003060812561,0.2393568903684294,0.8649052646635083,0.30496146709899,0.30326145393895115,0.6355190715495143,0.3466666666666667,0.3653333333333331,0.3853333333333334,0.4124444444444444,0.013195366559161623,0.06575553090454557,0.13370190567445123,0.22290984494835273
0.4314743167887513,1.8350291500842528,0.47323698328808417,1.5186552,0.7288452274986014,0.21803734552063675,0.8186964396261028,0.3374450734390496,0.3374340327988684,0.7133476697711946,0.49333333333333335,0.5093333333333332,0.4919999999999999,0.4648888888888891,0.01779530391306263,0.08155276032781032,0.15108364119395323,0.20863880496701515
0.40264675643727543,1.752239837490747,0.4125877692903864,1.4275913,0.7909555658455366,0.26497208103805636,0.8300101860296052,0.34782938680894065,0.34782930951560675,0.7528485389838232,0.5466666666666666,0.5386666666666668,0.49466666666666675,0.46311111111111103,0.02197285246962801,0.09901275826492083,0.1691903054919478,0.2230027458777098
0.43168053092547415,1.5886710525934526,0.442741816561244,1.2610409,0.7878934098082593,0.22055323477567612,0.8391824082769329,0.3216199953971247,0.3214407060439252,0.6764702833513435,0.41333333333333333,0.5120000000000002,0.4826666666666667,0.4319999999999998,0.014209854200356427,0.09210876125671927,0.17480328441130094,0.22177752355924193
0.4012877504648443,1.6852338904762572,0.41483189825057526,1.2880164,0.7960168951164017,0.21161100008049447,0.8378152650734054,0.31070412486191745,0.31007943488439793,0.7056345247836273,0.5066666666666667,0.504,0.424,0.4053333333333333,0.021142693563824397,0.09851446951790398,0.15461391801999924,0.21886728359340027
0.36737064974208733,1.7802486616744861,0.3804758418128186,1.4370201,0.786334191472175,0.26007144936145415,0.8608688209404947,0.3694584523766362,0.36920493874869176,0.7557767083640541,0.5466666666666666,0.5386666666666667,0.5279999999999998,0.4853333333333336,0.02624677018697758,0.1132363685707137,0.21008430631411582,0.2759144659979475
avg
0.3750424537878872,1.7115929776732668,0.3924575268142737,1.35553353,0.7952298670072381,0.23948744384608825,0.8441107176503635,0.3331535625684937,0.33260870479112625,0.6969270295380051,0.484,0.4818666666666666,0.46453333333333335,0.4415111111111111,0.01853143205623462,0.08679443781632748,0.1617842535019436,0.22474156616473326
