Model,MAP,AUROC,AUPR,nDCG,P@1,P@15,R@15
CAFNet,0.2061 $\pm$ 0.0169,0.9106 $\pm$ 0.0032,0.0845 $\pm$ 0.0060,0.4250 $\pm$ 0.0221,0.2146 $\pm$ 0.0301,0.1132 $\pm$ 0.0049,\textbf{0.3967 $\pm$ 0.0138}
CAFNet-Decoupled,\textbf{0.2327 $\pm$ 0.0059},\textbf{0.9327 $\pm$ 0.0023},\textbf{0.1636 $\pm$ 0.0104},\textbf{0.4809 $\pm$ 0.0103},\textbf{0.3279 $\pm$ 0.0097},\textbf{0.1211 $\pm$ 0.0021},0.3808 $\pm$ 0.0077
