Model,Spearman,RMSE,MAE
CAFNet,0.5119 $\pm$ 0.0263,1.2262 $\pm$ 0.0567,0.8949 $\pm$ 0.0454
CAFNet-Decoupled,\textbf{0.7080 $\pm$ 0.0116},\textbf{0.7083 $\pm$ 0.0311},\textbf{0.5024 $\pm$ 0.0190}
