scenario,model,fold,hot_top_n,topk,mean_topk_hot_fraction
warm,XGBoost,8,50,15,0.30020639834881324
warm,Global popularity,8,50,15,0.9726522187822496
warm,HSTrans,8,50,15,0.8022703818369453
warm,RF,8,100,15,0.24158926728586172
warm,XGBoost,8,100,15,0.32910216718266255
warm,Global popularity,8,100,15,0.9998968008255935
warm,HSTrans,8,100,15,0.9571723426212593
warm,RF,9,10,15,0.07206645898234683
warm,XGBoost,9,10,15,0.1412253374870197
warm,Global popularity,9,10,15,0.292938733125649
warm,HSTrans,9,10,15,0.2638629283489097
warm,RF,9,20,15,0.09958463136033228
warm,XGBoost,9,20,15,0.19916926272066457
warm,Global popularity,9,20,15,0.666355140186916
warm,HSTrans,9,20,15,0.4939771547248183
warm,RF,9,50,15,0.15908618899273103
warm,XGBoost,9,50,15,0.24402907580477676
warm,Global popularity,9,50,15,0.971651090342679
warm,HSTrans,9,50,15,0.8086188992731048
warm,RF,9,100,15,0.2327102803738318
warm,XGBoost,9,100,15,0.2447559709241952
warm,Global popularity,9,100,15,0.9998961578400831
warm,HSTrans,9,100,15,0.9368639667705089
cold,CAFNet,0,10,15,0.4204444444444444
cold,A3Net,0,10,15,0.38755555555555554
cold,RF,0,10,15,0.25511111111111107
cold,XGBoost,0,10,15,0.30399999999999994
cold,Global popularity,0,10,15,0.6666666666666665
cold,HSTrans,0,10,15,0.44355555555555554
cold,Decoupled-v3,0,10,15,0.6471111111111111
cold,CAFNet,0,20,15,0.6346666666666667
cold,A3Net,0,20,15,0.6240000000000001
cold,RF,0,20,15,0.3048888888888888
cold,XGBoost,0,20,15,0.3653333333333333
cold,Global popularity,0,20,15,1.0
cold,HSTrans,0,20,15,0.6711111111111111
cold,Decoupled-v3,0,20,15,0.9084444444444447
cold,CAFNet,0,50,15,0.8142222222222221
cold,A3Net,0,50,15,0.8293333333333333
cold,RF,0,50,15,0.5262222222222221
cold,XGBoost,0,50,15,0.43022222222222223
cold,Global popularity,0,50,15,1.0
cold,HSTrans,0,50,15,0.8497777777777777
cold,Decoupled-v3,0,50,15,0.9768888888888889
cold,CAFNet,0,100,15,0.9191111111111112
cold,A3Net,0,100,15,0.9280000000000002
cold,RF,0,100,15,0.6222222222222222
cold,XGBoost,0,100,15,0.43022222222222223
cold,Global popularity,0,100,15,1.0
cold,HSTrans,0,100,15,0.9422222222222225
cold,Decoupled-v3,0,100,15,0.9857777777777779
cold,CAFNet,1,10,15,0.47911111111111104
cold,A3Net,1,10,15,0.3955555555555555
cold,RF,1,10,15,0.25155555555555553
cold,XGBoost,1,10,15,0.30399999999999994
cold,Global popularity,1,10,15,0.6666666666666665
cold,HSTrans,1,10,15,0.39111111111111113
cold,Decoupled-v3,1,10,15,0.6488888888888887
cold,CAFNet,1,20,15,0.6631111111111111
cold,A3Net,1,20,15,0.5813333333333335
cold,RF,1,20,15,0.28622222222222216
cold,XGBoost,1,20,15,0.3573333333333333
cold,Global popularity,1,20,15,1.0
cold,HSTrans,1,20,15,0.5484444444444444
cold,Decoupled-v3,1,20,15,0.9564444444444444
cold,CAFNet,1,50,15,0.8213333333333332
cold,A3Net,1,50,15,0.7786666666666666
cold,RF,1,50,15,0.5804444444444443
cold,XGBoost,1,50,15,0.42577777777777776
cold,Global popularity,1,50,15,1.0
cold,HSTrans,1,50,15,0.744
cold,Decoupled-v3,1,50,15,0.9973333333333333
cold,CAFNet,1,100,15,0.9119999999999999
cold,A3Net,1,100,15,0.9182222222222223
cold,RF,1,100,15,0.6586666666666666
cold,XGBoost,1,100,15,0.42577777777777776
cold,Global popularity,1,100,15,1.0
cold,HSTrans,1,100,15,0.8737777777777775
cold,Decoupled-v3,1,100,15,0.9973333333333333
cold,CAFNet,2,10,15,0.40533333333333327
cold,A3Net,2,10,15,0.4133333333333333
cold,RF,2,10,15,0.2613333333333333
cold,XGBoost,2,10,15,0.30577777777777776
cold,Global popularity,2,10,15,0.6666666666666665
cold,HSTrans,2,10,15,0.3751111111111111
cold,Decoupled-v3,2,10,15,0.6426666666666666
cold,CAFNet,2,20,15,0.6115555555555556
cold,A3Net,2,20,15,0.6275555555555556
cold,RF,2,20,15,0.30666666666666664
cold,XGBoost,2,20,15,0.3617777777777777
cold,Global popularity,2,20,15,1.0
cold,HSTrans,2,20,15,0.5439999999999999
cold,Decoupled-v3,2,20,15,0.9475555555555555
cold,CAFNet,2,50,15,0.7751111111111111
cold,A3Net,2,50,15,0.8035555555555557
cold,RF,2,50,15,0.5528888888888889
cold,XGBoost,2,50,15,0.41866666666666663
cold,Global popularity,2,50,15,1.0
cold,HSTrans,2,50,15,0.7351111111111112
