MAP,AUROC,AUPR,nDCG@10,P@15,R@15,rare_AP,middle_AP,frequent_AP,matched_AUPR,top100_removed_MAP,model,fold
0.3286112237553585,0.7888837103780463,0.22309085985207416,0.4563004243270826,0.43200000000000005,0.2531165643969144,0.08183998039634638,0.08867274874738601,0.36532449936591627,0.6904633609490165,0.10228935785891985,CAFNet,0
0.3737752900817934,0.808711320790324,0.25797291267429656,0.5600971049636666,0.47199999999999986,0.2909889501949112,0.062204747469342854,0.08326423064645845,0.40926666423305164,0.6726805583979631,0.09506149776955765,CAFNet-D,0
0.3879876076082569,0.8171199187142374,0.2684727351148406,0.5670846011517168,0.4782222222222222,0.2846557299212299,0.10333327913560386,0.1069225009787746,0.42257543943203385,0.6934585111892904,0.11997109766815492,CAFNet-DG-fixed,0
0.37887666633826966,0.8165746801134446,0.2593961168065103,0.5550567337171067,0.46933333333333327,0.2784475597821887,0.10308213538263679,0.10407444591057745,0.4130061273295329,0.6884276038883094,0.115449126236021,CAFNet-DG-learned,0
0.34653269293236183,0.8077800743065932,0.25608353826305486,0.5231068566442849,0.4853333333333334,0.23235530963924708,0.04907565283340568,0.08569025721144692,0.39499716090204784,0.6822779440591938,0.09699158841060304,CAFNet,1
0.41663401755097135,0.8425981102435907,0.31727275146187406,0.6520390278213037,0.5439999999999999,0.26676626530706343,0.06494157854490935,0.0788822021444372,0.4646180522150292,0.691517019683027,0.1257714397806746,CAFNet-D,1
0.421927280596076,0.8483615196888066,0.32039000343311486,0.6563849992224501,0.5431111111111111,0.2661649509090483,0.08102639377094792,0.1059808469282282,0.4695471127575551,0.7103488669121576,0.1187728815168688,CAFNet-DG-fixed,1
0.41048112043263074,0.8487085759618967,0.29990028873970853,0.6449852734564505,0.5297777777777779,0.26326030563368485,0.08535085956330928,0.10960870043153106,0.45716764733516385,0.6976678651776418,0.11428437987365081,CAFNet-DG-learned,1
0.36757794639086055,0.8029734111811856,0.32001865521386047,0.5221325447980871,0.5217777777777778,0.19974051819762262,0.10638689126150916,0.11579160008254727,0.4234954827571224,0.6465398444000731,0.11158142677694696,CAFNet,2
0.4431818282658178,0.8355118636198426,0.3701180331185033,0.6820888579755376,0.6106666666666666,0.24151067060554715,0.07930926563666098,0.09285742329718093,0.5002720014051777,0.6892880647219902,0.11936941000170896,CAFNet-D,2
0.44909176308769666,0.8427531004135513,0.382143629860086,0.6856261023137348,0.6088888888888889,0.24055889793264684,0.1066867560182569,0.1235738069921433,0.5031563023799696,0.6792335878255801,0.1350249130539758,CAFNet-DG-fixed,2
0.4369515596563052,0.8425741655832811,0.3704289490046266,0.6695712906991416,0.5831111111111111,0.22664446394910237,0.11120219624321315,0.12397660805709479,0.48990733124181807,0.6733619987508583,0.13620301271633864,CAFNet-DG-learned,2
0.2927807406083682,0.7905036141044381,0.20811557928990654,0.42504531663074907,0.39644444444444443,0.22724309982850915,0.05261668993661922,0.07729562613279975,0.33910796822493217,0.6616188651615884,0.10969737662061338,CAFNet,3
0.3880247590729564,0.8237791322716,0.2694961714346024,0.5935057156764045,0.4773333333333333,0.29036827345814337,0.05299020872541971,0.10132763420969462,0.43252559325469747,0.6717805163819004,0.10863115414295493,CAFNet-D,3
0.3872200714644007,0.8299963444785463,0.27187484532800016,0.5833857567117843,0.4666666666666667,0.2775110599118208,0.06812219186614195,0.0936160315416253,0.4309190147546714,0.6768334693496332,0.09837015281379648,CAFNet-DG-fixed,3
0.36356184743435155,0.8282773869925345,0.2544529202101807,0.541009856771135,0.4577777777777778,0.2732869512558529,0.06684736506279705,0.09208308745332945,0.40757754978216015,0.6842910292538747,0.10498276690399463,CAFNet-DG-learned,3
0.33660920062087996,0.8232088461073562,0.25902324142231753,0.4434001674517834,0.4328888888888888,0.24941102115980807,0.12964851132739155,0.09966536987646289,0.3833061096105104,0.6889267988770427,0.1121658280854386,CAFNet,4
0.3998929538652683,0.8267685863637431,0.29708002532800803,0.6416524447113631,0.5262222222222223,0.284530582069736,0.07506323456686056,0.0627149407799533,0.45635815751237613,0.7014730479248183,0.10669902016174539,CAFNet-D,4
0.4258681650087388,0.8421866832520113,0.32222381317071536,0.6493087112524745,0.5306666666666667,0.2929372700317891,0.0899016485540964,0.07692879901059721,0.47777948030492867,0.7246902394086091,0.11231718230994368,CAFNet-DG-fixed,4
0.40393308459378957,0.845094322384522,0.3081426914995494,0.5986233391061387,0.5120000000000001,0.291167821786275,0.11048655658662307,0.09712260318718503,0.4537273230619531,0.7114378744630653,0.10846994178538592,CAFNet-DG-learned,4
0.3477378355869679,0.7810573619775113,0.26369789556810447,0.5363336522089834,0.48,0.21395922300661932,0.05314008690297007,0.12309272354140756,0.40927397077420047,0.6471366626194026,0.12708248664437605,CAFNet,5
0.4052611846167645,0.761126294783949,0.2902406149409133,0.6229614982359685,0.5448888888888888,0.25127426322172824,0.041923374408796246,0.11132466711032035,0.4625965318837978,0.6570643902773765,0.12430892716110538,CAFNet-D,5
0.410927125445096,0.7754873911673408,0.2930800604469537,0.632288072300176,0.5582222222222222,0.2537322599487071,0.043563379927042595,0.15875619657086054,0.4666352490806102,0.6570097172036797,0.1411049127966476,CAFNet-DG-fixed,5
0.4038009712840541,0.7885999353736318,0.2893580510147472,0.6131095011702768,0.5439999999999999,0.24764207796311402,0.05517627701649421,0.13346144626424197,0.45886349140085364,0.6545302663694013,0.1415367264450712,CAFNet-DG-learned,5
0.3527709362976407,0.7743930809786921,0.24427299477713102,0.5154377850614087,0.4524444444444445,0.22123186596237626,0.06876783490075979,0.10575308158410127,0.40372378159881034,0.6416666819022857,0.10598621951343752,CAFNet,6
0.41931863490370563,0.824186372305227,0.3243744464728987,0.6523396251326616,0.5537777777777777,0.2725934370226646,0.06305091008052359,0.12758213783758715,0.4699733594076301,0.6758913740231596,0.1211623974731666,CAFNet-D,6
0.42580022999632977,0.8259435500874418,0.31999625317346914,0.6562655997270409,0.5457777777777777,0.27218700738908497,0.08793435812182178,0.1427358559890392,0.47522247714906485,0.6795034358071955,0.1304778743549241,CAFNet-DG-fixed,6
0.4140740852358136,0.821925718467267,0.3029699115517851,0.6388097242085473,0.5386666666666666,0.27171179007743507,0.08362558429054764,0.13846360346123399,0.46227999859974234,0.6716179459804064,0.12499195626874136,CAFNet-DG-learned,6
0.3348840408998283,0.7902826996644463,0.23838288113190426,0.5016239218274656,0.42933333333333334,0.21892023091017573,0.05794112271779207,0.10691313604899864,0.3856485556167115,0.6483818856030633,0.09769075674060564,CAFNet,7
0.38786730782068735,0.8359814166505077,0.29984149298172746,0.5771533618668133,0.496888888888889,0.2578197898439077,0.05551342230261408,0.11426691454362783,0.436641378043675,0.6911250338981578,0.12422068058395633,CAFNet-D,7
0.3912354186834311,0.8382017730856288,0.29350858056417023,0.5756805194509679,0.496888888888889,0.25772678909193547,0.05930115034628548,0.12253218779253605,0.4389973373412182,0.6826035872231783,0.12074926761102839,CAFNet-DG-fixed,7
0.3818035997855467,0.836834133659006,0.28317443419264776,0.5659910601280397,0.4755555555555556,0.23945748004429954,0.05859391608190216,0.11946279227870173,0.42832683246202863,0.6816606520571641,0.11965708265788894,CAFNet-DG-learned,7
0.31634778750499687,0.8083063376339873,0.23690874322519306,0.4553190353949285,0.42577777777777776,0.22888362805004922,0.0735719844434393,0.10211225436718441,0.3586276176709423,0.657910697273157,0.09697572798107572,CAFNet,8
0.3780579690100461,0.8104040343445693,0.2710436801130869,0.5936834555532928,0.4897777777777778,0.2727249312219662,0.036362398887988694,0.06201800754703495,0.421379728227233,0.6787412790286677,0.08108294466857188,CAFNet-D,8
0.38489111296845174,0.8215436551989006,0.2805026254846671,0.5882606950542502,0.4915555555555556,0.2765775196479154,0.04339835257092923,0.0961715104128469,0.4277694443662782,0.6814553123544054,0.09910530171829,CAFNet-DG-fixed,8
0.37490480169275353,0.8271193793092396,0.2691920208259281,0.5723089471880016,0.48533333333333334,0.27302429189117283,0.0541696380505245,0.09367203591812513,0.4192389164750576,0.6751128615728555,0.09869337087858954,CAFNet-DG-learned,8
0.3715484154066693,0.7921664346162505,0.2681982988320652,0.5441150425190715,0.47644444444444445,0.2602151190462775,0.08449424508502025,0.08970231047852119,0.42377608091956065,0.6705244284409384,0.12845898248957863,CAFNet,9
0.43759940339169723,0.8065435238375774,0.29744067729857104,0.6560641047333763,0.5519999999999999,0.3122551996500212,0.09437149253336809,0.08702408105181096,0.48986280381767994,0.6878643491080385,0.1196316473785314,CAFNet-D,9
0.4485883380077778,0.8157384849517633,0.3141303830907892,0.6680202778859203,0.544888888888889,0.3051641730690689,0.09488601159304522,0.10550981079066522,0.5001914818543457,0.6913763948353162,0.1490363646092917,CAFNet-DG-fixed,9
