MAP,AUROC,AUPR,nDCG@10,P@15,R@15,rare_AP,middle_AP,frequent_AP,matched_AUPR,top100_removed_MAP,model,strength,fold,mean_gate,rare_gate,middle_gate,frequent_gate
0.38798760760825696,0.8171199138839875,0.26847273454954207,0.5670846011517168,0.4782222222222222,0.2846557299212299,0.10333327913560386,0.1069225009787746,0.42257543943203385,0.701074554661377,0.11997109766815492,learned_gate_shrink_0,0.0,0,0.5999999642372131,0.6000000238418579,0.6000000238418579,0.6000000238418579
0.38802632394216563,0.8171306974167326,0.26838838141369026,0.5670846011517168,0.4773333333333333,0.28453227313110646,0.10330171468436365,0.10664883981141908,0.42260776289244834,0.6939699646169578,0.12005150093455946,learned_gate_shrink_0.025,0.025,0,0.6004216074943542,0.5999317765235901,0.600536584854126,0.6008971333503723
0.3883430906457125,0.8171404883331378,0.2683025543836444,0.5680757137390594,0.47644444444444434,0.28319893979777316,0.10363308792348797,0.10672207665066423,0.4229371585232744,0.6981726284571953,0.12020972158709504,learned_gate_shrink_0.05,0.05,0,0.600843071937561,0.599863588809967,0.601073145866394,0.6017942428588867
0.38841120794110434,0.8171492697273284,0.26824633412525706,0.5690663582327191,0.4755555555555555,0.2827227493215827,0.1034604194996662,0.10627746735790977,0.42297819140229215,0.6925006959767465,0.11957077563418372,learned_gate_shrink_0.075,0.075,0,0.6012645959854126,0.5997953414916992,0.6016096472740173,0.6026913523674011
0.3881166937839036,0.8171555321462328,0.26813814310197714,0.5678275498221284,0.4746666666666667,0.2824126718022028,0.1035063829653581,0.10651495067804848,0.42266098714958367,0.6937507678420389,0.11928043757735392,learned_gate_shrink_0.1,0.1,0,0.6016861796379089,0.5997271537780762,0.6021462082862854,0.6035884618759155
0.3879783661872656,0.8171667359107131,0.2679434154410124,0.5668594402165394,0.4746666666666667,0.2820205149394577,0.10309339918223404,0.10547310088321311,0.4224565799389069,0.698181234660539,0.11938949855366572,learned_gate_shrink_0.15,0.15,0,0.6025292873382568,0.5995907187461853,0.603219211101532,0.6053826808929443
0.38783884185223577,0.8171682187974109,0.267579157533844,0.5684340510980206,0.47377777777777763,0.2814014735394315,0.10335826753755863,0.105271611168059,0.4222530095222338,0.689736108316503,0.11916333265695603,learned_gate_shrink_0.2,0.2,0,0.6033723950386047,0.5994542241096497,0.6042923927307129,0.6071768999099731
0.3873076518769066,0.8171492552365789,0.2669873948182451,0.5686414120955959,0.472,0.28010207576944557,0.10408493239103413,0.1050158189059124,0.4216719199167395,0.6889858743734729,0.11897629209395616,learned_gate_shrink_0.3,0.3,0,0.6050585508346558,0.5991812944412231,0.6064385771751404,0.6107653379440308
0.38610081373112737,0.8170996050985778,0.26616638583251606,0.5643855302226533,0.47111111111111115,0.27903396016979204,0.09796633196903662,0.1046469056771827,0.42038506055678804,0.6929774609556242,0.11797471747714498,learned_gate_shrink_0.4,0.4,0,0.606744647026062,0.5989084243774414,0.6085846424102783,0.6143537759780884
0.3844299143696799,0.8168855791437426,0.2647333296071086,0.5600221296805301,0.46933333333333327,0.2788948579339156,0.0993223217518098,0.10229843890422508,0.4187587157771347,0.6831611126685267,0.1177778424196699,learned_gate_shrink_0.6,0.6,0,0.6101170182228088,0.5983626842498779,0.6128770112991333,0.6215305924415588
