model,n_folds,path,MAP_mean,MAP_std,auc_all_mean,auc_all_std,aupr_all_mean,aupr_all_std,nDCG_mean,nDCG_std,P1_mean,P1_std,P15_mean,P15_std,R15_mean,R15_std,spearman_mean,spearman_std,rMSE_mean,rMSE_std,MAE_mean,MAE_std
CAFNet100_original,10,D:\CAFNet-master-master\result_WS\lr0.0004-2\10WS_CAFNet_knn=10_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal\CAFNet_result.csv,0.20609438636792676,0.01692986171810621,0.9105972873798033,0.003190528000343014,0.08446657240370102,0.005994488296927388,0.42498829543149236,0.022129801570292686,0.21458211614222905,0.03007375364863532,0.11321502619158404,0.004914431268648402,0.39665377765803356,0.013777304408350111,0.5118646327003464,0.02630650911333603,1.2262210028790155,0.056724460909679385,0.894887661,0.04543202618577155
DecoupledV3_50ep,10,D:\CAFNet-master-master\result_WS\10decoupled_v3_best_ab1.0_ar1.0_f10_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=1.0_rw=0.05_popw=0.1_biasw=1.0_listw=0.1_abw=1.0_arw=1.0\CAFNetDecoupled_result.csv,0.223718995508739,0.006347283720708482,0.9099541901726573,0.004908768363777457,0.12185487565064064,0.010043855675785812,0.4731797118064411,0.013418283561484487,0.31877935456631984,0.016348562914031556,0.11616640572765842,0.002113169625449409,0.3651173030546565,0.006602294658995834,0.6786162517294663,0.015316114678514967,0.7067398295868775,0.023206836571876117,0.516155997,0.012799802494247095
DecoupledV3_100ep,10,D:\CAFNet-master-master\result_WS\10d3v3e100_CAFNetDecoupled_knn=10_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=1.0_rw=0.05_popw=0.1_biasw=1.0_listw=0.1_abw=1.0_arw=1.0\CAFNetDecoupled_result.csv,0.23266624605298913,0.005866066911008039,0.9327023884543466,0.0023275831943317927,0.16363107344738856,0.010417159514108482,0.48087082227118544,0.01026442834414091,0.3278513004174096,0.00973432925846323,0.12110255629743294,0.002137142967749168,0.38083397134687436,0.007663458994534854,0.7079616348038226,0.011551394364838156,0.708292816075019,0.03112371604088193,0.502418518,0.018968329985326583
