Model,MAP_mean,MAP_std,auc_all_mean,auc_all_std,aupr_all_mean,aupr_all_std,nDCG_mean,nDCG_std,P1_mean,P1_std,P15_mean,P15_std,R15_mean,R15_std,spearman_mean,spearman_std,rMSE_mean,rMSE_std,MAE_mean,MAE_std
CAFNet,0.346234208815817,0.01891517848621732,0.7998790652886084,0.009820864259687341,0.26639768444299644,0.04928017438067751,0.7215702650134449,0.048693810857580025,0.5111111111111111,0.12024666007527723,0.4797037037037036,0.04515287247788468,0.22840413074459467,0.0269064943454251,0.38445486501051396,0.07274771511068251,1.7888526154291189,0.11570520837335299,1.4221914,0.11764479532818276
CAFNet-Decoupled full,0.40860896600599134,0.03272033066646253,0.8050005582995713,0.01591203072562799,0.2735847027710098,0.08271016626400644,0.8260325704205367,0.05200429893821673,0.7200000000000001,0.08110350040397624,0.5348148148148147,0.06906119431106585,0.2635777997406607,0.02362818907678239,0.45320554464492124,0.02320721613012095,1.1816982217854868,0.048065585023056086,0.8426136233333335,0.02402574361799511
w/o association residual,0.409655558415736,0.03700537566177608,0.8105222346339783,0.017639763607988808,0.263433872608499,0.08892158930325575,0.8174338317315127,0.06097723993908748,0.7022222222222222,0.10007404665953515,0.5410370370370371,0.07516412768425482,0.2651758589626056,0.01877654112119075,0.4807202085948376,0.048748250011405106,1.173425027679096,0.03577404530128126,0.83166692,0.024506320593251037
w/o bias/popularity prior,0.3869166943934202,0.025738666828833863,0.8124440393862703,0.006777812842265981,0.28423267888561793,0.0635406961063539,0.8026544880857881,0.06402601057044975,0.6755555555555555,0.15907137927265141,0.5111111111111112,0.058848203975237205,0.24862830741691933,0.02619666026001544,0.4569387809717225,0.025630147625238346,1.2750633208584412,0.05800011532780209,0.90480188,0.04246708442006823
