Model,MAP_mean,MAP_std,auc_all_mean,auc_all_std,aupr_all_mean,aupr_all_std,nDCG_mean,nDCG_std,P15_mean,P15_std,R15_mean,R15_std,spearman_mean,spearman_std,rMSE_mean,rMSE_std,MAE_mean,MAE_std
CAFNet,0.339073119502883,0.023191742000964403,0.7959555570948507,0.01452018930909416,0.2517792687575611,0.030415157801960524,0.7206412388265907,0.03790499057594579,0.4532444444444444,0.037117423873524194,0.2305076580197599,0.018881260656422566,0.3857917007060975,0.05430378310582956,1.754173054728129,0.07534216129658892,1.3939221200000003,0.066154862694771
CAFNet-D,0.4049610054686997,0.02396657724041824,0.8159978251909837,0.026512429889183182,0.28092357311311794,0.050009699572397405,0.8279505958631482,0.039822371087102085,0.5267555555555555,0.04312144460602911,0.2740832362595688,0.021136001292383386,0.46546009288823553,0.038847948611887465,1.1443390478613455,0.08034107470362307,0.815280396,0.05486397623986217
w/o association residual,0.40711371304611504,0.026450403577450446,0.8142941397509516,0.025902971647006463,0.2652825542024341,0.05335221725339651,0.8310331767944632,0.042179898568452646,0.5242666666666667,0.044112936492380475,0.2726366958331897,0.01995457421937841,0.4728432229136275,0.04751341334147525,1.1565090629854908,0.06618654222127854,0.830709895,0.04452433659734397
w/o bias/popularity prior,0.3823889784552259,0.024002387848144416,0.8062513591596214,0.025552814228859005,0.2652217984540581,0.05146371279163162,0.8079284052847369,0.04610564355644046,0.5020444444444445,0.04263332030231756,0.2593663524627976,0.021205474643057814,0.4660285136287933,0.041017095853556576,1.1685570470567481,0.052596502243657785,0.843185311,0.033126783766180126
