config,MAP_mean,MAP_std,auc_all_mean,auc_all_std,aupr_all_mean,aupr_all_std,nDCG_mean,nDCG_std,P1_mean,P1_std,P15_mean,P15_std,R15_mean,R15_std,spearman_mean,spearman_std,rMSE_mean,rMSE_std,MAE_mean,MAE_std
10decoupled_v3_ab0.5_ar1.0_f3_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=1.0_rw=0.05_popw=0.1_biasw=1.0_listw=0.1_abw=0.5_arw=1.0,0.22143118761067804,0.003579708771505728,0.8989140112069204,0.005373574017685506,0.11138246787278183,0.009864182423495557,0.4748290619933293,0.013916443421595563,0.32010660964093723,0.00485271547823956,0.1137097827092891,0.0009321820934529956,0.354365331844319,0.006779288414349602,0.6513953875530073,0.012680255086899087,0.738516678492855,0.016295062629586583,0.5387747500000001,0.012856654472392886
10decoupled_v3_ab1.0_ar0.5_f3_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=1.0_rw=0.05_popw=0.1_biasw=1.0_listw=0.1_abw=1.0_arw=0.5,0.22653979204243657,0.0015658194717008207,0.9051499219587095,0.004837337595382713,0.11570033502811929,0.009136907274154437,0.4830644265450233,0.013127897255075967,0.33161114983428264,0.016774393653794448,0.11601866394646267,0.000993583673195856,0.36164552933483907,0.006563326217555511,0.661875445675104,0.01492441183259458,0.7376445516092843,0.018764422953244195,0.5335593833333334,0.012698095167616004
10decoupled_v3_ab1.0_ar1.0_f3_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=1.0_rw=0.05_popw=0.1_biasw=1.0_listw=0.1_abw=1.0_arw=1.0,0.22655644097901786,0.001707907673540156,0.9079935885341781,0.005791497685375154,0.1212557777531364,0.011964490990567525,0.4807289341814874,0.016237826012603006,0.32284021458817813,0.02045659546124472,0.11688442653596309,0.0010633421799221292,0.3644799235858021,0.006778720737197708,0.6637716974305007,0.009084559366279025,0.7333319080987363,0.005402620284041753,0.5313005133333334,0.002798973693433621
