model,n_folds,path,MAP_mean,MAP_std,auc_all_mean,auc_all_std,aupr_all_mean,aupr_all_std,nDCG_mean,nDCG_std,P1_mean,P1_std,P15_mean,P15_std,R15_mean,R15_std,spearman_mean,spearman_std,rMSE_mean,rMSE_std,MAE_mean,MAE_std
CAFNet,10,D:\CAFNet-master-master\result_ICS\10ICS_CAFNet_knn=5_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine\CAFNet_result.csv,0.339073119502883,0.023191742000964403,0.7959555570948507,0.01452018930909416,0.2517792687575611,0.030415157801960524,0.7206412388265907,0.03790499057594579,0.5066666666666666,0.08362172320989682,0.4532444444444444,0.037117423873524194,0.2305076580197599,0.018881260656422566,0.3857917007060975,0.05430378310582956,1.754173054728129,0.07534216129658892,1.3939221200000003,0.066154862694771
A3Net,10,D:\CAFNet-master-master\result_ICS\10ICS_A3_Net_knn=5_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine\A3_Net_result.csv,0.33260870479112625,0.028936556738975466,0.7952298670072379,0.027093215875227013,0.23948744384608825,0.033610049220493605,0.6969270295380051,0.053931829352850166,0.484,0.07358206974293616,0.4415111111111111,0.0502814902114837,0.22474156616473331,0.022128831325119183,0.39245752681427376,0.052012905559381734,1.7115929776732668,0.07563865615915175,1.35553353,0.08358231443799113
DecoupledV3,10,D:\CAFNet-master-master\result_ICS\10cd3e100f10_CAFNetDecoupled_knn=5_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cross=True_fusion=gate_gate=new_fa=0.5_gatdrop=0.0_mix=0.3_aw=1.0_fw=1.0_rw=0.05_popw=0.1_biasw=1.0_listw=0.1_abw=1.0_arw=1.0_cosine\CAFNetDecoupled_result.csv,0.4049610054686997,0.02396657724041824,0.8159978251909837,0.026512429889183182,0.28092357311311794,0.050009699572397405,0.8279505958631482,0.039822371087102085,0.7066666666666667,0.061584028713560085,0.5267555555555555,0.04312144460602911,0.2740832362595688,0.021136001292383386,0.46546009288823553,0.038847948611887465,1.1443390478613455,0.08034107470362307,0.815280396,0.05486397623986217
DSGAT_GAT3,10,D:\CAFNet-master-master\baselines\DSGAT-master\DSGAT-master\result_ICS\10ICS_GAT3_knn=5_wd=0.001_epoch=100_lamb=0.03_lr0.0001_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine\GAT3_result.csv,0.38896875306963186,0.026218592007222558,0.822019665082301,0.01946281511753796,0.26883385255450354,0.033922645754900234,0.8135731393562775,0.03814382410958414,0.6826666666666668,0.06403702632649909,0.49288888888888893,0.04674960296333106,0.2526352199310501,0.027480208465564177,0.43777104446363235,0.06225630148581812,1.405063763095782,0.09571200702647316,1.14332551,0.11140582600469182
