,macro_AP,macro_AP,macro_AP,nDCG@10,nDCG@10,nDCG@10,rare_AP,rare_AP,rare_AP,middle_AP,middle_AP,middle_AP,frequent_AP,frequent_AP,frequent_AP
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,,,,,,,,,,,,,,,
CAFNet,0.3395400820003932,0.1745358965319986,750,0.49228147468638456,0.2932942164612027,750,0.08130301713912776,0.14883902976876182,432,0.09679899815290949,0.14553864165443556,542,0.3876746554576025,0.19684918871324986,750
CAFNet-D,0.40496133485797087,0.18590327739305082,750,0.6231585196670388,0.2915820157037996,750,0.06583155648520603,0.12007429302626449,432,0.0895453946880123,0.11770896223886967,542,0.4532953302500417,0.20293836951849561,750
CAFNet-DG,0.41335370789011744,0.18765531784487702,750,0.6262305335070516,0.2922971797987523,750,0.07817097609401413,0.14464861986830513,432,0.11215619484435314,0.1643526105850655,542,0.4602517323858004,0.20364679358539478,750
Group-only,0.40499289410286315,0.18363612465188398,750,0.6241366199148959,0.2903337524904448,750,0.06867842694137154,0.12559507137258438,432,0.0916738109988161,0.12154271975810875,542,0.4539465086242685,0.20160045649036273,750
Global gate,0.3907783098018638,0.18547813879328556,750,0.6037094462440133,0.2929518813182162,750,0.07794487293440089,0.14391074019722086,432,0.09396171463361191,0.13520481691370084,542,0.44089778643620103,0.20334542528470417,750
Drug gate,0.39252409645877095,0.18332003193009644,750,0.6046215963858619,0.29175841289646826,750,0.0667566594892716,0.10935326835927286,432,0.09077841014362746,0.12421489042598406,542,0.44143466746978105,0.20040714516718014,750
Drug-stratum gate,0.3999276516803728,0.1862391058582052,750,0.6159351374504977,0.2929404637155408,750,0.0721490967976768,0.132059330581297,432,0.08992293357895019,0.11440445800370055,542,0.449282735685384,0.20334522969035382,750
