model,rare_relative_vs_CAFNet,middle_delta_vs_CAFNet,macro_AP_relative_vs_CAFNet,nDCG_relative_vs_CAFNet,rare_relative_vs_CAFNet-DG,middle_delta_vs_CAFNet-DG,macro_AP_relative_vs_CAFNet-DG,nDCG_relative_vs_CAFNet-DG,metric_gate_pass,rare_significant_vs_CAFNet,rare_significant_vs_CAFNet-DG,rare_inference_gate_pass,max_single_expert_saturation,routing_gate_pass,promote_to_10fold
Group-only,-0.15527824971307902,-0.005125187154093394,0.19276902955567454,0.2678450277100346,-0.12143316646354985,-0.02048238384553705,-0.020226778247449118,-0.0033436785338927244,False,False,False,False,,True,False
Global gate,-0.041304053931729534,-0.002837283519297573,0.15090479892565756,0.2263501213987702,-0.0028924182722410707,-0.01819448021074123,-0.05461520643781159,-0.03596293386864158,False,False,False,False,0.0,True,False
Drug gate,-0.17891534855298252,-0.006020588009282027,0.1560464206353005,0.22820302504993784,-0.14601732222218688,-0.021377784700725683,-0.05039173723072943,-0.034506361419610276,False,False,False,False,0.0,True,False
Drug-stratum gate,-0.11259016778905684,-0.006876064573959298,0.17785107821205526,0.25118487922562704,-0.07703472052203852,-0.022233261265402954,-0.03248079297092865,-0.016440265214947458,False,False,False,False,0.0,True,False
