model,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std
CAFNet,0.6566143961923447,0.11698282302030844,0.6816396944915633,0.10612567711495573,0.6854501346305287,0.13346103780005428
CAFNet-D + residual gamma=0.01,0.6618475406519011,0.11421854363222182,0.7021190263803178,0.10375697639545466,0.7098442939995954,0.13279332529203536
CAFNet-D + residual gamma=0.03,0.6614866715251005,0.11418212834516063,0.7017210765943892,0.10385865097392055,0.7096707393425616,0.13246388461152014
CAFNet-D + residual gamma=0.05,0.6607699834186038,0.11405388941446229,0.700721954864643,0.10379523285825873,0.7082231266266831,0.13234380122470524
CAFNet-D + residual gamma=0.1,0.6575472108582199,0.11270686767774131,0.6955303977045117,0.10242611936129978,0.7029311358479652,0.12980236669110493
CAFNet-D + residual gamma=0.2,0.6472863590650365,0.10810122071716569,0.6793542410894708,0.09777882287982653,0.6855595228879402,0.12512194209791755
CAFNet-D full,0.6617887182183795,0.11395887692940354,0.702008762764698,0.10358803089435355,0.7095187162715577,0.13258527450397523
Global popularity,0.6219086103948049,0.09611355838320348,0.6831001478547153,0.09596039922428999,0.6549511192233484,0.12082305926420565
OFFSIDES residual only,0.5634774973737963,0.07990936554159651,0.5680236958716498,0.06937510410656221,0.5622664510984627,0.08759323863688703
