model,n_matched_rows,n_drugs,n_positive_pairs,AUROC,AUPR,pos_gt_neg_rate,mean_pos_minus_neg
CAFNet,178415,463,35683,0.5034731344199037,0.5060634492372807,0.5057366252837485,0.019106598819621706
Global popularity,178415,463,35683,0.5022109549844991,0.5055213473160924,0.393352576857327,0.0019274330239215478
CAFNet-D,178415,463,35683,0.5018342933527613,0.5053416013962696,0.5055516632570132,0.018882172924111446
