group,model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
frequent,CAFNet,0.422552850436554,0.20987221873620238,0.5098076342607918,0.28879628257481127,0.4630173564753004,0.27087538463321464,0.28973625302935735,0.17748615878516258
frequent,CAFNet-D + residual gamma=0.01,0.48824570168442427,0.21292952736315213,0.6318020978080546,0.2873422566971467,0.527369826435247,0.2855710801249455,0.33441565581422233,0.18879670523354714
frequent,CAFNet-D + residual gamma=0.03,0.48576763977766535,0.21328887705056987,0.6281232407383983,0.28890000283766426,0.5242545616377392,0.28512445791638735,0.33240243021075716,0.18662473609798036
frequent,CAFNet-D + residual gamma=0.05,0.48255930000750924,0.21194496642301205,0.6260379208724108,0.2888463338857252,0.5207832665776592,0.2836446502828085,0.33029428138027683,0.1860609088647968
frequent,CAFNet-D + residual gamma=0.1,0.4673519609770204,0.20860784525457493,0.6109328393878019,0.2895088576087692,0.5102803738317757,0.27966790479369646,0.3236672757893885,0.17840584090562098
frequent,CAFNet-D + residual gamma=0.2,0.42896925900397165,0.2005462301195019,0.5666317314032867,0.2846641377323638,0.47636849132176234,0.2735642856803777,0.2945943153299597,0.1670211623569214
frequent,CAFNet-D full,0.4879777336072625,0.2131928428975669,0.6307968474831543,0.2872414271432038,0.5279038718291055,0.28581051984566314,0.33451744626349933,0.18809025625325962
frequent,Global popularity,0.48681552447043985,0.2141091965344167,0.6338161952298715,0.29027781395571883,0.5250556297285269,0.28534675826231115,0.3315507870420345,0.18262646725888457
frequent,OFFSIDES residual only,0.22205799491617023,0.17162150826611464,0.24701709690359133,0.23836878587362015,0.2663996439697374,0.2247992169956242,0.13256843703110172,0.08326851803412956
middle,CAFNet,0.12113550009861306,0.16710593128259232,0.13198747507903041,0.2183970532257011,0.08642366613840466,0.14063553446916247,0.14472304837389677,0.24413386817268948
middle,CAFNet-D + residual gamma=0.01,0.11072594500539876,0.12967099542709642,0.1168201773495441,0.1816376248474657,0.08251452720549392,0.133077593728796,0.14975687706188567,0.24818973639889022
middle,CAFNet-D + residual gamma=0.03,0.1084542949546323,0.1260958228296047,0.11346364995877915,0.17778823927730436,0.08293713681986266,0.1325483563272362,0.15157111377500668,0.24506862524186268
middle,CAFNet-D + residual gamma=0.05,0.10771609299841738,0.1258683645407379,0.11224884535937192,0.17614556670370574,0.08304278922345483,0.132774636744556,0.14981679801371808,0.2434586529453007
middle,CAFNet-D + residual gamma=0.1,0.10728843933424508,0.13063631337710546,0.11026570780124932,0.1768105847502458,0.08283148441627047,0.13130471966287866,0.1544251230820085,0.2483410411137045
middle,CAFNet-D + residual gamma=0.2,0.10103384732686922,0.12535748470957078,0.10338098298031184,0.1711961561075469,0.07723190702588484,0.12771640042687427,0.13728646741631542,0.23280972668987457
middle,CAFNet-D full,0.11050270452994496,0.13013081083866013,0.11563624981893539,0.1827936550106799,0.08219756999471738,0.13132762209701113,0.15370227757994565,0.25511769191417943
middle,Global popularity,0.07912871381606401,0.11104631264720372,0.09568870977165751,0.1800111770544997,0.07385103011093501,0.14011010911331467,0.08842204512952063,0.1728218338297928
middle,OFFSIDES residual only,0.06029849598389924,0.09046026741684707,0.05076182456155828,0.11983878324721056,0.0468040147913365,0.1041633272425247,0.04222875709465814,0.10484451880951111
rare,CAFNet,0.07010294019575562,0.12256506814490473,0.08289280426168259,0.1708000022654015,0.04137022397891964,0.07765236600076196,0.11936294022665347,0.23731955344842284
rare,CAFNet-D + residual gamma=0.01,0.059237829815623325,0.10920174437207314,0.06099913564776897,0.15131221494696914,0.03596837944664032,0.07711574522804715,0.09140377174458637,0.20917408872389057
rare,CAFNet-D + residual gamma=0.03,0.0587951845913257,0.10644920906472159,0.05901083030025814,0.14791757595868704,0.03662714097496706,0.07844836422365699,0.09202924315426958,0.20943022832175412
rare,CAFNet-D + residual gamma=0.05,0.05836756396589972,0.10560688980396375,0.059370113395838066,0.1485511380512741,0.037285902503293805,0.07975326880119338,0.09446418486023783,0.21574295459202109
rare,CAFNet-D + residual gamma=0.1,0.05538695463087299,0.09827365400616682,0.05575909899292825,0.13777944627956246,0.03557312252964427,0.07689970916440735,0.08989198727240469,0.20813628358597067
rare,CAFNet-D + residual gamma=0.2,0.05019261397180306,0.08096464652910007,0.05071620911613504,0.11900316154659363,0.03267457180500658,0.07035666438521404,0.07873729045266897,0.19069381669264032
rare,CAFNet-D full,0.05848417685193596,0.10368743581989613,0.05993846776683384,0.1477959584104527,0.03610013175230566,0.07756630768569178,0.09172061040992942,0.2120486680350126
rare,Global popularity,0.028477215576140122,0.04086307657514114,0.03955292802175695,0.11489287621496024,0.02779973649538867,0.06913030912048887,0.05047281327049329,0.1407715900774397
rare,OFFSIDES residual only,0.027212051476546095,0.04278294541352183,0.021237403729452504,0.07040030713316256,0.014361001317523058,0.03885260435968265,0.02775589231500327,0.09752108467727663
