model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n,matched_AUROC_mean,matched_AUROC_std,matched_AUROC_n,matched_AUPR_mean,matched_AUPR_std,matched_AUPR_n,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,pos_gt_ctrl_rate_n,n_matched_rows,n_external_positive_pairs,external_AUROC,external_AUPR,external_pos_gt_neg_rate,external_mean_pos_minus_neg
CAFNet,0.3543149197498154,0.1825892716237764,225,0.519296977253805,0.29985344322272234,225,0.47970370370370374,0.2807089789518631,225,0.2276698786898432,0.16546865837730154,225,0.6591610640925156,0.11538886244546136,225,0.6848219965090591,0.1039500517824147,225,0.6886135651152947,0.1323659744183811,225,58125,11625,0.503727239680888,0.5084483663554318,0.5062365591397849,0.026494605350185947
CAFNet-D full,0.4200219898923012,0.19963449501000538,225,0.6434861133572848,0.3034459779547638,225,0.5531851851851852,0.2934147914794115,225,0.2743700744335362,0.18698649119756497,225,0.6605949807734388,0.11427747401582382,225,0.702078870744669,0.10219307997199444,225,0.706929613769502,0.13474648632155922,225,58125,11625,0.5065894552433807,0.5091549865958107,0.5131182795698924,0.05199286166351609
CAFNet-D-Ext assoc lambda=0.005,0.410827717809706,0.19384532253073775,225,0.6448178911889327,0.2980584890673859,225,0.5442962962962963,0.28636042458579963,225,0.27152681190727146,0.18416394587046442,225,0.6270374100056968,0.12032780044902079,225,0.6821565980413998,0.10636626061955648,225,0.6697788258320667,0.14512159528228724,225,58125,11625,0.5210635491733149,0.5180747207906241,0.5417118279569892,0.11845864558510523
CAFNet-D-Ext assoc lambda=0.01,0.4090161867553254,0.19282211004632216,225,0.6445640085949267,0.29932163466321465,225,0.5442962962962963,0.2849713002660244,225,0.2724426429914645,0.18537765354830898,225,0.6287377586775951,0.11933877439999452,225,0.6835112147667161,0.10643380126293099,225,0.6689421093668714,0.14236656958828095,225,58125,11625,0.5208681305121979,0.5184088753631827,0.5430193548387097,0.1128204974682541
CAFNet-D-Ext assoc lambda=0.02,0.4117011600925905,0.1947188741290533,225,0.6421555340216896,0.29577845499963434,225,0.5404444444444444,0.2900273659775453,225,0.2679493353771644,0.18441311516621772,225,0.630434317390127,0.11619180302298926,225,0.6846630434755379,0.10578720821378157,225,0.6708718292546595,0.1398658302898928,225,58125,11625,0.5298189430454388,0.5230504542559827,0.5593118279569892,0.1505291393952324
CAFNet-D-Ext lambda=0.03,0.4116806170643536,0.19290195385735306,225,0.6434130955356216,0.2996161415629035,225,0.544,0.28799526010208887,225,0.2717162313289868,0.18439774858953975,225,0.6326423960613764,0.12037348313815494,225,0.6859967084971331,0.10638407020862843,225,0.6779127706581393,0.1478565499680317,225,58125,11625,0.5382239789108567,0.5283831557086722,0.5735741935483871,0.19962873962451252
CAFNet-D-Ext lambda=0.05,0.4106520507518007,0.19326994140146228,225,0.6427234316689202,0.2993899200736899,225,0.5442962962962963,0.2940182599999597,225,0.2680647785305527,0.18770532999133832,225,0.6303154949742369,0.11904832543644635,225,0.6841384915205114,0.10653360676313468,225,0.6743336992942404,0.14066530900764213,225,58125,11625,0.5390092475893167,0.5270478711832564,0.5774967741935484,0.1958599529635902
CAFNet-D-Ext lambda=0.10,0.407974396075365,0.19515647300063788,225,0.6428923504934936,0.3053910879633041,225,0.5445925925925926,0.2913972300469109,225,0.2699054033757207,0.18375911659336358,225,0.6284827581010742,0.11773821462314178,225,0.6834516370396038,0.1060185643755174,225,0.67045552847659,0.14265541449849353,225,58125,11625,0.568185419447335,0.5450496690406649,0.6245849462365591,0.31413507878322317
Global popularity,0.428866120019001,0.1986214374780037,225,0.6490852064665685,0.3063024704490552,225,0.5487407407407409,0.29031941297823716,225,0.27280562150174836,0.18330255559250752,225,0.625416504494648,0.09928494668602755,225,0.6862933593140019,0.09717581457212042,225,0.6574653811978001,0.12063070869078824,225,58125,11625,0.5022167738235634,0.5072780020130366,0.40075698924731185,0.002586099561927519
