model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
CAFNet,0.3395400820003932,0.17453589653199855,0.49203122426108437,0.29334388492117364,0.4532444444444444,0.2697925234991569,0.23050765801975995,0.1659507718186732
CAFNet-D + residual gamma=0.01,0.40522796163411096,0.18574866749861796,0.6241762584970861,0.2917055885543719,0.5263111111111112,0.2856679248348234,0.2740664957800886,0.183582874199995
CAFNet-D + residual gamma=0.03,0.4031912223700324,0.18562879732044701,0.6206396604435692,0.2931037431121707,0.5230222222222222,0.2856822570190061,0.27132131018989114,0.1811334562860809
CAFNet-D + residual gamma=0.05,0.400416062085121,0.18418573057612886,0.6188450300092515,0.29287786305563435,0.5194666666666667,0.284052225506178,0.2696341637162657,0.18042055973370458
CAFNet-D + residual gamma=0.1,0.38659827078375064,0.17912305880823023,0.6041775067624876,0.29309381233683507,0.5094222222222222,0.2798957004406365,0.26431234224692346,0.1731420798120341
CAFNet-D + residual gamma=0.2,0.3500713128070838,0.16674170775994154,0.5605439146361717,0.28832715034575757,0.47457777777777777,0.2738944674519661,0.23978575621564413,0.15978307587275523
CAFNet-D full,0.40496133485797087,0.1859032773930509,0.6231585196670388,0.29158201570379955,0.5267555555555556,0.28600028804687194,0.2740832362595689,0.18331092622741774
Global popularity,0.41250338393862535,0.19002411565453758,0.626687581512255,0.2943221600631689,0.5243555555555556,0.28588303971515333,0.27076540830885504,0.17784696521629223
OFFSIDES residual only,0.07150295646704656,0.06797244102706694,0.0971525476673757,0.13541354564265762,0.12382222222222221,0.13386043268220738,0.04509583287287226,0.04809507371125014
