model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,external_AUROC,external_AUPR,external_pos_gt_neg_rate
CAFNet,0.3395400820003932,0.17453589653199855,0.49203122426108437,0.29334388492117364,0.4532444444444444,0.2697925234991569,0.23050765801975995,0.1659507718186732,0.6566143961923447,0.11698282302030844,0.6816396944915633,0.10612567711495573,0.6854501346305287,0.13346103780005428,0.5034731344199037,0.5060634492372807,0.5057366252837485
CAFNet-D + residual gamma=0.01,0.40522796163411096,0.18574866749861796,0.6241762584970861,0.2917055885543719,0.5263111111111112,0.2856679248348234,0.2740664957800886,0.183582874199995,0.6618475406519011,0.11421854363222182,0.7021190263803178,0.10375697639545466,0.7098442939995954,0.13279332529203536,0.5046827303822147,0.5079075888593015,0.5124905417145419
CAFNet-D + residual gamma=0.03,0.4031912223700324,0.18562879732044701,0.6206396604435692,0.2931037431121707,0.5230222222222222,0.2856822570190061,0.27132131018989114,0.1811334562860809,0.6614866715251005,0.11418212834516063,0.7017210765943892,0.10385865097392055,0.7096707393425616,0.13246388461152014,0.5119918866262834,0.5156809470482733,0.5261441022335566
CAFNet-D + residual gamma=0.05,0.400416062085121,0.18418573057612886,0.6188450300092515,0.29287786305563435,0.5194666666666667,0.284052225506178,0.2696341637162657,0.18042055973370458,0.6607699834186038,0.11405388941446229,0.700721954864643,0.10379523285825873,0.7082231266266831,0.13234380122470524,0.5192889513881538,0.5235115005196175,0.5393885043297929
CAFNet-D + residual gamma=0.1,0.38659827078375064,0.17912305880823023,0.6041775067624876,0.29309381233683507,0.5094222222222222,0.2798957004406365,0.26431234224692346,0.1731420798120341,0.6575472108582199,0.11270686767774131,0.6955303977045117,0.10242611936129978,0.7029311358479652,0.12980236669110493,0.5374512628733539,0.5430500491848795,0.5711178992797691
CAFNet-D + residual gamma=0.2,0.3500713128070838,0.16674170775994154,0.5605439146361717,0.28832715034575757,0.47457777777777777,0.2738944674519661,0.23978575621564413,0.15978307587275523,0.6472863590650365,0.10810122071716569,0.6793542410894708,0.09777882287982653,0.6855595228879402,0.12512194209791755,0.5730053320728519,0.5801991533338687,0.6255527842389934
CAFNet-D full,0.40496133485797087,0.1859032773930509,0.6231585196670388,0.29158201570379955,0.5267555555555556,0.28600028804687194,0.2740832362595689,0.18331092622741774,0.6617887182183795,0.11395887692940354,0.702008762764698,0.10358803089435355,0.7095187162715577,0.13258527450397523,0.5018342933527613,0.5053416013962696,0.5055516632570132
Global popularity,0.41250338393862535,0.19002411565453758,0.626687581512255,0.2943221600631689,0.5243555555555556,0.28588303971515333,0.27076540830885504,0.17784696521629223,0.6219086103948049,0.09611355838320348,0.6831001478547153,0.09596039922428999,0.6549511192233484,0.12082305926420565,0.5022109549844991,0.5055213473160924,0.393352576857327
OFFSIDES residual only,0.07150295646704656,0.06797244102706694,0.0971525476673757,0.13541354564265762,0.12382222222222221,0.13386043268220738,0.04509583287287226,0.04809507371125014,0.5634774973737963,0.07990936554159651,0.5680236958716498,0.06937510410656221,0.5622664510984627,0.08759323863688703,0.8650697917661778,0.8214761871091096,0.8603144354454502
