model,folds,MAP_mean,MAP_std,nDCG_mean,nDCG_std,P15_mean,P15_std,R15_mean,R15_std,auc_all_mean,auc_all_std,aupr_all_mean,aupr_all_std,spearman_mean,spearman_std,rMSE_mean,rMSE_std,MAE_mean,MAE_std
CAFNet-D-Ext lambda=0.03,3,0.41567831075086487,0.036902815338868314,0.8212752890450904,0.05339989219948644,0.5354074074074076,0.07022972299368375,0.2637726752909579,0.022860459054872877,0.823522919358212,0.02367086714570254,0.28584608972828374,0.10489368522443002,0.5116365180918369,0.03038293772078382,0.8612382084801498,0.02364809567697423,0.6337090999999999,0.008136018053691917
CAFNet-D-Ext lambda=0.05,3,0.4139122162903092,0.03519382018582173,0.8125795010194817,0.05730115881003607,0.5365925925925926,0.06845214001951304,0.2643336560977109,0.02622982556435544,0.8308455979705927,0.01368317160808256,0.3100546696325474,0.08300184300199422,0.5159900578643745,0.019783090870683907,0.8588741058431794,0.02900318868368026,0.6214499766666667,0.012524476932727877
CAFNet-D-Ext lambda=0.10,3,0.4176683532056768,0.03500267618857886,0.8219259977674461,0.05008534149924241,0.5392592592592593,0.06501864246747044,0.26496276171981864,0.026147211079816754,0.8384000857956672,0.014679490562175495,0.3135380229764671,0.09235984610529904,0.512062481570553,0.021157787894289223,0.8484527067822567,0.053734267305698726,0.6219761333333333,0.03847717663217161
CAFNet-D-Ext assoc lambda=0.005,3,0.4156426140084013,0.03469224896277782,0.8216035174849544,0.04891648478660603,0.5357037037037037,0.0666686419460456,0.2652597449892829,0.02593054632282546,0.8304883911811545,0.015119646603185344,0.301661872491672,0.07154813914424231,0.5100137252707955,0.02843769308521067,0.9095041287487898,0.01521184837105209,0.6601992333333332,0.01700224483247237
CAFNet-D-Ext assoc lambda=0.01,3,0.4153862043790122,0.03435107113161037,0.8175434075261058,0.05289372708785544,0.5413333333333333,0.06846175827189223,0.2652650957286324,0.026437950124538274,0.8297255699857944,0.0005995832490632602,0.2784460915577686,0.08649413245718526,0.51304361500562,0.019082231073241047,0.8708984921114787,0.037675135592674096,0.6337655233333334,0.02422297414186859
CAFNet-D-Ext assoc lambda=0.02,3,0.4164182699004482,0.033492212128423175,0.8188212581587155,0.056146574262963066,0.5342222222222223,0.06579579332870063,0.2631328554736973,0.025233875249300923,0.8385126538144737,0.008658145513475438,0.30050021606868776,0.07046132667599059,0.5119304520188876,0.017746153641685313,0.8519803817430724,0.03170348770666358,0.6201378666666666,0.01617601451473548
