run,metric,n_folds,mean,std,seconds_mean
Short reproduced run,mAP,10,0.3592959197876927,0.023679655600377467,86.772
Short reproduced run,AUROC,10,0.7962271911208696,0.024641016693256062,86.772
Short reproduced run,AUPR,10,0.25175368075623333,0.0309341398574992,86.772
Short reproduced run,nDCG@10,10,0.7690344288264367,0.04285860809663467,86.772
Short reproduced run,P@1,10,0.6146666666666666,0.08696813663706643,86.772
Short reproduced run,P@15,10,0.4787555555555555,0.04733179154736995,86.772
Short reproduced run,R@1,10,0.02388139014469049,0.00693495321645937,86.772
Short reproduced run,R@15,10,0.24518512133557308,0.019002284538111914,86.772
Short reproduced run,Spearman,10,0.3870978436929272,0.08152832623664358,86.772
Short reproduced run,RMSE,10,1.6943793304220562,0.2982240096199125,86.772
Short reproduced run,MAE,10,1.3734464450095722,0.33394612139188207,86.772
10 epochs,mAP,10,0.3820350853519606,0.024176827980882446,615.2239999999999
10 epochs,AUROC,10,0.8025230294707804,0.022124611891145566,615.2239999999999
10 epochs,AUPR,10,0.2575374326538611,0.022966048917695003,615.2239999999999
10 epochs,nDCG@10,10,0.7984290372710664,0.03581145799778721,615.2239999999999
10 epochs,P@1,10,0.6679999999999999,0.05238037517719496,615.2239999999999
10 epochs,P@15,10,0.4932444444444446,0.03945627713320942,615.2239999999999
10 epochs,R@1,10,0.028602422063980372,0.007388410178698911,615.2239999999999
10 epochs,R@15,10,0.2542908214233416,0.025463153870833692,615.2239999999999
10 epochs,Spearman,10,0.39491293860058146,0.06436102647924631,615.2239999999999
10 epochs,RMSE,10,1.8622274537625632,0.09007826319433233,615.2239999999999
10 epochs,MAE,10,1.5009393685734835,0.08672476366766745,615.2239999999999
100 epochs,mAP,10,0.3039306367235671,0.015258899510678338,6071.68
100 epochs,AUROC,10,0.779749054271289,0.02101897183154153,6071.68
100 epochs,AUPR,10,0.2054354422053451,0.020721211245239915,6071.68
100 epochs,nDCG@10,10,0.6981409771618778,0.01914282603415431,6071.68
100 epochs,P@1,10,0.44266666666666665,0.057537963849536924,6071.68
100 epochs,P@15,10,0.4105777777777776,0.025927026431669324,6071.68
100 epochs,R@1,10,0.017661119333747772,0.00528396496034314,6071.68
100 epochs,R@15,10,0.20661876201368648,0.02175947481244741,6071.68
100 epochs,Spearman,10,0.36389939567733043,0.06265858306037789,6071.68
100 epochs,RMSE,10,2.0444570692239186,0.10483837565758895,6071.68
100 epochs,MAE,10,1.6386295681810357,0.11085350035417421,6071.68
