run,AUPR,AUROC,MAE,P@1,P@15,R@1,R@15,RMSE,Spearman,mAP,nDCG@10
10 epochs,0.2575374326538611,0.8025230294707804,1.5009393685734835,0.6679999999999999,0.4932444444444446,0.028602422063980372,0.2542908214233416,1.8622274537625632,0.39491293860058146,0.3820350853519606,0.7984290372710664
100 epochs,0.2054354422053451,0.779749054271289,1.6386295681810357,0.44266666666666665,0.4105777777777776,0.017661119333747772,0.20661876201368648,2.0444570692239186,0.36389939567733043,0.3039306367235671,0.6981409771618778
Short reproduced run,0.25175368075623333,0.7962271911208696,1.3734464450095722,0.6146666666666666,0.4787555555555555,0.02388139014469049,0.24518512133557308,1.6943793304220562,0.3870978436929272,0.3592959197876927,0.7690344288264367
