group,model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
frequent,CAFNet,0.4227809469277607,0.2106021719454386,0.5094948175313087,0.2895561759621719,0.46266666666666667,0.2714993778615375,0.29087754626361356,0.17785118137220693
frequent,CAFNet-D full,0.4884787098457451,0.2141597293349653,0.6301154268537157,0.2878634628895027,0.5272,0.28626939695139486,0.3356388330700804,0.18838524814751137
frequent,Gate piecewise low=0 mid=0 high=0.6 temp=1,0.4946335893478173,0.21435841878190978,0.6341146865141847,0.2887750818312453,0.5278222222222222,0.2888921661745113,0.3349952559905345,0.18855845749603453
frequent,Gate piecewise low=0 mid=0 high=0.8 temp=1,0.4949980351188011,0.21508480385696582,0.6331638403136843,0.28879858740065995,0.5299555555555556,0.2868639127108257,0.3380412739261767,0.18837796498581216
frequent,Gate piecewise low=0 mid=0 high=0.9 temp=1,0.49239737286195645,0.21496972949824497,0.6308980405274307,0.2897761564800779,0.5304,0.2870652469656123,0.33827705731824054,0.18979090112456576
frequent,Gate piecewise low=0 mid=0 high=1 temp=1,0.4884787098457451,0.2141597293349653,0.6301154268537157,0.2878634628895027,0.5272,0.28626939695139486,0.3356388330700804,0.18838524814751137
frequent,Gate piecewise low=0 mid=0.2 high=0.6 temp=1,0.4946335893478173,0.21435841878190978,0.6341146865141847,0.2887750818312453,0.5278222222222222,0.2888921661745113,0.3349952559905345,0.18855845749603453
frequent,Gate piecewise low=0 mid=0.2 high=0.8 temp=1,0.4949980351188011,0.21508480385696582,0.6331638403136843,0.28879858740065995,0.5299555555555556,0.2868639127108257,0.3380412739261767,0.18837796498581216
frequent,Gate piecewise low=0 mid=0.2 high=0.9 temp=1,0.49239737286195645,0.21496972949824497,0.6308980405274307,0.2897761564800779,0.5304,0.2870652469656123,0.33827705731824054,0.18979090112456576
frequent,Gate piecewise low=0 mid=0.2 high=1 temp=1,0.4884787098457451,0.2141597293349653,0.6301154268537157,0.2878634628895027,0.5272,0.28626939695139486,0.3356388330700804,0.18838524814751137
frequent,Gate piecewise low=0 mid=0.4 high=0.6 temp=1,0.4946335893478173,0.21435841878190978,0.6341146865141847,0.2887750818312453,0.5278222222222222,0.2888921661745113,0.3349952559905345,0.18855845749603453
frequent,Gate piecewise low=0 mid=0.4 high=0.8 temp=1,0.4949980351188011,0.21508480385696582,0.6331638403136843,0.28879858740065995,0.5299555555555556,0.2868639127108257,0.3380412739261767,0.18837796498581216
frequent,Gate piecewise low=0 mid=0.4 high=0.9 temp=1,0.49239737286195645,0.21496972949824497,0.6308980405274307,0.2897761564800779,0.5304,0.2870652469656123,0.33827705731824054,0.18979090112456576
frequent,Gate piecewise low=0 mid=0.4 high=1 temp=1,0.4884787098457451,0.2141597293349653,0.6301154268537157,0.2878634628895027,0.5272,0.28626939695139486,0.3356388330700804,0.18838524814751137
frequent,Gate piecewise low=0 mid=0.6 high=0.6 temp=1,0.4946335893478173,0.21435841878190978,0.6341146865141847,0.2887750818312453,0.5278222222222222,0.2888921661745113,0.3349952559905345,0.18855845749603453
frequent,Gate piecewise low=0 mid=0.6 high=0.8 temp=1,0.4949980351188011,0.21508480385696582,0.6331638403136843,0.28879858740065995,0.5299555555555556,0.2868639127108257,0.3380412739261767,0.18837796498581216
frequent,Gate piecewise low=0 mid=0.6 high=0.9 temp=1,0.49239737286195645,0.21496972949824497,0.6308980405274307,0.2897761564800779,0.5304,0.2870652469656123,0.33827705731824054,0.18979090112456576
frequent,Gate piecewise low=0 mid=0.6 high=1 temp=1,0.4884787098457451,0.2141597293349653,0.6301154268537157,0.2878634628895027,0.5272,0.28626939695139486,0.3356388330700804,0.18838524814751137
frequent,Gate piecewise low=0 mid=0.8 high=0.8 temp=1,0.4949980351188011,0.21508480385696582,0.6331638403136843,0.28879858740065995,0.5299555555555556,0.2868639127108257,0.3380412739261767,0.18837796498581216
